Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1943-0052-YUG,1943,52,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Bosnia-Herzegovina,,,,,,,,,Richter,44.3,17.0,,,1943,1.0,29.0,1943,1.0,29.0,19.0,,,,,,,,,,,6.4003490897228,,,,
1963-0016-YUG,1963,16,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Skopje (Macedonia (FYR)),,,,,,,,6.0,Richter,42.1,21.3,05:17,,1963,7.0,26.0,1963,7.0,26.0,1070.0,3300.0,,,3300.0,,,,,1000000.0,8847993.0,11.3019986879511,,,,
1967-0074-YUG,1967,74,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Debar (Macedonia (FYR)),,,,Yes,,,,,Richter,42,21.28,,,1967,11.0,30.0,1967,11.0,30.0,7.0,70.0,16400.0,5400.0,21870.0,,,,,20000.0,162460.0,12.3107281871857,,,,
1968-0082-YUG,1968,82,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Montenegro,,,,Yes,,,,5.0,Richter,42.1,19.3,05:49,,1968,11.0,3.0,1968,11.0,3.0,1.0,30.0,15000.0,,15030.0,,,,,38600.0,300702.0,12.8366149136235,,,,
1969-0107-YUG,1969,107,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Bosnia and Herzegovina,,,,Yes,,,,6.0,Richter,44.9,17.3,16:36,,1969,10.0,26.0,1969,10.0,26.0,15.0,1116.0,200000.0,85000.0,286116.0,,,,,50000.0,369336.0,13.5378001312049,,,,
1979-0039-YUG,1979,39,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Montenegro,,Tsunami/Tidal wave,,Yes,,,,7.0,Richter,42.096,19.209,07:19,,1979,4.0,15.0,1979,4.0,15.0,121.0,100.0,300000.0,10000.0,310100.0,,,,,450000.0,1680143.0,26.7834419418325,,,,
1979-0052-YUG,1979,52,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Kotor-Ulcinj area (South Adriatic coast) (Montenegro); Debar (Macedonia),,,,,,,,6.0,Richter,42.255,18.752,18:23,,1979,5.0,24.0,1979,5.0,24.0,,80.0,,,80.0,,,,,,,26.7834419418325,,,,
1980-0046-YUG,1980,46,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,"Mt Kopaonik, Aleksandrovac, Brus, Kursumlija, Raska areas (Serbia)",,"Slide (land, mud, snow, rock)",,,,,,6.0,Richter,43.294,20.837,21:02,,1980,5.0,18.0,1980,5.0,18.0,,100.0,5000.0,,5100.0,,,,,,,30.4123857424011,,,,
1981-0073-YUG,1981,73,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Banja Luka (Bosnia and Herzegovina),,,,,,,,6.0,Richter,44.849,17.312,03:58,,1981,8.0,13.0,1981,8.0,13.0,,44.0,,,44.0,,,,,5000.0,14901.0,33.5554165755522,,,,
1983-0408-YUG,1983,408,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,"Skopje, Dolno, Kolicani (Macedonia (FYR))",,,,,,,,5.0,Richter,41.959,21.54,19:22,,1983,2.0,25.0,1983,2.0,25.0,12.0,,,,,,,,,500.0,1360.0,36.7568773234201,,,,
1985-0193-YUG,1985,193,,Natural,Geophysical,Earthquake,Ground movement,,,Yugoslavia,YUG,Southern Europe,Europe,Demir Kapija-Negotino area (Macedonia),,,,,,,,5.0,Richter,41.581,22.254,16:50,,1985,9.0,28.0,1985,9.0,28.0,,16.0,1500.0,,1516.0,,,,,,,39.696934178876,,,,
