Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1989-0028-ZMB,1989,28,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Chawama, Chilanga, Kanyama, Makeni, Lusaka, + southern, eastern, western provinces",,,,,,,,,Km2,,,,,1989,1.0,23.0,1989,1.0,23.0,,,800000.0,,800000.0,,,,,,,45.749276186311,,,,
1998-0053-ZMB,1998,53,,Natural,Hydrological,Flood,,,,Zambia,ZMB,Eastern Africa,Africa,Northern,,,,,,,,,Km2,,,,,1998,2.0,6.0,1998,2.0,6.0,,,1300000.0,,1300000.0,,,,,20700.0,34410.0,60.1574108900066,,,,
2000-0103-ZMB,2000,103,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Chiawa area (Kafue district, Lusaka province)","Dam/Levy, break or release and heavy rains",Broken Dam/Burst bank,,,,,,8500.0,Km2,,,,,2000,3.0,3.0,2000,3.0,4.0,,,12000.0,,12000.0,,,,,,,63.5495473431008,2,,65206,Kafue (Adm2).
2003-0148-ZMB,2003,148,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,Gwembe district (Southern province),Heavy rains,,,,,,,9280.0,Km2,,,,Kafue,2003,3.0,11.0,2003,3.0,15.0,,,,10000.0,10000.0,,,,,,,67.8888956921058,2,,65229,Gwembe (Adm2).
2003-0631-ZMB,2003,631,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,Lusaka province,Heavy rains,,,,,,,,Km2,,,,,2003,12.0,25.0,2003,12.0,25.0,4.0,,,1000.0,1000.0,,,,,,,67.8888956921058,1,3430,,Lusaka (Adm1).
2004-0159-ZMB,2004,159,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Senanga, Mongu, Kalabo, Lukulu districts (Western province), Chavuma, Zambezi districts (North-Western province)",Heavy rains,,,,,,43.0,,Km2,,,,,2004,2.0,1.0,2004,6.0,2.0,2.0,13.0,196385.0,,196398.0,,,,,,,69.7064421605073,2,,65221;65227;65239;65241;65242;65243,"Chavuma, Kalabo, Lukulu, Mongu, Senanga, Zambezi (Adm2)."
2007-0010-ZMB,2007,10,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"North-Western, Copperbelt, Western, Central provinces",Torrential rain,,,,,,1929.0,290.0,Km2,-12.95,24.37,,Zambezi tributaries,2007,1.0,10.0,2007,5.0,10.0,4.0,,1400000.0,,1400000.0,,,,,,,76.5186792040236,1,3426;3427;3431;3434,,"Central, Copperbelt, North-Western, Western (Adm1)."
2007-0040-ZMB,2007,40,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Chama, Mambwe districts (Eastern province), Kapiri-Mposhi district (Central province)",Heavy rains,,,,,,,,Km2,-10.62,32.59,,,2007,1.0,20.0,2007,3.0,10.0,,,118755.0,,118755.0,,,,,,,76.5186792040236,2,,65176;65191;65195,"Chama, Kapiri-Mposhi, Mambwe (Adm2)."
2007-0633-ZMB,2007,633,FL-2007-000011,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Monze, Mazabuka, Siavonga, Sinazongwe, Namwala districts (Southern province), Mumbwa, Mkushi districts (Central province), Kafue district (Lusaka province)",Heavy rains,,,Yes,Yes,,,2180.0,Km2,-15.94,27.77,,Magoya,2007,12.0,30.0,2008,2.0,27.0,10.0,,34766.0,,34766.0,,,,,,,76.5186792040236,2,,65177;65178;65206;65234;65235;65236;65237;65238,"Kafue, Mazabuka, Mkushi, Monze, Mumbwa, Namwala, Siavonga, Sinazongwe (Adm2)."
2008-0629-ZMB,2008,629,,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Western, North-Western provinces",,,,,,,,,Km2,,,,,2008,2.0,9.0,2008,5.0,1.0,4.0,,15000.0,,15000.0,,,,,,,79.4563043953641,1,3431;3434,,"North-Western, Western (Adm1)."
2009-0103-ZMB,2009,103,FL-2009-000068,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Shang'ombo, Mongu, Kalabo, Lukulu, Senanga districts (Western province), North-Western, Northern, Central, Eastern provinces",Heavy rain,,,,,,,,Km2,-18.76,24.23,,Zambezi and Kwando rivers,2009,2.0,27.0,2009,3.0,27.0,31.0,,614814.0,,614814.0,,,,,,,79.1738027553029,1;2,3426;3428;3431;3432,65239;65241;65242;65243;65245,"Central, Eastern, North-Western, Northern (Adm1). Kalabo, Lukulu, Mongu, Senanga, Shang'ombo (Adm2)."
2010-0116-ZMB,2010,116,FL-2010-000038,Natural,Hydrological,Flood,Riverine flood,,,Zambia,ZMB,Eastern Africa,Africa,"Sinazongwe, Livingstone, Gwembe districts (Southern province), Mpulungu, Mbala districts (Northern province), North-Western, Lusaka provinces",Heavy rains,,,,,,,85510.0,Km2,,,,"Zambezi, Kasaya, Luangwa rivers",2010,3.0,1.0,2010,3.0,17.0,,,1200.0,,1200.0,,,,,,,80.472285151979,1;2,3430;3431,65215;65218;65229;65233;65238,"Lusaka, North-Western (Adm1). Gwembe, Livingstone, Mbala, Mpulungu, Sinazongwe (Adm2)."
2019-0048-ZMB,2019,48,,Natural,Hydrological,Flood,,,,Zambia,ZMB,Eastern Africa,Africa,Muchinga Province,Heavy seasonal rains,,,,,,,,Km2,,,,,2019,1.0,1.0,2019,1.0,31.0,4.0,,,,,,,,,,,94.3490924994534,2,,65191;65210;65211;65216;65220,"Chama, Chinsali, Isoka, Mpika, Nakonde (Adm2)."
2020-0110-ZMB,2020,110,,Natural,Hydrological,Flood,,,,Zambia,ZMB,Eastern Africa,Africa,"Samfya, Mushindamo, Nakonde districts (Luapula province)",Heavy rains,,,,,,,,Km2,,,,,2020,3.0,20.0,2020,3.0,26.0,,,700000.0,,700000.0,,,,,,,95.5129674174503,2,,65204;65220;65226,"Nakonde, Samfya, Solwezi (Adm2)."
2020-0604-ZMB,2020,604,FF-2020-000240,Natural,Hydrological,Flood,,,,Zambia,ZMB,Eastern Africa,Africa,"Munengo, Kambobe, Katala, Chiloweni communities of Mapona ward in Mumbwa district of Central province",Heavy rains,Broken Dam/Burst bank,,,,,,,Km2,,,,,2020,12.0,22.0,2020,12.0,26.0,3.0,,4272.0,,4272.0,,,,,,,95.5129674174503,2,,65178,Mumbwa (Adm2).
2022-0043-ZMB,2022,43,FL-2022-000135,Natural,Hydrological,Flood,,,,Zambia,ZMB,Eastern Africa,Africa,"Namwala, Kalomo and Choma Districts",Heavy rains,,,,,,,,Km2,,,,Kafue River,2022,1.0,13.0,2022,1.0,20.0,3.0,,15000.0,,15000.0,,,,,,,,2,,65228;65231;65236,"Choma, Kalomo, Namwala (Adm2)."
