deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
200,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1851-10-12,1851-10-14,1851-10-15
400,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1851-10-17,1851-10-19,1851-10-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1855-07-03,1855-07-05,1855-07-06
14,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1865-10-10,1865-10-15,1865-10-15
13,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1865-10-19,1865-10-21,1865-10-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1893-06-14,1893-06-16,1893-06-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1911-02-18,1911-02-20,1911-02-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1919-12-22,1919-12-24,1919-12-25
36,102,0,0,2500,0,15000,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1920-11-26,1920-11-28,1920-11-29
14,300,0,173,1790,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1920-12-18,1920-12-20,1920-12-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1921-03-30,1921-04-01,1921-04-02
30,100,0,446,188,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1930-11-21,1930-11-23,1930-11-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1935-03-31,1935-04-05,1935-04-05
44,119,0,1424,2200,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1942-08-27,1942-08-29,1942-08-30
2,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1946-10-11,1946-10-16,1946-10-16
12,0,0,117,95,0,0,0,0,0,97402501.92,0,0,12861.1,2773,205,FLOODS,1946-10-23,1946-10-28,1946-10-28
0,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,100,0,FLOODS,1946-10-30,1946-11-04,1946-11-04
1,0,0,22,31,0,0,0,0,0,2200.0,0,0,0.0,61,0,FLOODS,1946-11-15,1946-11-20,1946-11-20
0,0,0,0,0,0,0,0,0,0,20079.0,0,0,0.0,0,0,FLOODS,1947-05-25,1947-05-30,1947-05-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1947-08-29,1947-09-03,1947-09-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1947-11-23,1947-11-28,1947-11-28
0,0,0,5,3,0,0,0,0,0,483106.0,0,0,0.0,0,0,FLOODS,1947-12-12,1947-12-17,1947-12-17
1,21,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1948-08-27,1948-08-29,1948-08-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,5059.5,0,0,FLOODS,1949-05-24,1949-05-29,1949-05-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,2583.0,0,0,FLOODS,1949-10-02,1949-10-07,1949-10-07
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1949-12-06,1949-12-11,1949-12-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1952-12-17,1952-12-22,1952-12-22
0,0,0,0,0,0,0,0,0,0,52747.0,0,0,0.0,0,0,FLOODS,1953-11-01,1953-11-06,1953-11-06
0,0,0,0,0,0,0,0,0,0,769995.0,0,0,6.5,0,0,FLOODS,1953-11-12,1953-11-17,1953-11-17
5,0,0,3,0,0,0,0,0,0,7756112.0,0,0,3778.4,87,0,FLOODS,1953-12-12,1953-12-17,1953-12-17
0,0,0,3,0,12,0,0,12,0,0.0,0,0,0.0,22,0,STORMS,1954-10-16,1954-10-21,1954-10-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,2897.8,0,0,FLOODS,1955-04-10,1955-04-15,1955-04-15
