deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0,0,0,FLOODS,1914-11-15,1914-11-20,1914-11-20
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1916-03-26,1916-03-31,1916-03-31
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,400,FLOODS,1920-09-20,1920-09-25,1920-09-25
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1921-04-13,1921-04-18,1921-04-18
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1922-03-11,1922-03-16,1922-03-16
0,0,0,50,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1922-03-25,1922-03-30,1922-03-30
10,1,0,1,0,0,100,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1922-05-25,1922-05-30,1922-05-30
0,0,0,10,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1922-09-07,1922-09-12,1922-09-12
1,0,0,2,0,8,100,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1922-11-28,1922-12-03,1922-12-03
2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1922-12-04,1922-12-09,1922-12-09
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1923-01-04,1923-01-09,1923-01-09
0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1924-05-15,1924-05-20,1924-05-20
0,0,0,50,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1925-04-29,1925-05-04,1925-05-04
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1925-06-02,1925-06-07,1925-06-07
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1926-10-17,1926-10-22,1926-10-22
0,0,0,10,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1927-07-15,1927-07-20,1927-07-20
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1928-01-15,1928-01-20,1928-01-20
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1928-11-16,1928-11-21,1928-11-21
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1930-03-01,1930-03-06,1930-03-06
0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1930-10-12,1930-10-17,1930-10-17
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1931-11-06,1931-11-11,1931-11-11
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1931-11-24,1931-11-29,1931-11-29
0,0,0,400,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1932-11-10,1932-11-15,1932-11-15
0,0,0,50,0,0,1000,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1932-11-21,1932-11-26,1932-11-26
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1933-03-20,1933-03-25,1933-03-25
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1933-04-15,1933-04-20,1933-04-20
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1933-05-15,1933-05-20,1933-05-20
3,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1934-06-01,1934-06-06,1934-06-06
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1934-10-10,1934-10-15,1934-10-15
3,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1934-11-28,1934-12-03,1934-12-03
10,0,0,8,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1935-02-04,1935-02-09,1935-02-09
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1935-02-13,1935-02-18,1935-02-18
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1935-03-31,1935-04-05,1935-04-05
