deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1981-01-01,1981-01-06,1981-01-06
3,52,30,0,806,0,5000,0,9,0,0,0,0,0,0,0,STORMS,1983-01-01,1983-01-06,1983-01-06
3,52,30,0,805,0,5000,0,9,0,0,0,0,0,0,0,STORMS,1983-01-11,1983-01-16,1983-01-16
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2004-03-01,2004-03-06,2004-03-06
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,STORMS,2004-04-06,2004-04-11,2004-04-11
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,STORMS,2007-02-27,2007-03-04,2007-03-04
3,52,30,0,805,0,9,0,0,0,0,0,0,0,0,0,STORMS,2011-01-01,2011-01-06,2011-01-06
1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2011-02-01,2011-02-06,2011-02-06
0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,FLOODS,2011-04-01,2011-04-06,2011-04-06
2,15,0,160,93,0,55333,1554,0,0,0,0,0,0,0,0,FLOODS,2012-04-01,2012-04-06,2012-04-06
1,50,925,25,374,0,9932,0,0,0,0,0,0,0,0,0,FLOODS,2012-04-12,2012-04-17,2012-04-17
0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,FLOODS,2012-11-12,2012-11-17,2012-11-17
0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,FLOODS,2013-07-01,2013-07-06,2013-07-06
