deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1990-07-17,1990-07-22,1990-07-22
0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,FLOODS,1990-09-22,1990-09-27,1990-09-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1990-12-20,1990-12-25,1990-12-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1994-05-19,1994-05-24,1994-05-24
5,2,0,0,0,0,0,0,1,0,0,0,0,11,172,0,FLOODS,1994-11-20,1994-11-25,1994-11-25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,FLOODS,1995-01-16,1995-01-21,1995-01-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1996-12-13,1996-12-18,1996-12-18
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,1997-02-23,1997-02-28,1997-02-28
2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,FLOODS,1997-08-15,1997-08-20,1997-08-20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2000-08-24,2000-08-29,2000-08-29
3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,FLOODS,2002-04-04,2002-04-09,2002-04-09
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2002-04-23,2002-04-28,2002-04-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2002-07-08,2002-07-13,2002-07-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2003-07-11,2003-07-16,2003-07-16
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2003-08-18,2003-08-23,2003-08-23
0,3,0,0,0,0,0,0,0,0,0,0,0,2,13,0,FLOODS,2004-08-10,2004-08-15,2004-08-15
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2004-08-17,2004-08-22,2004-08-22
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,FLOODS,2005-05-03,2005-05-08,2005-05-08
0,0,0,0,0,0,57,0,0,0,0,0,0,57,0,0,FLOODS,2006-04-20,2006-04-25,2006-04-25
1,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,FLOODS,2006-08-17,2006-08-22,2006-08-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2006-09-30,2006-10-05,2006-10-05
3,1,0,0,0,4,4,0,0,0,0,0,0,6,160,0,FLOODS,2007-04-14,2007-04-19,2007-04-19
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2008-08-15,2008-08-20,2008-08-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2008-12-20,2008-12-25,2008-12-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2009-09-16,2009-09-21,2009-09-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,FLOODS,2010-08-25,2010-08-30,2010-08-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2010-11-15,2010-11-20,2010-11-20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2010-12-03,2010-12-08,2010-12-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,STORMS,2011-05-18,2011-05-23,2011-05-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2011-09-01,2011-09-06,2011-09-06
