deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,0,0,0,0,0,60000,0,0,0,0,0,0,0.0,0,0,STORMS,1951-08-20,1951-08-25,1951-08-25
42,3000,0,2000,8000,60000,73795,0,0,0,88000000,0,1,0.0,0,0,STORMS,1979-08-29,1979-09-03,1979-09-03
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-09-04,1979-09-09,1979-09-09
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1980-08-05,1980-08-10,1980-08-10
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-09-08,1981-09-13,1981-09-13
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-09-20,1983-09-25,1983-09-25
2,0,0,0,0,0,73795,0,0,2000000,0,0,0,0.0,0,0,STORMS,1984-11-06,1984-11-11,1984-11-11
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1987-09-23,1987-09-28,1987-09-28
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-09-09,1988-09-14,1988-09-14
0,0,0,0,0,0,71119,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-08-14,1993-08-19,1993-08-19
0,0,0,0,0,0,71183,0,0,0,30000000,0,0,1478.0,0,0,FLOODS,1994-09-09,1994-09-14,1994-09-14
1,1,0,39,41,1000,48073,0,0,47000000,0,5,0,0.0,0,0,STORMS,1995-09-04,1995-09-09,1995-09-09
0,0,0,0,0,0,80112,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-07-07,1996-07-12,1996-07-12
0,0,0,0,0,0,71183,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-09-08,1996-09-13,1996-09-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1998-03-01,1998-03-03,1998-03-04
0,0,0,0,0,0,71183,0,0,0,0,0,0,0.0,0,0,STORMS,1999-10-20,1999-10-25,1999-10-25
1,0,0,50,0,1000,71183,0,0,21541415,57084750,0,0,0.0,0,29000,STORMS,1999-11-14,1999-11-19,1999-11-19
0,0,0,0,0,0,71183,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-09-17,2000-09-22,2000-09-22
0,0,0,0,0,0,71242,0,0,0,0,0,0,0.0,0,0,STORMS,2001-10-05,2001-10-10,2001-10-10
0,0,0,0,0,0,79724,0,0,0,0,0,0,0.0,0,0,FLOODS,2004-08-03,2004-08-08,2004-08-08
0,0,0,0,150,0,5897,0,0,0,119000000,0,3,57.0,16,0,EARTHQUAKES,2004-11-21,2004-11-23,2004-11-24
2,2,0,43,771,13883,91552,0,0,59996846,162920539,0,1,9000.0,706,0,STORMS,2007-08-17,2007-08-22,2007-08-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,2007-11-29,2007-12-01,2007-12-02
0,0,0,0,0,0,72568,0,0,0,0,0,0,0.0,0,0,STORMS,2010-08-20,2010-08-25,2010-08-25
0,0,0,0,0,0,70739,0,0,0,0,0,0,0.0,0,0,FLOODS,2010-09-01,2010-09-06,2010-09-06
0,0,0,0,0,0,79759,0,0,0,0,0,0,0.0,0,0,FLOODS,2011-08-20,2011-08-25,2011-08-25
0,0,0,0,0,0,65113,0,0,0,0,0,0,0.0,0,0,STORMS,2011-09-08,2011-09-13,2011-09-13
0,0,0,15,43,2187,70739,0,0,0,0,0,0,0.0,0,0,STORMS,2011-09-24,2011-09-29,2011-09-29
0,0,0,0,0,0,5626,0,0,0,0,0,0,0.0,0,0,FLOODS,2011-10-20,2011-10-25,2011-10-25
0,0,0,0,0,0,5626,0,0,0,0,0,0,0.0,0,0,FLOODS,2012-08-13,2012-08-18,2012-08-18
0,0,0,0,0,0,76782,0,0,0,0,0,0,0.0,0,0,STORMS,2012-08-22,2012-08-27,2012-08-27
0,0,0,0,0,0,70739,0,0,0,0,0,0,0.0,0,0,FLOODS,2012-10-12,2012-10-17,2012-10-17
2,1,0,0,0,0,15701,0,0,0,0,0,0,0.0,0,0,FLOODS,2013-04-19,2013-04-24,2013-04-24
