deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1900-06-01,1900-06-06,1900-06-06
85,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1902-02-26,1902-03-03,1902-03-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1903-01-01,1903-01-06,1903-01-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1903-09-01,1903-09-06,1903-09-06
0,0,0,0,2,2,1,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1906-10-01,1906-10-06,1906-10-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1908-01-01,1908-01-06,1908-01-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1908-07-01,1908-07-06,1908-07-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1909-07-01,1909-07-06,1909-07-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1909-08-01,1909-08-06,1909-08-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1909-09-01,1909-09-06,1909-09-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1909-10-01,1909-10-06,1909-10-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1911-07-01,1911-07-06,1911-07-06
2,0,0,3,4,1,2,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1913-10-01,1913-10-06,1913-10-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,FLOODS,1915-05-28,1915-06-02,1915-06-02
0,0,0,0,1,0,1,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1915-08-29,1915-09-03,1915-09-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1916-05-16,1916-05-21,1916-05-21
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1916-10-06,1916-10-11,1916-10-11
0,0,0,2,0,0,16,0,0,0.0,0,0,0,0.0,2,0,FLOODS,1916-10-15,1916-10-20,1916-10-20
1,0,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1918-06-15,1918-06-20,1918-06-20
0,0,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1919-05-08,1919-05-13,1919-05-13
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1920-08-22,1920-08-27,1920-08-27
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1921-06-02,1921-06-07,1921-06-07
0,0,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1921-06-30,1921-07-05,1921-07-05
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1921-10-18,1921-10-23,1921-10-23
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1922-06-12,1922-06-17,1922-06-17
0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1923-06-20,1923-06-25,1923-06-25
0,0,0,1,1,0,0,0,0,0.0,0,0,0,0.0,5000,0,FLOODS,1923-07-06,1923-07-11,1923-07-11
0,1,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1925-08-25,1925-08-30,1925-08-30
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1925-09-28,1925-10-03,1925-10-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1926-04-13,1926-04-18,1926-04-18
8,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1926-05-15,1926-05-20,1926-05-20
0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1926-06-01,1926-06-06,1926-06-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1926-07-26,1926-07-31,1926-07-31
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1926-08-23,1926-08-28,1926-08-28
0,0,0,0,2,0,0,0,0,0.0,0,1,0,0.0,0,0,FLOODS,1927-08-08,1927-08-13,1927-08-13
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1927-09-20,1927-09-25,1927-09-25
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1928-09-22,1928-09-27,1928-09-27
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1929-05-28,1929-06-02,1929-06-02
