deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1866-08-16,1866-08-21,1866-08-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1867-11-18,1867-11-23,1867-11-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1877-09-22,1877-09-27,1877-09-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1878-09-02,1878-09-07,1878-09-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1888-01-10,1888-01-12,1888-01-13
4,12,0,9,0,28,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1938-11-20,1938-11-25,1938-11-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1939-07-23,1939-07-28,1939-07-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1954-10-06,1954-10-11,1954-10-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1961-07-20,1961-07-25,1961-07-25
6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1963-09-30,1963-10-05,1963-10-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1965-10-25,1965-10-27,1965-10-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1966-08-06,1966-08-08,1966-08-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1970-09-20,1970-09-25,1970-09-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1972-07-05,1972-07-07,1972-07-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1974-08-14,1974-08-19,1974-08-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1974-09-05,1974-09-07,1974-09-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1974-10-02,1974-10-07,1974-10-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-09-11,1975-09-16,1975-09-16
0,0,0,0,0,0,0,0,0,4237000,10000000,0,0,80.94,0,193121.0,FLOODS,1975-11-09,1975-11-14,1975-11-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1977-11-04,1977-11-06,1977-11-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1978-08-11,1978-08-16,1978-08-16
0,0,0,0,0,0,0,0,0,5300000,0,0,0,0.0,0,0.0,STORMS,1980-08-04,1980-08-09,1980-08-09
0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0.0,STORMS,1986-09-08,1986-09-13,1986-09-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1986-11-28,1986-11-30,1986-12-01
0,0,0,0,1,0,0,0,2,0,0,0,0,0.0,0,0.0,STORMS,1988-07-21,1988-07-26,1988-07-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1988-10-01,1988-10-06,1988-10-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1988-10-15,1988-10-20,1988-10-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1988-12-29,1988-12-31,1989-01-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1990-03-26,1990-03-28,1990-03-29
0,0,0,0,98,0,1000,0,0,3000000,0,0,0,0.0,0,0.0,STORMS,1990-07-25,1990-07-30,1990-07-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1997-04-22,1997-04-24,1997-04-25
0,12,0,12,0,40,0,0,0,94340000,250000000,0,0,0.0,0,44000.0,FLOODS,1999-11-17,1999-11-22,1999-11-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,2001-10-08,2001-10-13,2001-10-13
0,0,0,1,15,0,0,0,0,0,0,0,0,0.0,3,4.9,STORMS,2002-09-24,2002-09-29,2002-09-29
0,0,0,8,40,0,0,0,36,0,0,0,0,0.0,0,0.0,FLOODS,2003-12-13,2003-12-18,2003-12-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,2004-08-14,2004-08-19,2004-08-19
33,680,0,40,27735,83205,79538,0,2015,889000000,2389810000,55,3,619.9000000000001,14391,0.0,STORMS,2004-09-07,2004-09-12,2004-09-12
2,0,0,337,5781,5961,78170,0,7386,75478000,0,14,2,0.0,0,171799.0,STORMS,2005-07-14,2005-07-19,2005-07-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,2007-09-01,2007-09-06,2007-09-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2009-09-13,2009-09-18,2009-09-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,2010-10-26,2010-10-31,2010-10-31
0,0,0,0,0,40,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2010-11-26,2010-12-01,2010-12-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2011-11-20,2011-11-25,2011-11-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2011-12-06,2011-12-11,2011-12-11
0,0,0,0,0,4470,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2012-04-24,2012-04-29,2012-04-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,2012-08-03,2012-08-08,2012-08-08
1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,2013-09-14,2013-09-19,2013-09-19
