deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,0,0,0,1500,25,9020,0,0,0.0,64.0,0,0,2.43,0,0.0,FLOODS,1972-04-24,1972-04-29,1972-04-29
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,7.62,FLOODS,1972-04-30,1972-05-05,1972-05-05
0,0,0,0,0,0,500,0,500,0.0,250.0,0,0,0.0,0,0.0,FLOODS,1973-04-29,1973-05-04,1973-05-04
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-06-01,1977-06-06,1977-06-06
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-11-11,1977-11-16,1977-11-16
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1979-02-26,1979-03-03,1979-03-03
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1979-05-19,1979-05-24,1979-05-24
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1979-05-30,1979-06-04,1979-06-04
2,0,0,12,35,0,0,78,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1980-07-27,1980-08-01,1980-08-01
1,4,0,2,2,0,0,0,8,0.0,0.0,0,0,0.0,0,0.0,STORMS,1982-12-21,1982-12-26,1982-12-26
0,0,0,0,25,0,125,0,0,0.0,0.0,0,0,400.0,0,0.0,FLOODS,1983-05-14,1983-05-19,1983-05-19
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1984-05-29,1984-06-03,1984-06-03
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1984-07-25,1984-07-30,1984-07-30
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1984-08-16,1984-08-21,1984-08-21
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1984-08-27,1984-09-01,1984-09-01
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1984-10-16,1984-10-21,1984-10-21
0,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0.0,0,0.0,FLOODS,1985-03-07,1985-03-12,1985-03-12
0,0,0,0,600,1,60,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1985-06-14,1985-06-19,1985-06-19
0,0,0,6,11,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1986-07-04,1986-07-09,1986-07-09
0,0,0,0,60,0,300,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1988-01-19,1988-01-24,1988-01-24
0,0,0,0,50,0,250,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1988-04-17,1988-04-22,1988-04-22
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1988-07-06,1988-07-11,1988-07-11
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1988-12-21,1988-12-26,1988-12-26
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1990-02-24,1990-03-01,1990-03-01
0,0,0,0,0,0,300,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1990-03-13,1990-03-18,1990-03-18
0,0,0,0,0,53,53,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1990-09-18,1990-09-23,1990-09-23
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1991-01-05,1991-01-10,1991-01-10
0,0,0,1,0,60,300,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1992-10-25,1992-10-30,1992-10-30
0,0,0,0,0,0,800,0,20,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-03-05,1993-03-10,1993-03-10
0,0,0,0,0,0,200,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-04-06,1993-04-11,1993-04-11
0,0,0,0,0,0,1000,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-11-12,1993-11-17,1993-11-17
0,0,0,0,0,0,1500,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-11-23,1993-11-28,1993-11-28
0,0,0,0,0,200,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-12-11,1993-12-16,1993-12-16
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-03-15,1995-03-20,1995-03-20
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-04-15,1995-04-20,1995-04-20
0,0,0,0,0,870,870,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-07-23,1995-07-28,1995-07-28
1,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1995-10-24,1995-10-29,1995-10-29
0,0,0,1,12,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1995-11-15,1995-11-20,1995-11-20
