deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
29,107,1,9505,0,18198,18305,0,0,0.0,0,0,0,14420.0,1225,0.0,STORMS,2004-01-26,2004-01-31,2004-01-31
213,891,174,102930,0,265813,266704,0,0,0.0,0,0,0,46800.0,11655,0.0,STORMS,2004-03-07,2004-03-12,2004-03-12
23,0,6,2110,0,10651,10651,0,0,0.0,0,0,0,0.0,30,0.0,STORMS,2004-04-04,2004-04-09,2004-04-09
14,0,0,0,0,57206,57206,0,0,0.0,0,0,0,38200.0,0,0.0,FLOODS,2005-03-08,2005-03-13,2005-03-13
0,0,0,0,0,19800,2777,0,0,0.0,0,0,0,10300.0,0,0.0,FLOODS,2005-03-31,2005-04-05,2005-04-05
150,126,30,54485,0,188331,188457,31385,0,0.0,0,0,0,63719.0,681,0.0,STORMS,2007-03-09,2007-03-14,2007-03-14
1,2,0,3796,0,8015,8017,8015,0,0.0,0,0,0,0.0,19,0.0,STORMS,2007-03-26,2007-03-31,2007-03-31
93,749,176,135508,0,332171,332920,110785,0,0.0,0,0,0,192386.0,917,0.0,STORMS,2008-02-17,2008-02-22,2008-02-22
13,2,0,1192,0,11513,11515,1186,0,0.0,0,0,0,921.0,2,0.0,STORMS,2008-02-27,2008-03-03,2008-03-03
0,0,0,44,0,400,400,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2008-03-05,2008-03-10,2008-03-10
0,0,0,400,0,7800,7800,0,0,0.0,0,0,0,0.0,0,0.0,FLOODS,2008-08-29,2008-09-03,2008-09-03
1,0,0,0,0,0,0,0,0,0.0,0,0,0,3.0,130,0.0,STORMS,2009-02-24,2009-03-01,2009-03-01
12,33,0,10100,0,58389,58422,3939,0,0.0,0,0,0,3062.0,91,0.0,STORMS,2010-02-03,2010-02-08,2010-02-08
85,141,34,13845,0,179585,179726,70149,0,0.0,0,0,0,53794.0,2085,0.0,STORMS,2010-03-09,2010-03-14,2010-03-14
17,39,7,4026,8107,80078,80117,17277,0,0.0,0,4,0,47935.0,0,3.0,STORMS,2011-02-09,2011-02-14,2011-02-14
3,25,0,3380,8438,20028,20053,6962,0,0.0,0,0,0,0.0,0,0.0,STORMS,2011-02-22,2011-02-27,2011-02-27
35,284,0,44159,28791,246869,247153,0,0,0.0,0,518,74,11517.0,124,0.0,STORMS,2012-02-09,2012-02-14,2012-02-14
77,15,3,1372,7203,85335,85350,0,0,0.0,0,16,10,16313.0,25,140.0,STORMS,2012-02-26,2012-03-02,2012-03-02
2,0,0,0,0,0,4,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2012-12-23,2012-12-28,2012-12-28
3,0,0,11,959,4359,4359,955,0,0.0,0,0,0,0.0,0,0.0,STORMS,2013-01-19,2013-01-24,2013-01-24
7,0,0,160,1256,2456,2456,1415,0,0.0,0,0,0,0.0,0,0.0,STORMS,2013-01-28,2013-02-02,2013-02-02
26,98,18,5167,34669,66845,66943,33940,0,0.0,0,154,27,44965.0,0,0.0,STORMS,2013-02-19,2013-02-24,2013-02-24
3,0,9,437,174,2141,2141,0,0,0.0,0,0,0,5629.0,23,0.0,STORMS,2014-03-30,2014-04-04,2014-04-04
80,36,9,4400,111,174270,174306,35418,0,0.0,0,345,9,46535.0,1209,0.0,STORMS,2015-02-07,2015-02-12,2015-02-12
6,32,0,1686,715,30179,30211,4273,0,0.0,0,42,0,4110.0,0,0.0,STORMS,2015-02-22,2015-02-27,2015-02-27
12,0,0,828,0,92593,92593,39319,0,0.0,0,0,0,13026.0,0,0.0,FLOODS,2015-03-10,2015-03-15,2015-03-15
6,32,0,34,7701,31208,0,1817,0,0.0,0,6,0,17664.0,0,0.0,FLOODS,2016-02-02,2016-02-07,2016-02-07
81,253,17,40002,68496,429024,0,244028,0,0.0,0,434,29,28522.0,0,33.5,STORMS,2017-03-15,2017-03-20,2017-03-20
0,0,1,518,1159,8381,0,3191,0,0.0,0,26,5,0.0,0,0.0,STORMS,2017-05-23,2017-05-28,2017-05-28
70,28,27,8630,23317,201534,0,66953,0,0.0,0,0,0,21498.34,0,0.0,STORMS,2018-06-29,2018-07-04,2018-07-04
1,2,0,109,18,10666,0,7313,0,0.0,0,0,0,0.0,0,0.0,STORMS,2018-07-18,2018-07-23,2018-07-23
