deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,3,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,STORMS,1971-04-07,1971-04-12,1971-04-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1971-04-29,1971-05-04,1971-05-04
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1971-06-06,1971-06-11,1971-06-11
7,5,0,36,6,0,675,0,0,0,0.0,0,0,0.0,50,0,FLOODS,1971-06-14,1971-06-19,1971-06-19
25,0,0,17,107,0,0,0,0,0,0.0,0,0,0.0,261,0,FLOODS,1971-06-22,1971-06-27,1971-06-27
31,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,900,0,FLOODS,1971-07-02,1971-07-07,1971-07-07
6,0,0,2,0,0,135,0,0,0,60000.0,0,0,0.0,0,0,FLOODS,1971-07-27,1971-08-01,1971-08-01
1,0,0,0,16,0,0,0,0,0,0.0,0,0,500.0,0,0,FLOODS,1971-08-12,1971-08-17,1971-08-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1971-08-21,1971-08-26,1971-08-26
27,0,0,14,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1971-09-07,1971-09-12,1971-09-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1971-11-20,1971-11-25,1971-11-25
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-03-05,1972-03-10,1972-03-10
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-03-30,1972-04-04,1972-04-04
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-04-10,1972-04-15,1972-04-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-04-17,1972-04-22,1972-04-22
3,1,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,STORMS,1972-05-19,1972-05-24,1972-05-24
0,0,0,0,50,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-05-26,1972-05-31,1972-05-31
0,0,0,0,30,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-06-06,1972-06-11,1972-06-11
15,1,7,3,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-06-19,1972-06-24,1972-06-24
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-06-27,1972-07-02,1972-07-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-07-05,1972-07-10,1972-07-10
29,67,0,30,0,0,250,0,250,0,260000.0,0,0,112.0,3,0,FLOODS,1972-07-28,1972-08-02,1972-08-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,85.0,0,0,FLOODS,1972-08-13,1972-08-18,1972-08-18
0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-09-16,1972-09-21,1972-09-21
0,0,0,7,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-10-07,1972-10-12,1972-10-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-10-30,1972-11-04,1972-11-04
0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,1,0,STORMS,1973-01-08,1973-01-13,1973-01-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-01-22,1973-01-27,1973-01-27
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-02-16,1973-02-21,1973-02-21
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-04-02,1973-04-07,1973-04-07
3,0,0,0,2,0,120,0,0,0,600000.0,0,0,0.0,0,0,STORMS,1973-04-24,1973-04-29,1973-04-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-04-30,1973-05-05,1973-05-05
1,5,0,0,27,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-05-12,1973-05-17,1973-05-17
2,0,0,0,35,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1973-05-20,1973-05-25,1973-05-25
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,STORMS,1973-05-30,1973-06-04,1973-06-04
5,0,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-06-06,1973-06-11,1973-06-11
3,0,0,40,0,0,7200,0,0,0,0.0,0,0,203.0,0,0,FLOODS,1973-07-02,1973-07-07,1973-07-07
1,0,0,19,3,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1973-08-01,1973-08-06,1973-08-06
1,0,4,70,25,0,0,0,0,0,0.0,0,0,813.0,0,0,FLOODS,1973-08-11,1973-08-16,1973-08-16
0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-08-23,1973-08-28,1973-08-28
1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-09-05,1973-09-10,1973-09-10
8,0,0,102,0,0,0,0,0,0,0.0,0,0,203.0,0,0,FLOODS,1973-09-19,1973-09-24,1973-09-24
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1973-10-04,1973-10-09,1973-10-09
4,12,0,60,0,0,0,0,0,0,0.0,0,0,170.0,0,0,FLOODS,1973-10-16,1973-10-21,1973-10-21
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-11-16,1973-11-21,1973-11-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-11-22,1973-11-27,1973-11-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6,0,FLOODS,1974-01-23,1974-01-28,1974-01-28
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1974-03-24,1974-03-26,1974-03-27
0,0,0,1,0,0,0,0,0,0,3000.0,0,0,0.0,0,0,STORMS,1974-03-27,1974-04-01,1974-04-01
1,2,0,0,7,0,0,0,0,0,250000.0,0,0,0.0,0,0,STORMS,1974-04-05,1974-04-10,1974-04-10
1,51,0,0,100,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-04-30,1974-05-05,1974-05-05
1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-05-14,1974-05-19,1974-05-19
1,0,0,70,7,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-05-20,1974-05-25,1974-05-25
0,0,0,0,0,0,0,0,0,0,53000.0,0,0,455.0,0,0,FLOODS,1974-06-27,1974-07-02,1974-07-02
0,0,0,6,0,0,0,0,0,0,200000.0,0,0,0.0,15,0,FLOODS,1974-07-03,1974-07-08,1974-07-08
0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-07-09,1974-07-14,1974-07-14
6,0,0,68,0,0,124,0,90,0,0.0,0,0,207.0,7,0,FLOODS,1974-07-28,1974-08-02,1974-08-02
3,0,0,211,80,0,1620,0,0,0,3000000.0,0,0,6351.0,0,0,FLOODS,1974-08-03,1974-08-08,1974-08-08
3,0,0,15,0,0,0,0,0,0,0.0,0,0,1731.0,0,0,FLOODS,1974-08-11,1974-08-16,1974-08-16
0,0,0,140,0,0,2680,0,0,0,0.0,0,0,4103.0,0,0,FLOODS,1974-08-27,1974-09-01,1974-09-01
0,1,0,43,0,0,5701,0,84,0,1.0,0,0,305.0,3,45,FLOODS,1974-09-02,1974-09-07,1974-09-07
37,4,0,73,0,0,3260,0,0,0,0.0,0,0,897.0,8,1000,FLOODS,1974-09-08,1974-09-13,1974-09-13
19,0,0,57,0,0,128,0,0,0,443000.0,0,0,2799.0,0,0,FLOODS,1974-09-16,1974-09-21,1974-09-21
0,0,0,105,16,0,0,0,0,0,60000.0,0,0,0.0,0,0,FLOODS,1974-10-08,1974-10-13,1974-10-13
10,0,0,0,0,0,0,0,0,0,30000.0,0,0,0.0,0,0,STORMS,1975-03-17,1975-03-22,1975-03-22
5,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-04-22,1975-04-27,1975-04-27
7,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,250,0,STORMS,1975-04-28,1975-05-03,1975-05-03
2,0,0,0,9,0,0,0,0,0,8500.0,0,0,0.0,10,0,STORMS,1975-05-15,1975-05-20,1975-05-20
5,22,0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-05-22,1975-05-27,1975-05-27
0,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-06-04,1975-06-09,1975-06-09
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1975-06-12,1975-06-17,1975-06-17
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1975-06-18,1975-06-23,1975-06-23
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-07-06,1975-07-11,1975-07-11
0,0,0,12,0,0,127,0,0,0,5000.0,0,0,677.2,0,0,FLOODS,1975-07-26,1975-07-31,1975-07-31
10,1,6,0,6,0,0,0,0,0,0.0,0,0,270.88,0,0,FLOODS,1975-08-01,1975-08-06,1975-08-06
0,0,0,0,3,0,5000,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1975-08-13,1975-08-18,1975-08-18
11,1,14,53,5,0,1464,0,0,0,802000.0,0,0,329.0,50,0,FLOODS,1975-08-25,1975-08-30,1975-08-30
3,3,0,1,2,0,0,0,0,0,0.0,0,0,15.26,0,0,STORMS,1975-08-31,1975-09-05,1975-09-05
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-09-09,1975-09-14,1975-09-14
0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-10-22,1975-10-27,1975-10-27
4,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,4,0,STORMS,1976-02-17,1976-02-22,1976-02-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,18000.0,5,0,STORMS,1976-03-07,1976-03-12,1976-03-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,5000.0,0,0,STORMS,1976-04-04,1976-04-09,1976-04-09
1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1976-05-01,1976-05-06,1976-05-06
2,1,0,3,0,0,0,0,0,0,0.0,0,0,0.0,6,0,STORMS,1976-05-07,1976-05-12,1976-05-12
0,0,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1976-05-27,1976-06-01,1976-06-01
1,0,0,17,0,0,0,0,0,0,0.0,0,0,46.0,0,0,FLOODS,1976-06-13,1976-06-18,1976-06-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1976-08-30,1976-09-04,1976-09-04
0,0,0,20,433,0,0,0,0,0,0.0,0,0,261.0,0,0,FLOODS,1976-09-16,1976-09-21,1976-09-21
0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,4,0,STORMS,1977-03-25,1977-03-30,1977-03-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,1500.0,0,0,STORMS,1977-04-01,1977-04-06,1977-04-06
2,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-04-08,1977-04-13,1977-04-13
1,0,0,19,0,0,0,0,0,0,350000.0,0,0,0.0,7,0,STORMS,1977-04-28,1977-05-03,1977-05-03
2,0,0,3,0,0,0,0,0,0,0.0,0,0,0.0,8,0,STORMS,1977-05-04,1977-05-09,1977-05-09
3,4,0,0,28,0,1460,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-05-27,1977-06-01,1977-06-01
0,0,0,0,30,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-06-04,1977-06-09,1977-06-09
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1977-06-20,1977-06-25,1977-06-25
0,0,0,0,0,0,0,0,0,0,0.0,0,0,67.12,0,0,FLOODS,1977-07-08,1977-07-13,1977-07-13
2,0,0,0,0,0,0,0,0,0,0.0,0,0,135.44,0,0,FLOODS,1977-07-15,1977-07-20,1977-07-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-07-29,1977-08-03,1977-08-03
11,0,0,0,80,0,480,0,0,0,0.0,0,0,541.7,0,0,FLOODS,1977-08-12,1977-08-17,1977-08-17
0,0,0,51,15,0,348,0,0,0,500000.0,0,0,203.16,0,0,FLOODS,1977-08-19,1977-08-24,1977-08-24
4,0,0,3,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1977-09-02,1977-09-07,1977-09-07
0,0,0,0,180,0,180,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1977-09-21,1977-09-26,1977-09-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-10-05,1977-10-10,1977-10-10
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,10,0,STORMS,1977-10-18,1977-10-23,1977-10-23
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-10-31,1977-11-05,1977-11-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-11-06,1977-11-11,1977-11-11
0,0,0,0,0,0,400,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-12-25,1977-12-30,1977-12-30
4,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-01-01,1978-01-06,1978-01-06
0,0,0,0,0,0,0,0,0,0,80000.0,0,0,0.0,0,0,STORMS,1978-03-30,1978-04-04,1978-04-04
4,2,0,1,23,0,0,0,0,0,0.0,0,0,0.0,1,0,STORMS,1978-04-17,1978-04-22,1978-04-22
0,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-05-17,1978-05-22,1978-05-22
0,0,0,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-05-28,1978-06-02,1978-06-02
3,1,0,1,10,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-06-04,1978-06-09,1978-06-09
6,0,0,0,0,0,4228,0,0,0,500000.0,0,0,0.0,150,0,FLOODS,1978-07-22,1978-07-27,1978-07-27
0,0,0,28,0,0,317,0,126,0,60000.0,0,0,0.0,200,0,FLOODS,1978-07-29,1978-08-03,1978-08-03
23,0,0,225,0,0,143,0,0,0,555000.0,0,0,0.0,0,0,FLOODS,1978-08-07,1978-08-12,1978-08-12
1,0,0,25,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1978-08-23,1978-08-28,1978-08-28
0,0,0,289,0,0,301,0,0,0,1608000.0,0,0,176.0,131,3000,FLOODS,1978-09-05,1978-09-10,1978-09-10
0,0,0,22,0,0,0,0,0,0,0.0,0,0,0.0,0,900,FLOODS,1978-09-13,1978-09-18,1978-09-18
0,0,0,6,0,0,0,0,0,0,0.0,0,0,169.0,0,0,FLOODS,1978-10-01,1978-10-06,1978-10-06
2,0,0,255,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1978-10-07,1978-10-12,1978-10-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,50,STORMS,1978-11-02,1978-11-07,1978-11-07
0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0.0,0,0,STORMS,1978-11-22,1978-11-27,1978-11-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-11-29,1978-12-04,1978-12-04
1,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-12-15,1978-12-20,1978-12-20
0,0,0,0,0,0,0,0,0,0,1900000.0,0,0,744.0,0,0,FLOODS,1979-02-20,1979-02-25,1979-02-25
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-02-28,1979-03-05,1979-03-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-03-30,1979-04-04,1979-04-04
0,0,0,0,0,0,0,0,0,0,35000.0,0,0,0.0,3,0,STORMS,1979-04-19,1979-04-24,1979-04-24
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-04-29,1979-05-04,1979-05-04
0,0,0,0,9,0,0,0,0,0,15000.0,0,0,0.0,0,0,STORMS,1979-05-15,1979-05-20,1979-05-20
