deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1981-02-04,1981-02-09,1981-02-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1981-03-02,1981-03-07,1981-03-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1982-04-08,1982-04-13,1982-04-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1982-06-10,1982-06-15,1982-06-15
0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,FLOODS,1982-06-23,1982-06-28,1982-06-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1982-07-07,1982-07-12,1982-07-12
0,0,0,0,70,290,0,0,0,0,0,0,0,0,0,0,FLOODS,1982-07-19,1982-07-24,1982-07-24
0,0,0,7,0,1000,850,0,0,0,0,1,0,0,0,0,FLOODS,1983-02-17,1983-02-22,1983-02-22
0,0,0,0,350,3200,1850,0,2000,0,0,1,0,0,0,0,FLOODS,1983-03-03,1983-03-08,1983-03-08
0,0,0,0,5694,23834,0,0,0,0,0,0,0,0,0,0,FLOODS,1983-06-14,1983-06-19,1983-06-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1984-04-20,1984-04-25,1984-04-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1985-01-07,1985-01-12,1985-01-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1985-03-04,1985-03-09,1985-03-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1985-04-16,1985-04-21,1985-04-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1986-04-03,1986-04-08,1986-04-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1986-04-21,1986-04-26,1986-04-26
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1987-12-12,1987-12-17,1987-12-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1988-01-14,1988-01-19,1988-01-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1988-04-29,1988-05-04,1988-05-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1988-05-09,1988-05-14,1988-05-14
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FLOODS,1988-05-16,1988-05-21,1988-05-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1988-05-26,1988-05-31,1988-05-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1988-06-02,1988-06-07,1988-06-07
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FLOODS,1988-06-09,1988-06-14,1988-06-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1988-06-15,1988-06-20,1988-06-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1988-07-03,1988-07-08,1988-07-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1989-02-04,1989-02-09,1989-02-09
0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,FLOODS,1989-05-04,1989-05-09,1989-05-09
0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,FLOODS,1989-05-13,1989-05-18,1989-05-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1989-07-27,1989-08-01,1989-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1990-04-16,1990-04-21,1990-04-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1990-07-20,1990-07-25,1990-07-25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1991-04-23,1991-04-28,1991-04-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1991-05-04,1991-05-09,1991-05-09
1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,STORMS,1991-10-05,1991-10-10,1991-10-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1991-12-26,1991-12-31,1991-12-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1992-02-24,1992-02-29,1992-02-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1992-04-06,1992-04-11,1992-04-11
0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,FLOODS,1992-05-08,1992-05-13,1992-05-13
0,0,0,0,60,50925,0,0,0,0,0,30,0,0,0,0,FLOODS,1992-05-15,1992-05-20,1992-05-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1992-06-01,1992-06-06,1992-06-06
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1992-10-01,1992-10-06,1992-10-06
0,0,0,0,500,0,0,0,0,0,0,1,0,0,0,0,FLOODS,1992-10-14,1992-10-19,1992-10-19
0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,STORMS,1993-03-09,1993-03-14,1993-03-14
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,FLOODS,1993-05-15,1993-05-20,1993-05-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1993-10-17,1993-10-22,1993-10-22
0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,FLOODS,1994-06-08,1994-06-13,1994-06-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,FLOODS,1994-11-11,1994-11-16,1994-11-16
0,0,0,0,0,400,1500,0,200,0,0,0,0,0,0,0,FLOODS,1995-01-12,1995-01-17,1995-01-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1995-03-29,1995-04-03,1995-04-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1995-04-17,1995-04-22,1995-04-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1995-05-23,1995-05-28,1995-05-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1996-04-02,1996-04-07,1996-04-07
0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,FLOODS,1996-10-10,1996-10-15,1996-10-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1996-10-16,1996-10-21,1996-10-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1996-11-06,1996-11-11,1996-11-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1997-01-03,1997-01-08,1997-01-08
0,0,0,0,280,0,2150,0,2950,0,0,0,0,0,0,0,FLOODS,1997-01-27,1997-02-01,1997-02-01
2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,STORMS,1997-04-20,1997-04-25,1997-04-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1997-05-21,1997-05-26,1997-05-26
0,0,0,0,0,0,250,0,45,0,0,0,0,0,0,0,FLOODS,1997-06-12,1997-06-17,1997-06-17
0,0,0,0,15,0,75,0,75,0,0,0,0,0,0,0,FLOODS,1997-08-05,1997-08-10,1997-08-10
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,STORMS,1997-09-05,1997-09-10,1997-09-10
0,0,0,0,0,3901,0,0,375,0,0,0,0,0,0,0,FLOODS,1997-10-09,1997-10-14,1997-10-14
0,0,0,0,0,0,0,0,705,0,0,0,0,0,0,0,FLOODS,1997-10-15,1997-10-20,1997-10-20
1,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,STORMS,1997-10-23,1997-10-28,1997-10-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1997-11-05,1997-11-10,1997-11-10
0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,FLOODS,1997-11-22,1997-11-27,1997-11-27
1,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,FLOODS,1997-12-01,1997-12-06,1997-12-06
3,0,0,0,1497,188,8323,350,493,0,0,0,0,0,0,0,FLOODS,1997-12-09,1997-12-14,1997-12-14
0,0,0,0,200,0,11280,658,1786,0,0,0,0,0,0,0,FLOODS,1997-12-15,1997-12-20,1997-12-20
0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,FLOODS,1997-12-23,1997-12-28,1997-12-28
0,0,0,300,0,13000,0,0,0,0,0,0,0,0,0,0,FLOODS,1997-12-29,1998-01-03,1998-01-03
0,0,0,5,10,0,0,0,0,0,0,0,0,5500,0,0,FLOODS,1998-02-09,1998-02-14,1998-02-14
