deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1880-01-04,1880-01-09,1880-01-09
0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,1899-08-07,1899-08-12,1899-08-12
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,1928-09-12,1928-09-17,1928-09-17
0,0,0,0,0,0,86887,0,0,0,0,0,0,0,0,0,FLOODS,1981-09-04,1981-09-09,1981-09-09
0,0,0,0,0,0,43309,0,0,0,0,0,0,0,0,0,FLOODS,1983-09-20,1983-09-25,1983-09-25
11,0,0,0,0,0,36424,0,3000,112000000,0,28,3,0,0,0,STORMS,1989-09-17,1989-09-22,1989-09-22
0,0,0,0,0,0,40618,0,0,0,0,0,0,0,0,0,FLOODS,1993-08-14,1993-08-19,1993-08-19
0,0,0,0,0,0,40618,0,0,0,0,0,0,0,0,0,FLOODS,1995-08-23,1995-08-28,1995-08-28
0,0,0,10,419,0,28791,0,0,197000000,0,26,9,0,104,0,STORMS,1995-09-04,1995-09-09,1995-09-09
0,0,0,0,500,1500,41096,0,0,200000000,0,35,4,0,0,0,STORMS,1995-09-14,1995-09-19,1995-09-19
0,0,0,0,0,0,42875,0,0,0,0,0,0,0,0,0,FLOODS,1995-10-24,1995-10-29,1995-10-29
0,0,0,0,0,0,42029,0,0,0,0,0,0,0,0,0,STORMS,1996-07-07,1996-07-12,1996-07-12
5,0,0,216,40,3000,54584,0,0,497000000,0,26,3,0,0,0,STORMS,1998-09-20,1998-09-25,1998-09-25
1,0,0,0,0,0,12605,0,0,0,0,0,0,0,0,0,FLOODS,1998-11-28,1998-12-03,1998-12-03
1,0,0,0,300,2000,44883,0,0,7248210,19207757,0,1,0,0,0,STORMS,1999-10-20,1999-10-25,1999-10-25
0,0,0,50,332,0,44484,0,0,41939650,126757057,0,0,0,0,0,STORMS,1999-11-17,1999-11-22,1999-11-22
0,0,0,0,0,0,45623,0,0,0,0,0,0,0,0,0,FLOODS,2000-09-17,2000-09-22,2000-09-22
0,0,0,0,0,100,1790,0,0,0,0,1,0,0,0,0,FLOODS,2005-10-11,2005-10-16,2005-10-16
0,0,0,14,46,304,46325,54,0,0,19755875,0,0,0,0,0,STORMS,2008-10-16,2008-10-21,2008-10-21
0,0,0,0,0,0,47413,0,0,0,0,0,0,0,0,0,STORMS,2011-08-02,2011-08-07,2011-08-07
0,0,0,0,0,0,29733,0,0,0,0,0,0,0,0,0,FLOODS,2011-08-20,2011-08-25,2011-08-25
0,0,0,0,0,0,50661,0,0,0,0,0,0,0,0,0,STORMS,2011-09-08,2011-09-13,2011-09-13
0,0,0,0,0,0,46325,0,0,0,0,0,0,0,0,0,STORMS,2011-09-28,2011-10-03,2011-10-03
0,0,0,0,0,0,48044,0,0,0,0,0,0,0,0,0,FLOODS,2012-08-03,2012-08-08,2012-08-08
0,0,0,0,0,0,46325,0,0,0,0,0,0,0,0,0,STORMS,2012-08-22,2012-08-27,2012-08-27
