deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
800,0,0,0,0,0,0,0,0,0.0,0,0,0,0,460,0,STORMS,1780-10-10,1780-10-15,1780-10-15
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1817-10-21,1817-10-26,1817-10-26
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1818-10-21,1818-10-26,1818-10-26
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1819-09-21,1819-09-26,1819-09-26
11,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1831-08-11,1831-08-16,1831-08-16
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1837-07-09,1837-07-14,1837-07-14
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,EARTHQUAKES,1839-01-11,1839-01-13,1839-01-14
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1841-10-06,1841-10-11,1841-10-11
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1867-11-18,1867-11-23,1867-11-23
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1894-10-03,1894-10-08,1894-10-08
13,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1898-09-11,1898-09-16,1898-09-16
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,EARTHQUAKES,1906-02-16,1906-02-18,1906-02-19
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1908-09-25,1908-09-30,1908-09-30
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1911-02-07,1911-02-12,1911-02-12
11,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1931-08-11,1931-08-16,1931-08-16
3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1933-11-07,1933-11-12,1933-11-12
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,EARTHQUAKES,1946-05-21,1946-05-23,1946-05-24
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,EARTHQUAKES,1953-03-19,1953-03-21,1953-03-22
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1955-09-22,1955-09-27,1955-09-27
6,0,0,0,0,0,0,0,0,41400000.0,0,0,0,0,0,0,STORMS,1960-07-10,1960-07-15,1960-07-15
