deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1816-12-23,1816-12-25,1816-12-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1831-08-11,1831-08-16,1831-08-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1844-08-30,1844-09-01,1844-09-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1867-11-18,1867-11-23,1867-11-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1875-09-09,1875-09-14,1875-09-14
4,0,0,0,0,2000,0,0,0,0,0,0,0,0.0,0,0,STORMS,1886-08-16,1886-08-21,1886-08-21
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1887-06-17,1887-06-22,1887-06-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1896-11-28,1896-12-03,1896-12-03
3,0,0,0,0,80,0,0,0,0,0,0,0,0.0,0,0,STORMS,1897-07-10,1897-07-15,1897-07-15
205,0,0,0,0,30000,40000,0,0,0,0,0,0,0.0,0,0,STORMS,1898-09-23,1898-09-28,1898-09-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1901-08-20,1901-08-25,1901-08-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1902-07-17,1902-07-19,1902-07-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1906-09-17,1906-09-19,1906-09-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1928-09-17,1928-09-19,1928-09-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1946-05-21,1946-05-23,1946-05-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1953-03-19,1953-03-21,1953-03-22
95,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1955-09-23,1955-09-28,1955-09-28
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1957-09-08,1957-09-13,1957-09-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1970-08-28,1970-09-02,1970-09-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-10-18,1977-10-23,1977-10-23
0,1,0,0,1,2,0,0,0,0,0,0,0,0.0,0,0,STORMS,1979-07-23,1979-07-28,1979-07-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1979-08-28,1979-09-02,1979-09-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1980-10-07,1980-10-12,1980-10-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-05-02,1981-05-07,1981-05-07
0,0,0,0,0,0,0,0,0,0,1000000,0,0,0.0,0,0,FLOODS,1982-01-01,1982-01-06,1982-01-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1982-01-20,1982-01-22,1982-01-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,18,FLOODS,1984-11-09,1984-11-14,1984-11-14
0,5,0,153,0,0,0,0,142,0,0,3,0,0.0,120,0,FLOODS,1986-09-20,1986-09-25,1986-09-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-09-26,1986-10-01,1986-10-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1986-11-28,1986-11-30,1986-12-01
0,0,0,36,238,208,0,0,680,5206250,12700000,0,0,1548.0,0,0,STORMS,1987-09-21,1987-09-26,1987-09-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-10-24,1988-10-29,1988-10-29
0,0,0,12,0,72,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-10-10,1990-10-15,1990-10-15
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-08-26,1991-08-31,1991-08-31
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-11-20,1991-11-25,1991-11-25
1,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-09-21,1992-09-26,1992-09-26
