deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1982-01-01,1982-01-06,1982-01-06
0,0,0,0,0,0,1,0,0,0.0,275000.0,0,0,0.0,0,0.0,FLOODS,1984-04-11,1984-04-16,1984-04-16
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1985-11-09,1985-11-14,1985-11-14
1,0,0,0,0,0,0,0,0,0.0,10000000.0,0,0,0.0,0,0.0,FLOODS,1986-04-17,1986-04-22,1986-04-22
0,0,0,0,0,0,0,0,39,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1988-01-01,1988-01-06,1988-01-06
0,0,0,0,0,45,270,0,0,0.0,70000000.0,0,0,400.0,0,0.0,STORMS,1988-06-16,1988-06-21,1988-06-21
0,0,0,0,0,120,240,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1991-01-05,1991-01-10,1991-01-10
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1991-02-06,1991-02-11,1991-02-11
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1992-01-18,1992-01-23,1992-01-23
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1992-01-26,1992-01-31,1992-01-31
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1992-02-15,1992-02-20,1992-02-20
0,0,0,0,0,0,0,0,0,0.0,1750000.0,0,0,0.0,0,0.0,STORMS,1992-02-25,1992-03-01,1992-03-01
0,0,0,0,0,80,160,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1993-01-12,1993-01-17,1993-01-17
