deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,50,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1982-02-24,1982-03-01,1982-03-01
6,0,2,35,428,0,0,0,0,0,1000000.0,0,0,0.0,144,0,FLOODS,1982-10-30,1982-11-04,1982-11-04
17,0,0,0,0,0,0,0,0,0,25000.0,0,0,7500.0,0,0,FLOODS,1982-11-05,1982-11-10,1982-11-10
6,0,0,0,2,0,0,10,0,0,0.0,0,1,0.0,0,0,FLOODS,1982-11-11,1982-11-16,1982-11-16
1,0,0,455,2621,0,0,0,0,0,2626448.0,0,0,200.0,0,0,FLOODS,1982-11-18,1982-11-23,1982-11-23
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1984-12-25,1984-12-30,1984-12-30
0,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1985-08-06,1985-08-08,1985-08-09
2,3,0,3,10,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1986-09-30,1986-10-05,1986-10-05
3,0,0,0,62,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1986-10-08,1986-10-13,1986-10-13
12,0,0,0,0,0,0,0,250,0,0.0,0,0,0.0,0,0,FLOODS,1986-10-30,1986-11-04,1986-11-04
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1987-09-28,1987-10-03,1987-10-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1988-02-18,1988-02-20,1988-02-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1988-03-25,1988-03-27,1988-03-28
0,0,0,90,0,0,0,0,0,0,0.0,1,0,0.0,0,0,EARTHQUAKES,1988-06-24,1988-06-26,1988-06-27
1,0,0,0,0,0,7,80,0,63293,103200.0,0,0,0.0,0,0,FLOODS,1988-09-19,1988-09-24,1988-09-24
0,0,0,13,2420,0,60000,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1989-11-07,1989-11-09,1989-11-10
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1989-12-30,1990-01-04,1990-01-04
11,5,12,27750,11473,0,2205,0,5000,5047684,7587634.0,80,0,550.0,0,14000,FLOODS,1990-01-16,1990-01-21,1990-01-21
4,0,0,83,0,430,430,430,0,0,0.0,0,0,3028.0,720,0,FLOODS,1990-01-22,1990-01-27,1990-01-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1990-01-28,1990-02-02,1990-02-02
4,40,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1990-02-05,1990-02-10,1990-02-10
0,0,0,3000,0,0,0,0,0,128070,192106.0,0,0,0.0,0,0,FLOODS,1990-04-22,1990-04-27,1990-04-27
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1990-08-03,1990-08-08,1990-08-08
0,0,0,0,0,20000,20000,20000,20000,0,0.0,0,0,0.0,0,0,FLOODS,1990-11-22,1990-11-27,1990-11-27
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1991-09-05,1991-09-10,1991-09-10
2,0,0,0,0,0,0,0,0,122661,200000.0,0,0,0.0,0,0,FLOODS,1991-09-25,1991-09-30,1991-09-30
0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,EARTHQUAKES,1994-09-17,1994-09-19,1994-09-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1995-01-26,1995-01-28,1995-01-29
6,0,0,0,0,0,0,0,0,0,170922.0,0,0,0.0,0,0,FLOODS,1995-09-25,1995-09-30,1995-09-30
2,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,FLOODS,1995-10-15,1995-10-20,1995-10-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1997-09-09,1997-09-14,1997-09-14
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2000-05-26,2000-05-31,2000-05-31
13,0,0,0,0,0,0,0,0,0,1235000.0,0,0,0.0,0,0,FLOODS,2002-04-30,2002-05-05,2002-05-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2002-06-24,2002-06-26,2002-06-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2003-01-10,2003-01-15,2003-01-15
2,0,0,0,0,0,0,0,1212,0,6000000.0,0,0,20800.0,0,0,FLOODS,2003-01-23,2003-01-28,2003-01-28
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2003-03-11,2003-03-16,2003-03-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2003-03-21,2003-03-26,2003-03-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2003-04-15,2003-04-20,2003-04-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2003-04-29,2003-05-01,2003-05-02
5,0,0,0,350,0,5005,0,0,0,120000008.0,0,2,0.0,0,15,FLOODS,2003-09-17,2003-09-22,2003-09-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,3224.0,0,0,FLOODS,2003-09-26,2003-10-01,2003-10-01
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2003-11-01,2003-11-06,2003-11-06
0,0,0,0,0,0,0,0,0,0,0.0,0,0,190.0,0,0,FLOODS,2003-11-08,2003-11-13,2003-11-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2004-01-01,2004-01-06,2004-01-06
0,0,0,0,0,0,0,0,0,0,0.0,0,0,925.0,0,0,FLOODS,2004-03-31,2004-04-05,2004-04-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,60.0,0,0,FLOODS,2004-07-02,2004-07-07,2004-07-07
0,0,0,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2004-11-13,2004-11-18,2004-11-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2005-01-09,2005-01-14,2005-01-14
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2005-01-20,2005-01-25,2005-01-25
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2005-02-09,2005-02-14,2005-02-14
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2005-08-30,2005-09-04,2005-09-04
0,0,0,0,0,0,2,0,1,0,0.0,0,0,0.0,0,0,FLOODS,2005-09-12,2005-09-17,2005-09-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,41.0,0,0,FLOODS,2005-09-18,2005-09-23,2005-09-23
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2006-01-19,2006-01-24,2006-01-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2006-02-23,2006-02-28,2006-02-28
0,0,0,0,22,0,0,0,0,0,536168.0,0,0,0.0,0,0,FLOODS,2006-10-13,2006-10-18,2006-10-18
0,0,0,0,0,0,0,0,0,0,45000.0,0,0,0.0,0,0,FLOODS,2007-03-09,2007-03-14,2007-03-14
0,0,0,0,348,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2007-04-24,2007-04-29,2007-04-29
13,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2007-10-13,2007-10-18,2007-10-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2007-12-28,2008-01-02,2008-01-02
0,0,0,0,0,0,0,0,59,0,0.0,0,0,0.0,0,0,FLOODS,2008-08-10,2008-08-15,2008-08-15
0,0,0,0,0,0,0,0,0,0,225000.0,0,0,0.0,0,0,FLOODS,2008-12-03,2008-12-08,2008-12-08
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-01-13,2009-01-18,2009-01-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-01-19,2009-01-24,2009-01-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-04-09,2009-04-14,2009-04-14
0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,FLOODS,2009-04-22,2009-04-27,2009-04-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-09-02,2009-09-07,2009-09-07
25,8,100,0,3761,36,51,24,0,14284978,23177376.0,0,0,0.0,0,0,FLOODS,2009-09-19,2009-09-24,2009-09-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-10-09,2009-10-14,2009-10-14
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-12-11,2009-12-16,2009-12-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-12-21,2009-12-26,2009-12-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2009-12-28,2010-01-02,2010-01-02
0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,EARTHQUAKES,2010-01-23,2010-01-25,2010-01-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2010-02-23,2010-02-28,2010-02-28
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2010-10-03,2010-10-08,2010-10-08
0,0,0,0,0,0,0,0,0,0,500000.0,0,0,0.0,0,0,FLOODS,2010-10-17,2010-10-22,2010-10-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2010-11-06,2010-11-11,2010-11-11
8,0,0,0,156,0,0,0,16,0,32858105.0,0,0,5161.0,2,3,FLOODS,2011-10-29,2011-11-03,2011-11-03
0,0,0,0,0,0,0,0,0,0,0.0,3,0,0.0,0,0,FLOODS,2011-11-10,2011-11-15,2011-11-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2011-11-26,2011-12-01,2011-12-01
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2012-01-21,2012-01-26,2012-01-26
0,0,0,0,0,0,124,0,43,0,29182.8,0,0,0.0,0,0,FLOODS,2012-02-02,2012-02-07,2012-02-07
5,0,0,0,0,0,2341,0,123,0,25894656.145,2,0,4502.44,17237,0,FLOODS,2012-02-23,2012-02-28,2012-02-28
0,0,0,0,0,95,95,0,0,0,131850.0,0,0,0.0,0,0,FLOODS,2012-03-09,2012-03-14,2012-03-14
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2012-04-07,2012-04-12,2012-04-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2012-08-25,2012-08-30,2012-08-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2012-10-15,2012-10-20,2012-10-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2013-02-20,2013-02-25,2013-02-25
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2013-03-05,2013-03-10,2013-03-10
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2013-03-17,2013-03-19,2013-03-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2013-04-08,2013-04-10,2013-04-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2013-05-10,2013-05-15,2013-05-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2013-08-14,2013-08-19,2013-08-19
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2013-09-04,2013-09-09,2013-09-09
1,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2013-09-19,2013-09-24,2013-09-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2013-10-05,2013-10-10,2013-10-10
