deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,32,68,472,0,0,0,0,0,0,0,0,0,0,58,ATG,ATG01,ATG0102,0,0.0,0.0,a7cabec7-caac-4e43-95bb-bcb7e34ea21d,Antigua and Barbuda,Antigua,Saint John,HURRICANE,City West,4/9/1995
0,0,0,28,157,595,0,0,0,0,0,0,0,0,0,0,59,ATG,ATG01,ATG0102,0,0.0,0.0,8f2af68d-4f13-4bc9-b9cf-afd0916b94a3,Antigua and Barbuda,Antigua,Saint John,HURRICANE,Rural East,4/9/1995
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,ATG,ATG01,ATG0102,0,0.0,0.0,1a145da0-8db4-47ef-84c9-ac560312a739,Antigua and Barbuda,Antigua,Saint John,RAINS,Rural East,1/9/2010
0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,552,ATG,ATG02,,0,17.6266242,-61.7713028,f8050cbd-f6ff-4595-baf8-ca55a37a8859,Antigua and Barbuda,Barbuda,,RAINS,,21/8/2003
3,15,0,0,1700,3338,0,0,6200,59400000,0,0,2,0,0,0,5,ATG,ATG01,,0,0.0,0.0,8af98d90-dea1-4b26-b5c4-1a88646ee814,Antigua and Barbuda,Antigua,,HURRICANE,Country wide total,20/9/1998
1,0,0,0,12,0,1325,0,0,0,0,0,0,0,0,0,6,ATG,ATG02,,0,0.0,0.0,1b3002ab-f4cb-445f-b79b-386e39c78ac7,Antigua and Barbuda,Barbuda,,HURRICANE,,29/8/2010
0,5,0,0,0,0,60,0,0,0,0,0,0,0,0,0,8,ATG,ATG01,ATG0102,0,0.0,0.0,abd612e9-7124-45de-8672-dc1ce064df24,Antigua and Barbuda,Antigua,Saint John,FIRE,,26/11/1987
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,ATG,ATG01,ATG0102,0,0.0,0.0,24b89328-a349-42f7-a547-541b05d4b2b0,Antigua and Barbuda,Antigua,Saint John,ACCIDENT,V.C. Bird Airport,7/10/2010
2,400,0,0,2180,2000,0,0,0,0,199999000,0,1,0,0,0,10,ATG,ATG01,,0,0.0,0.0,6e88a738-2e93-45c5-ac8b-43ba5efe8e8e,Antigua and Barbuda,Antigua,,HURRICANE,Country wide total,17/9/1989
1,15,1,0,0,516,0,43,2000,0,0,0,1,0,0,0,11,ATG,ATG01,,0,0.0,0.0,da8db4bc-7179-4272-a7cb-c1cc00da9860,Antigua and Barbuda,Antigua,,HURRICANE,Country wide total,20/10/1999
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,ATG,ATG01,ATG0102,0,0.0,0.0,080267c2-ee5c-4385-9a66-e9b5a9047b75,Antigua and Barbuda,Antigua,Saint John,FIRE,Villa,21/4/2013
2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,46,ATG,ATG01,ATG0101,0,0.0,0.0,04838aa4-d7eb-492e-a68f-56c92aba81e1,Antigua and Barbuda,Antigua,Saint George,FIRE,Grenville,15/4/2014
0,0,0,9,1339,5088,0,0,0,54000000,0,0,0,0,0,0,13,ATG,ATG01,,0,0.0,0.0,a51e960c-6355-4211-ab7e-fa8381b47c71,Antigua and Barbuda,Antigua,,HURRICANE,Country wide total,15/10/2008
1,3,0,1,0,1000,0,0,259,12600000,34000000,0,0,266,0,48280,14,ATG,ATG01,,0,0.0,0.0,f22dc750-defc-4e54-94ed-6a2abedd8edf,Antigua and Barbuda,Antigua,,HURRICANE,Country wide total,29/8/2010
