deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6358-b,70,70126,,0,0.0,0.0,cdba18b3-1378-4cf3-a4cd-252d26017ebe,San Juan,25 De Mayo,,Helada,,4/10/1972
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6366-g,10,10007,,0,0.0,0.0,a58becdf-8c42-4926-8f50-971b018fb084,Catamarca,Ambato,,Sequía,,18/10/1972
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6366-e,10,10014,,0,0.0,0.0,157f6a93-be0d-4012-af4a-a7741e137503,Catamarca,Ancasti,,Sequía,,18/10/1972
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6366-f,10,10042,,0,0.0,0.0,4cf5c5b3-29fb-4048-bf2b-56371d05a945,Catamarca,Capayan,,Sequía,,18/10/1972
0,2,0,0,0,0,0,0,0,300600,0,0,0,0.0,0,0,7036-a,62,62042,,0,0.0,0.0,c7fb0c39-6107-4800-9caf-b13c1f6f8240,Rio Negro,General Roca,,Incendio,General Roca,5/2/1974
0,0,0,0,0,0,0,0,120,0,0,0,0,0.0,0,0,7091-d,34,34014,,0,0.0,0.0,9dbe04ea-472d-46d1-859c-a103ea20f198,Formosa,Formosa,,Inundación,Formosa,5/2/1974
0,0,0,0,0,64,0,0,126,0,0,0,0,0.0,0,0,7091-c,34,34035,,0,0.0,0.0,65f81f15-e3c0-4dea-b5bb-bdae6a87a949,Formosa,Patino,,Inundación,La Soledad,5/2/1974
0,0,0,0,0,0,0,0,0,0,0,0,0,75000.0,0,0,7038-a,42,42084,,0,0.0,0.0,59f05c49-c3eb-4fe8-b8c0-0b4ecbeecca4,La Pampa,Lihuel Calel,,Incendio forestal,región de Cuchillo Có  80km al norte de Rio Negro,6/2/1974
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7068-b,82,82105,,0,0.0,0.0,da62aa4d-59a3-4e6e-b873-0a2578e445ac,Santa Fe,San Jeronimo,,Inundación,Barrancas,7/2/1974
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7068-a,82,82105,,0,0.0,0.0,481d9313-6589-418b-b183-18e6291a6b4d,Santa Fe,San Jeronimo,,Inundación,Paraje Isla Paranasito,7/2/1974
0,0,0,0,0,0,0,0,0,0,0,0,0,2000.0,0,0,7041-a,50,50063,,0,0.0,0.0,e3c2bea4-8de4-48bb-9505-87dc27bc9309,Mendoza,Lujan de Cuyo,,Tempestad,Luján de Cuyo y Ugarteche,7/2/1974
