deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2014-00093,11,,,0,0,0,d2bd6ba7-752f-475b-b2e5-acb41f5bdbb2,Aysén del Gral. C. Ibáñez,,,Inundación,"Sistema frontal afecta regiones del Maule, Biobío, La Arauca",2/8/2014
0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,98-089,10,,,0,0,0,d42f526c-dd88-42c8-944e-54545d891288,Los Lagos,,,Epidemia,,20/2/1998
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,80-398,4,402,40201,0,0,0,0d8c45e2-3111-4f35-9902-7ab84a0745ab,Coquimbo,Limarí,Ovalle,Tempestad,,2/8/1980
0,12,0,75,0,0,0,0,0,0,0,0,0,0.0,0,0,71-406,13,1306,130601,0,0,0,f0ed1dd4-cc21-46f9-94b3-58ad42880011,Metropolitana,Talagante,Talagante,Sismo,toda la comuna,8/7/1971
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,71-455,13,1301,130131,0,0,0,e02485d8-d54f-4ab3-ac2e-5616a3998fa6,Metropolitana,Santiago,Renca,Sismo,toda la comuna,8/7/1971
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,93-108,4,402,40203,0,0,0,51b8f3ca-a0b8-4cce-ad5d-0c424a7dab79,Coquimbo,Limarí,Monte Patria,Tempestad,,7/5/1993
1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,93-109,9,901,90104,0,0,0,e6a5b0ac-06bf-45f3-ab76-020db3bed8a6,La Araucanía,Malleco,Lonquimay,Tempestad,,5/5/1993
0,0,0,0,300,2217,0,0,1256,0,0,0,0,0.0,0,0,92-274,8,804,,1,0,0,d0708164-53ba-4a65-8543-1768e59da1dd,Biobío,Arauco,,Tempestad,,4/6/1992
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-227,10,101,10101,0,0,0,1a07a6e3-fdb1-4d24-9968-9a76eecb9507,Los Lagos,Llanquihue,Puerto Montt,Lluvias,,16/6/1976
0,0,0,200,0,0,0,0,0,0,0,0,0,0.0,0,0,71-456,5,503,50302,0,0,0,81c77ff8-8cd6-45e3-a834-dba5f3995591,Valparaíso,San Felipe,Putaendo,Sismo,toda la comuna,8/7/1971
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-228,10,101,10109,0,0,0,aa23fe0f-7fa1-45c0-a041-f12549ecc262,Los Lagos,Llanquihue,Puerto Varas,Lluvias,,16/6/1976
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,71-457,13,1301,130126,0,0,0,314c3445-27db-480f-84d7-0d7d4f07dda9,Metropolitana,Santiago,Maipú,Sismo,toda la comuna,8/7/1971
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-229,10,101,10103,0,0,0,5171e8e0-888c-4c62-8f15-6cc6cfcecffb,Los Lagos,Llanquihue,Cochamó,Lluvias,,16/6/1976
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,72-099,6,602,60206,0,0,0,d594acf8-d887-41e2-989a-b45c6e111739,Libertador Gral. B. O'Higgins,Colchagua,Santa Cruz,Tempestad,,6/5/1972
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-230,10,101,10102,0,0,0,aa7a8568-eb61-4e66-b30d-00637a4bde1e,Los Lagos,Llanquihue,Calbuco,Lluvias,,16/6/1976
0,0,0,0,54,178,0,0,0,0,0,0,0,0.0,0,0,72-100,5,505,50501,0,0,0,b17fd6df-4804-4e4f-9af2-ef749f99401e,Valparaíso,Valparaíso,Valparaíso,Tempestad,,6/5/1972
0,0,0,0,0,400,0,0,0,0,0,0,0,0.0,0,0,72-157,9,902,90201,0,0,0,cba27dac-1949-4b22-aebe-73ad3d742f9f,La Araucanía,Cautín,Temuco,Inundación,Crecida río Cautín,8/6/1972
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-232,10,101,10108,0,0,0,d486cb44-a895-4e2b-a587-ee02b50c16b8,Los Lagos,Llanquihue,Maullín,Lluvias,,16/6/1976
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-231,10,101,10106,0,0,0,d224b72c-d7c5-4906-8e11-69bc49e35d0d,Los Lagos,Llanquihue,Los Muermos,Lluvias,,16/6/1976
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-233,10,101,10104,0,0,0,aed5ba0c-809c-49a2-9040-6c91d69648cf,Los Lagos,Llanquihue,Fresia,Lluvias,,16/6/1976
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-234,10,101,10107,0,0,0,45a816c5-e6e6-4908-ae9a-dba58bfc5739,Los Lagos,Llanquihue,Llanquihue,Lluvias,,16/6/1976
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,72-158,7,703,70301,0,0,0,ed75d800-b8cf-44a3-85ca-ec77c3f68ed0,Maule,Linares,Linares,Tempestad,,8/6/1972
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-120,8,801,80115,0,0,0,0972e330-0631-4673-8bc9-a2642e2d9434,Biobío,Ñuble,Coelemu,Incendio forestal,Predios comuna,27/2/1970
0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-060,10,102,10201,0,0,0,04bbee0d-6ebe-484f-b391-40e071eb2b8e,Los Lagos,Chiloé,Castro,Accidente,Isla Chelín - Chiloé.,2/5/1970
0,0,0,0,0,0,0,0,0,0,10000000,0,0,0.0,0,0,70-077,13,1303,130301,0,0,0,b7954249-aed8-47ee-80f4-d0ade369bcdc,Metropolitana,Cordillera,Puente Alto,Incendio,Edificio Papelera,11/6/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-121,8,803,80302,0,0,0,f27fd067-cef4-4565-8e40-1d8990db0484,Biobío,Concepción,Talcahuano,Incendio forestal,Predios comuna,27/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-078,7,702,70208,0,0,0,b3988206-c946-4b66-962f-dedc51e89e2a,Maule,Talca,Constitución,Lluvias,Camino Constitución - San Javier.,13/6/1970
0,0,0,0,0,0,426,0,0,0,10000000,0,0,0.0,0,0,70-016,5,505,50505,0,0,0,a8fd8cf0-63be-4e70-b89a-93dfd4b4c869,Valparaíso,Valparaíso,Quilpué,Incendio,Industria Carozzi.,24/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-017,7,702,70204,0,0,0,2e95eb87-e163-418d-a7ee-0956ca04f782,Maule,Talca,San Clemente,Incendio forestal,Fundo San José de Perquín.,30/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-235,10,101,10105,0,0,0,3155d8fc-7a67-4c25-a907-f97a79a3d360,Los Lagos,Llanquihue,Frutillar,Lluvias,,16/6/1976
0,1,0,7,0,37,0,0,0,0,0,0,0,0.0,0,0,70-400,13,1301,,0,0,0,238fb0b4-e8eb-4924-bbaa-878f5d5120af,Metropolitana,Santiago,,Incendio,Poblaciín La Faena,22/12/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-018,7,701,70101,0,0,0,0d894707-68d4-49fd-bdcb-f6b16eafe616,Maule,Curicó,Curicó,Incendio forestal,Cerro Condell,5/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,76-236,10,102,10201,0,0,0,26e83c49-1d70-4623-96d4-8567e1f810e5,Los Lagos,Chiloé,Castro,Lluvias,,16/6/1976
0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,70-002,6,602,60209,0,0,0,db75c201-e835-49d6-9729-bd436057aa97,Libertador Gral. B. O'Higgins,Colchagua,Palmilla,Incendio forestal,8 km al norte de Santa Cruz (Palmilla); Cº Apalta,5/1/1970
1,1,0,1,0,2,0,0,0,0,0,0,0,0.0,0,0,70-003,8,803,80302,0,0,0,ded9171d-4fe7-430a-a7d9-450c5f2b0ded,Biobío,Concepción,Talcahuano,Incendio,,6/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,70-004,8,803,80304,0,0,0,eba63c8c-2e98-4c4e-83bb-595d8fb208d7,Biobío,Concepción,Tomé,Incendio forestal,Localidad Lirquén (junto al Hospital),8/1/1970
0,7,0,1,5,0,0,0,0,0,550000,0,0,0.0,0,0,70-005,8,801,80101,0,0,0,11c0105b-d263-427b-80b9-248bb4ddaf54,Biobío,Ñuble,Chillán,Incendio,Comenzó en Club Social: Av. O Higgins 549,8/1/1970
0,1,0,0,4,3,0,0,0,0,0,0,0,0.0,0,0,70-006,13,1301,130101,0,0,0,f4c1f3ce-cfda-4932-8d00-1d5d69d4729f,Metropolitana,Santiago,Santiago,Incendio,Fábrica somieres y colchones (Calle Pinto 1201),10/1/1970
1,2,0,1,0,4,0,0,0,0,0,0,0,0.0,0,0,70-007,13,1301,130101,0,0,0,d1d035c6-b5f5-45ae-81b2-a41fcd0d23ff,Metropolitana,Santiago,Santiago,Incendio,Pasaje Galvarino 62-G; Población Isabel Riquelme,13/1/1970
4,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,70-008,8,803,80301,0,0,0,284dab4c-3faf-40d4-a263-2b71821a6c0d,Biobío,Concepción,Concepción,Incendio,Calle Manuel Rodriguez 868,13/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,0,0,70-009,6,602,60209,0,0,0,f05430e2-5193-4faf-8204-bf8460a541e9,Libertador Gral. B. O'Higgins,Colchagua,Palmilla,Incendio forestal,Asentamiento Santa Inés (Sta. Cruz); en cerros.,16/1/1970
0,0,0,0,0,0,0,0,0,0,1500000,0,0,360.0,0,0,70-010,8,802,80202,0,0,0,b9242681-af2f-419f-bcec-52b59800ce5c,Biobío,Biobío,Cabrero,Incendio forestal,Región cordillerana al Este del Salto del Laja,18/1/1970
0,0,0,21,0,112,0,0,0,0,0,0,0,0.0,0,0,70-011,14,141,14108,0,0,0,6e0342bb-d18e-41a0-996c-8eb5e9de177f,Los Ríos,Valdivia,Panguipilli,Incendio,210 km de Valdivia  márgenes Lago Panguipulli,20/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-012,13,1301,130101,0,0,0,fde0c7af-e6f0-4c4b-b747-29ab1a0646cb,Metropolitana,Santiago,Santiago,Incendio,Fábrica colchones.,21/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-013,11,1103,110301,0,0,0,c4ea7264-3419-47fe-b7d7-cd1f703ca1ee,Aysén del Gral. C. Ibáñez,General Carrera,Chile Chico,Incendio,Lago General Carrera (Puerto Ingeniero Ibañez),20/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-014,6,602,60209,0,0,0,1729fc73-809b-43f2-b16d-d2a489f99dd9,Libertador Gral. B. O'Higgins,Colchagua,Palmilla,Incendio forestal,Departamento de Santa Cruz  Cosechadora de maíz.,20/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0,0,70-015,6,601,60111,0,0,0,c1576082-4e85-4799-9761-3b6fd56dab50,Libertador Gral. B. O'Higgins,Cachapoal,San Vicente,Incendio forestal,San Vicente de Taguatagua,20/1/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-019,6,601,60111,0,0,0,a2b45960-f45b-48e3-bd35-525db40ffaad,Libertador Gral. B. O'Higgins,Cachapoal,San Vicente,Incendio forestal,Predios Localidad Requehua,10/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-099,6,601,60117,0,0,0,9724212f-eabf-4794-bde8-4b100da8a40d,Libertador Gral. B. O'Higgins,Cachapoal,Las Cabras,Incendio forestal,Predios Sector Cocalán,10/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-020,6,602,60202,0,0,0,516801e9-dd8e-43bd-b6b7-b064260cfdab,Libertador Gral. B. O'Higgins,Colchagua,Chimbarongo,Incendio forestal,Predios Chimbarongo y Paredones.,10/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-021,8,803,80304,0,0,0,4c17ca35-86f3-4255-8efb-6f34125ca4c8,Biobío,Concepción,Tomé,Incendio forestal,En toda la provincia.,13/2/1970
0,0,0,8,0,0,0,0,0,0,1000000,0,0,350.0,0,0,70-022,8,803,80306,0,0,0,e9a1bf74-abd4-44fc-938e-f6a03026b6c1,Biobío,Concepción,Hualqui,Incendio forestal,Talcamávida (entre Concepción y San Rosendo),7/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-023,9,902,90213,0,0,0,b2b6744b-818d-48c9-a36b-f918198a45b6,La Araucanía,Cautín,Loncoche,Epidemia,Predios de Loncoche,14/2/1970
0,0,0,0,0,0,0,0,0,0,400000,0,0,40.0,0,0,70-024,8,801,80101,0,0,0,f39fbe7f-0f2b-4878-bf53-4b74eb38c337,Biobío,Ñuble,Chillán,Incendio forestal,Fdo. Santa Ana  km 14 camino Chillán-Yungay,13/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-025,8,801,80101,0,0,0,91dfdbf7-e90a-4f01-a673-7adc59cefd52,Biobío,Ñuble,Chillán,Incendio forestal,Sector Rucapequén (5 fundos),16/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-094,8,802,80202,0,0,0,9e738b24-629d-4c65-8ced-88c9667d10cf,Biobío,Biobío,Cabrero,Incendio forestal,Fundo Santa Isabel  Loc. Cofré.,16/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-026,1,14,1405,0,0,0,37f192c9-b8b6-4962-ada1-0b8e31841322,Tarapacá,Tamarugal,Pica,Plaga,Oasis de Pica,20/2/1970
0,0,0,0,14,60,0,0,60,0,0,0,0,0.0,0,0,80-159,4,403,40303,0,0,0,797ca8ee-e78f-4664-9798-716867f1469f,Coquimbo,Choapa,Los Vilos,Tempestad,,10/4/1980
0,0,0,0,0,57,0,0,0,0,0,0,0,0.0,0,0,70-027,13,1301,130116,0,0,0,654c0549-cd8c-4919-9808-b14d8c4495fc,Metropolitana,Santiago,La Granja,Incendio,Población San Rafael,21/2/1970
0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-028,13,1301,130107,0,0,0,2596c3b1-bd72-4980-a632-03524e792e6a,Metropolitana,Santiago,Vitacura,Incendio,Bodega El Mercurio,25/2/1970
3,9,0,4,0,0,0,0,0,0,2000000,0,0,0.0,0,0,70-029,15,151,15101,0,0,0,335336ea-f1a5-4c4c-9155-ce0ba4bcd2a8,Arica y Parinacota,Arica,Arica,Incendio,Laboratorio-fábrica de cosméticos (Lynch-21 Mayo),24/2/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-030,8,801,80120,0,0,0,03efdff7-580e-46a0-984e-64479aae0a99,Biobío,Ñuble,San Nicolás,Sequía,Comuna San Nicolás declarada en sequía,1/2/1970
0,0,0,0,0,0,0,0,0,0,1000000,0,0,900.0,0,0,70-031,8,801,80101,0,0,0,79b31461-533d-40fc-af61-4cdd0441ebf6,Biobío,Ñuble,Chillán,Incendio forestal,4 Fdos. de la comuna,27/2/1970
0,0,0,0,0,0,0,0,0,0,1800000,0,0,250.0,0,0,70-032,8,802,80211,0,0,0,59f67c9e-cc25-4d9f-b2a8-370ccaf4208f,Biobío,Biobío,Laja,Incendio forestal,Cercanía Salto del Laja  Puente Perales (2 fundos),1/3/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-033,8,804,80405,0,0,0,a8cb77d0-4dbd-477c-80b8-118447fcef81,Biobío,Arauco,Cañete,Incendio forestal,Cordillera Nahuelbuta,28/2/1970
2,0,0,1,0,2,0,0,0,0,0,0,0,0.0,0,0,70-034,13,1301,130114,0,0,0,a33bc164-e120-4a4f-ab60-a9ca843f5ac9,Metropolitana,Santiago,La Florida,Incendio,Población Guillermo El Conquistador.,4/3/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-035,4,401,40105,0,0,0,40ac4e65-ca7a-43b9-ba15-beda940ffbd1,Coquimbo,Elqui,Vicuña,Nevada,Pasos cordilleranos La Laguna  Qda. Sin Fin.,16/3/1970
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-036,14,141,14101,0,0,0,eb63ed96-1cba-421d-9ee4-34ef0b863d2e,Los Ríos,Valdivia,Valdivia,Incendio forestal,Localidad de Huequecura,18/3/1970
0,6,0,0,0,15,0,0,0,0,60000000,0,0,0.0,0,0,70-037,13,1301,130101,0,0,0,75be68c4-8a86-45a4-adb8-3f6eedf163de,Metropolitana,Santiago,Santiago,Incendio,Juzgado de Letras  Bandera 368,23/3/1970
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-038,14,141,14106,0,0,0,7645b26a-1f90-488c-914f-a0ffb660d432,Los Ríos,Valdivia,Mariquina,Litoral,San José de la Mariquina  Caleta Mehuín.,1/3/1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70-039,9,902,90201,0,0,0,81a64ad8-d2f4-41e9-9a36-848dbbb1ed4e,La Araucanía,Cautín,Temuco,Sequía,Prácticamente toda la provincia,26/3/1970
3,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,70-040,9,902,90213,0,0,0,1f2fd384-6c96-4c97-96fb-509a5a33a50d,La Araucanía,Cautín,Loncoche,Incendio,Loncoche  en Payá a 14 km de Loncoche.,29/3/1970
0,0,0,0,26,104,0,0,104,0,0,0,0,0.0,0,0,80-160,4,403,40301,0,0,0,9254757f-cf4f-4ad5-9751-ce964d2d391c,Coquimbo,Choapa,Illapel,Tempestad,,9/4/1980
0,1,0,0,0,9,9,0,0,0,0,0,0,0.0,0,0,70-041,9,902,90214,0,0,0,e9d09252-4311-4ce5-86a0-96f73d6d15c5,La Araucanía,Cautín,Toltén,Accidente,Caleta Queule.,27/3/1970
0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,70-042,5,505,50502,0,0,0,5d8e2a2c-353e-4b9d-95ef-59c37fb7fdd8,Valparaíso,Valparaíso,Viña del Mar,Incendio,Calle Valparaiso 263,30/3/1970
