deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,3804,0,0,0,0,0,0,0,0,0,208,3,301,30102,0,0.0,0.0,d7e8b626-6f1a-4577-847f-3704dc47373e,Ndzouani,Domoni,Domoni,INONDATION,Domoni,1/4/2012
1,50,925,25,374,0,9932,0,0,0,0,0,0,0,0,0,3,1,101,10104,2,0.0,0.0,f2f9be63-d396-45e9-b899-edb19fa048f1,Ngazidja,Moroni-Bambao,Bambao Ya Hari,INONDATION,vouvouni,12/4/2012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,303,30304,2,0.0,0.0,f73d2159-ba42-415e-8df4-32f80c46f842,Ndzouani,Mutsamudu,Mirontsi,INONDATION,HOMBO,1/2/2011
1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,16,3,301,30102,0,0.0,0.0,9cb2bcf0-3675-48ca-ad45-4d25755f4d7c,Ndzouani,Domoni,Domoni,INONDATION,,1/2/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,301,30102,2,0.0,0.0,5b323cff-1151-4de6-b242-12c32953fcf0,Ndzouani,Domoni,Domoni,EPIDEMIE,DOMONI,31/12/1930
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,104,10406,2,0.0,0.0,f78d0732-011c-479c-a2ba-762738d83c1e,Ngazidja,Mitsamiouli-Mboudé,Mitsamiouli,EPIDEMIE,MITSAMIOULI,0/0/1923
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,104,10403,2,0.0,0.0,3a973806-ca74-4003-8ba9-d78fe3580c8d,Ngazidja,Mitsamiouli-Mboudé,Cembenoi Lac Salé,EPIDEMIE,BANGOI-KOUNI,0/0/1923
0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,23,1,,,2,0.0,0.0,50efb1da-a65c-4317-af14-12f6850df55a,Ngazidja,,,EPIDEMIE,,0/0/1993
0,0,0,0,0,0,1418,0,0,0,0,0,0,0,0,0,24,1,,,2,0.0,0.0,2dfb3dbe-f6cb-4e0f-b9a9-36baceeebbda,Ngazidja,,,EPIDEMIE,GRAND COMORES,23/12/2001
0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,25,3,,,2,0.0,0.0,7cdd78cc-4492-40fa-8a37-6e4292d9e79f,Ndzouani,,,EPIDEMIE,TOUTE L' ÎLE,23/12/2001
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,26,2,,,2,0.0,0.0,0baff206-d78a-4d72-91df-0360d2af9186,Mwali,,,EPIDEMIE,TOUTE L' ÎLE,23/12/2001
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,,,0,0.0,0.0,a11419dd-1ddc-4e6b-8503-8f7a037ec58d,Ngazidja,,,CYCLONE,GRAND COMORES,0/0/1950
9,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,28,1,101,10101,2,0.0,0.0,944e129a-8e50-40e3-b543-46b2f3afcd0e,Ngazidja,Moroni-Bambao,Moroni,EPIDEMIE,MORONI,27/2/2007
11,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,29,1,104,10406,2,0.0,0.0,ed0616f9-29d6-4f06-a5ae-0c4f345ec7a6,Ngazidja,Mitsamiouli-Mboudé,Mitsamiouli,EPIDEMIE,MITSAMIOULI,23/2/2007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,104,10406,2,0.0,0.0,435b37a0-84f0-478a-b0b3-aac68fe80d72,Ngazidja,Mitsamiouli-Mboudé,Mitsamiouli,CYCLONE,MITSAMIOULI,0/0/1959
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,101,10101,2,0.0,0.0,adfba52e-a286-422c-8dc6-c2a496d7b449,Ngazidja,Moroni-Bambao,Moroni,NAUFRAGE,MORONI,0/0/1959
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,,,2,0.0,0.0,6be9429b-7796-4aa6-ba27-fb057b03a3fd,Mwali,,,CYCLONE,TOUTE L'ÎLE,0/0/1996
3,52,30,0,805,0,5000,0,9,0,0,0,0,0,0,0,35,3,303,30304,2,0.0,0.0,69840fb9-61d4-4bb3-831e-837d468f44ca,Ndzouani,Mutsamudu,Mirontsi,TEMPETE,MUTSAMUDU,11/1/1983
0,0,0,0,0,0,20000,0,0,0,0,0,0,1200,0,0,36,2,,,0,0.0,0.0,f73d6a5c-cb9b-4eab-a79a-bea31840268f,Mwali,,,TEMPETE,MOHELI,11/1/1983
125,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,104,10406,2,0.0,0.0,0ae4855f-13bb-4e65-8b79-f1ab7faa3cb3,Ngazidja,Mitsamiouli-Mboudé,Mitsamiouli,ACCIDENT,MITSAMIOULI,23/11/1996
1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,101,10101,2,0.0,0.0,25cb186a-d7e7-45cd-a7ed-e817774be46c,Ngazidja,Moroni-Bambao,Moroni,PERDITION EN MER,,20/1/2014
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,,,2,0.0,0.0,7bfd6dd3-60f0-4cab-a1ab-cb89d02032e2,Ngazidja,,,CYCLONE,Toute l'ile,0/0/1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,104,,2,0.0,0.0,30f584d8-1dea-4905-8fb8-183742a26461,Ngazidja,Mitsamiouli-Mboudé,,CYCLONE,,0/0/1959
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,101,10101,2,0.0,0.0,3874e1dd-4337-4a9e-be8c-8d97e092f524,Ngazidja,Moroni-Bambao,Moroni,NAUFRAGE,Moroni ,0/0/1959
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,,,2,0.0,0.0,9c8a2c9d-6224-4e90-aae4-680020f9b2b7,Mwali,,,CYCLONE,,0/0/1996
3,52,30,0,805,0,5000,0,9,0,0,0,0,0,0,0,16,3,303,30304,2,0.0,0.0,bd86cb92-4bcd-4d9a-a378-c371624085cb,Ndzouani,Mutsamudu,Mirontsi,CYCLONE,MUTSAMUDU ,11/1/1983
0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,17,2,,,2,0.0,0.0,f39acc19-4154-49c7-a7ab-06c13935a269,Mwali,,,TEMPETE,Mwali,11/1/1983
