deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,8000,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-967,6,610,61003,0,0.0,0.0,f247cb60-b5c7-42d4-a2da-e79f8bb53810,PUNTARENAS,CORREDORES,CANOAS,Deslizamiento,Ciudadela El Triunfo,29/11/2005
0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-968,4,401,40101,0,0.0,0.0,bf00cf08-d20b-48bb-aec3-c433953bcc25,HEREDIA,HEREDIA,HEREDIA,Deslizamiento,Jardines 2  pulp Estrella 300 SE  casa 131,1/12/2005
0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-969,1,118,11804,0,0.0,0.0,9e853e3c-f141-47bb-891b-d5bc81843317,SAN JOSE,CURRIDABAT,TIRRASES,Vendaval,Pinos del Este  200 E de comercial,5/12/2005
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-970,4,406,40602,0,0.0,0.0,5e1ed4c1-a755-4354-ae3b-671d263e1832,HEREDIA,SAN ISIDRO,SAN JOSÉ,Deslizamiento,Ruta 32 Km 23,12/12/2005
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-971,4,410,41003,0,0.0,0.0,ea7e2b21-67ef-4016-bddf-c1410b617d55,HEREDIA,SARAPIQUI,HORQUETAS,Inundación,Centro del pueblo,12/12/2005
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-972,1,118,11804,0,0.0,0.0,fa631ae7-afa8-4e08-9566-f165bb75a745,SAN JOSE,CURRIDABAT,TIRRASES,Vendaval,Ciud. 15 de Agosto,12/12/2005
0,0,0,0,20,100,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-973,7,702,70205,0,0.0,0.0,e00dc283-cf4a-4f03-a613-c26d06bb907d,LIMON,POCOCI,CARIARI,Inundación,Finca Canta Gallo,13/12/2005
0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-974,3,301,30110,0,0.0,0.0,3be999c3-86a1-46f5-a018-9448a2d1e1e8,CARTAGO,CARTAGO,LLANO GRANDE,Deslizamiento,Sector de Azahar,15/12/2005
0,0,0,0,200,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-251,6,601,60105,0,0.0,0.0,1bafb5a0-ed71-4c40-9aa9-51b3d15f2372,PUNTARENAS,PUNTARENAS,PAQUERA,Inundación,,29/5/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-252,6,601,60105,0,0.0,0.0,04d4e71f-b133-4a67-8783-2ec7f46333bb,PUNTARENAS,PUNTARENAS,PAQUERA,Deslizamiento,Ruta 160 Paquera-Cobano,29/5/2008
0,0,0,0,1,7,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-86,1,110,11001,0,0.0,0.0,660cabfb-4060-476f-bc7e-d6dd0633d0e4,SAN JOSE,ALAJUELITA,ALAJUELITA,Deslizamiento,Urbanización Corina Rodríguez.,4/6/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-197,3,304,30401,0,0.0,0.0,a773b705-22d6-4d01-816e-526e9d29b179,CARTAGO,JIMENEZ,JUAN VIÑAS,Inundación,Quebrada Honda,13/7/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0,0,0.0,2006-377,1,103,10302,0,0.0,0.0,1a3ba5eb-17fb-4772-af63-7c7f7750ccc3,SAN JOSE,DESAMPARADOS,SAN MIGUEL,Deslizamiento,Escuela República de Honduras,18/9/2006
0,0,0,0,5,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-394,2,207,20702,0,0.0,0.0,87608560-1b56-4666-91e3-e64eee9f91c2,ALAJUELA,PALMARES,ZARAGOZA,Inundación,Quebrada,18/9/2006
0,0,0,0,1,0,0,0,0,60153.0,25000.0,0,0,0.0,0,0.0,1983-13,4,401,40101,0,0.0,0.0,a54bef8e-dee7-4bee-9be0-dac99ca20ed0,HEREDIA,HEREDIA,HEREDIA,Incendio,,18/1/1983
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2007-21,4,406,40602,0,0.0,0.0,402a1446-90fa-493c-aa1a-8facbc3fea4d,HEREDIA,SAN ISIDRO,SAN JOSÉ,Deslizamiento,Km 42  Ruta 32.,4/3/2007
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1983-36,5,504,,0,0.0,0.0,98e4be2a-2219-43d6-af89-d863d45311fd,GUANACASTE,BAGACES,,Sequía,,0/3/1983
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-1108,2,202,20213,0,0.0,0.0,62a85333-ae33-4ae3-afba-67c401b1771c,ALAJUELA,SAN RAMON,PEÑAS BLANCAS,Inundación,,13/10/2008
0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1999-257,3,301,30103,0,0.0,0.0,084b043f-188c-4d1b-b542-fcea858f5115,CARTAGO,CARTAGO,CARMEN,Inundación,Barrio San Blas,23/9/1999
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1983-37,5,506,,0,0.0,0.0,e9e66bbd-c91c-48fd-a972-7a276c6512f0,GUANACASTE,CAÑAS,,Sequía,,0/3/1983
0,0,0,0,15,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1999-258,3,301,30105,0,0.0,0.0,810002df-430f-4a3a-8b00-b8505d5d669d,CARTAGO,CARTAGO,AGUACALIENTE,Inundación,La Pithaya,23/9/1999
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2009-00113,7,704,70402,0,0.0,0.0,424e4825-a8e7-429f-a14b-6450afb1b36a,LIMON,TALAMANCA,SIXAOLA,Inundación,Finca Costa Rica,9/3/2009
0,0,0,0,4,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2007-439,2,201,20112,0,0.0,0.0,cec31a81-9c41-4f39-b9c6-8e688c08eb1d,ALAJUELA,ALAJUELA,TAMBOR,Inundación,Tambor,16/6/2007
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1983-38,5,505,,0,0.0,0.0,7b53ba66-42fe-4d0a-bc4c-42571115ab36,GUANACASTE,CARRILLO,,Sequía,,0/3/1983
0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2009-00353,1,101,10109,0,0.0,0.0,908b9f3e-c4c6-4781-baf5-01417b6aae50,SAN JOSE,SAN JOSE,PAVAS,Inundación,,4/10/2009
0,0,0,0,20,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2007-583,1,109,10901,0,0.0,0.0,d6caba2e-4500-4356-ba1b-dded0627065a,SAN JOSE,SANTA ANA,SANTA ANA,Inundación,Santa Ana,23/7/2007
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2009-00419,1,113,11301,0,0.0,0.0,b2e769f5-0e9a-4dac-8500-17fe773c9ad6,SAN JOSE,TIBAS,SAN JUAN,Inundación,,29/10/2009
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-1109,1,119,11906,0,0.0,0.0,4f406b34-75eb-4511-944c-60fc0bcbdf28,SAN JOSE,PEREZ ZELEDON,PLATANARES,Deslizamiento,Cristo Rey,13/10/2008
0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2007-721,6,608,60803,0,0.0,0.0,47e857c5-9199-493c-86f2-be4cc6956742,PUNTARENAS,COTO BRUS,AGUA BUENA,Inundación,Coopabuena,27/8/2007
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1983-39,5,511,,1,0.0,0.0,57439368-dd0f-4b2c-b2ba-e9fcd7004268,GUANACASTE,HOJANCHA,,Sequía,,0/3/1983
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1983-40,5,510,,0,0.0,0.0,fb458417-0909-4212-b708-4f184d8caa3d,GUANACASTE,LA CRUZ,,Sequía,,0/3/1983
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1983-41,5,501,,0,0.0,0.0,d4b970dd-fe1d-4436-afcf-f7f9b7ed1ab7,GUANACASTE,LIBERIA,,Sequía,,0/3/1983
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1983-42,5,509,,0,0.0,0.0,f5db75b6-a5a7-4873-aae0-703f07cf28c1,GUANACASTE,NANDAYURE,,Sequía,,0/3/1983
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-1110,6,603,60303,0,0.0,0.0,e5c664a0-d6ad-42d5-a435-4a5fb3c55fb1,PUNTARENAS,BUENOS AIRES,POTRERO GRANDE,Inundación,Montelimar,13/10/2008
0,0,0,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1982-116,2,201,20101,0,0.0,0.0,a1a49df1-9394-46e7-8e7b-aec591187480,ALAJUELA,ALAJUELA,ALAJUELA,Incendio,,31/10/1982
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1982-137,5,506,,0,0.0,0.0,0a53a551-4315-4ef8-a0ab-039cf789c114,GUANACASTE,CAÑAS,,Sequía,,0/12/1982
0,0,0,0,0,73,0,0,73,0.0,0.0,0,0,0.0,0,0.0,2007-1503,7,705,70501,0,0.0,0.0,238df749-4396-424f-9a93-de8ac04fac9b,LIMON,MATINA,MATINA,Inundación,Goshen,9/11/2007
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1982-138,5,511,,0,0.0,0.0,1f19d7d6-aeba-4ca4-bbd1-313ffc21532c,GUANACASTE,HOJANCHA,,Sequía,,0/12/1982
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-76,1,114,11401,0,0.0,0.0,9f39ad68-5768-4929-ab61-328f7c8cd939,SAN JOSE,MORAVIA,SAN VICENTE,Escape,San Blas,2/4/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-104,5,502,50207,0,0.0,0.0,f22f08b3-91c8-4344-b8f5-bccd6b181a64,GUANACASTE,NICOYA,BELEN DE NOSARITA,Incendio forestal,Belen de Nosarita,14/4/2008
0,0,0,0,0,0,2000,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-115,7,701,70102,0,0.0,0.0,40f7b644-a917-4364-8c53-3a904e92fa93,LIMON,LIMON,VALLE LA ESTRELLA,Colapso estructural,Rio Niney,21/4/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-132,1,113,11305,0,0.0,0.0,41ba9f51-fa5f-48ac-837c-83d4c02e6c3c,SAN JOSE,TIBAS,COLIMA,Deslizamiento,,3/5/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1982-139,5,510,,0,0.0,0.0,563d6e63-3a10-49d9-833c-8e398de24f42,GUANACASTE,LA CRUZ,,Sequía,,0/12/1982
0,0,0,0,0,200,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-56,7,705,70501,0,0.0,0.0,ff909d1a-53a4-41c2-8976-426a3e82317f,LIMON,MATINA,MATINA,Inundación,Saborío de Matina  finca Montebello,10/1/2005
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1982-140,5,501,,0,0.0,0.0,c4ffc2b5-6a82-4f42-9324-35da68d3bfd7,GUANACASTE,LIBERIA,,Sequía,,0/12/1982
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-253,6,601,60105,0,0.0,0.0,24926f43-4b39-42b3-baaf-128977805559,PUNTARENAS,PUNTARENAS,PAQUERA,Deslizamiento,Valle Azul,29/5/2008
0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-373,3,301,30104,0,0.0,0.0,5b575a28-6f32-4735-970d-6c22dcf18bf1,CARTAGO,CARTAGO,SAN NICOLAS,Inundación,Taras,2/6/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-442,4,408,40801,0,0.0,0.0,e70caf67-b851-4cf1-a7c8-f0808bc75d10,HEREDIA,FLORES,SAN JOAQUIN,Vendaval,La Aurora,15/6/2008
0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-458,1,101,10109,0,0.0,0.0,70adc869-4934-4d65-a602-ee3d286d99d0,SAN JOSE,SAN JOSE,PAVAS,Colapso estructural,,21/6/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-488,4,401,40102,0,0.0,0.0,a41bf39f-759e-4cb5-9ddb-30a00c92d5fb,HEREDIA,HEREDIA,MERCEDES,Inundación,San Francisco y Mercedes sur,2/7/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-664,1,102,10201,0,0.0,0.0,faf47639-d28d-49b5-bd0d-5ff775e09ba2,SAN JOSE,ESCAZU,ESCAZU,Deslizamiento,,25/8/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-465,1,115,11502,0,0.0,0.0,2f6dde59-b4b1-47ce-9f81-68e13056d026,SAN JOSE,MONTES DE OCA,SABANILLA,Inundación,La Masella,27/6/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-254,6,601,60105,0,0.0,0.0,475b41e2-d852-4514-bdde-af97f02ac06f,PUNTARENAS,PUNTARENAS,PAQUERA,Deslizamiento,vía Paquera- Lepanto,29/5/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1982-141,5,509,,0,0.0,0.0,db26e5fb-2a88-4466-a849-eeb5d724f649,GUANACASTE,NANDAYURE,,Sequía,,0/12/1982
