deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
25,20,10,0,0,0,0,0,100,0,0,0,0,0,200,0,1188,4,,,0,0.0,0.0,0a34bc87-3935-4f7f-8358-e5aa08fe6291,DJIBOUTI,,,INONDATION,DJIBOUTI VILLE,0/3/1981
4,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,1,1092,,0,0.0,0.0,d11f12bd-2a30-4edf-9636-d2cf21c11612,Ali Sabieh,ali-adde,,FOUDRE,hamaro,0/1/1987
7,2,0,0,0,0,2,0,4,0,0,0,0,0,240,0,2,1,1092,,0,0.0,0.0,5618270e-4f8a-448f-87c9-71edce7fa782,Ali Sabieh,ali-adde,,VAGUE DE FROID,guechamalie,0/2/1986
1,1,0,0,0,0,1,0,0,0,0,0,0,0,17,0,5,1,1021,,0,0.0,0.0,acfce8f8-8709-4a49-8ce0-29d801178045,Ali Sabieh,assamo,,ATTAQUE ANIMAL,montagne godiro,0/3/1990
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1021,,0,0.0,0.0,97c51c93-ec47-48df-adf2-f67b32554bac,Ali Sabieh,assamo,,ATTAQUE ANIMAL,assamo,0/1/1990
2,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,8,1,1020,,0,0.0,0.0,606ac4db-fa01-4e4e-af5c-c46da6182b23,Ali Sabieh,guestir,,GRELE,daremo(pres de guestir,0/4/1992
1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,10,1,1092,,0,0.0,0.0,ede4c7a2-f202-4c17-bfad-d05c1bcd1571,Ali Sabieh,ali-adde,,INONDATION,guechamalie,0/1/1994
1,1,0,0,0,0,0,0,1,0,0,0,0,0,84,0,11,1,1092,,0,0.0,0.0,22c43b25-3e5a-4b47-855e-9fb4c9e188b6,Ali Sabieh,ali-adde,,INONDATION,danan,0/1/1994
9,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,12,1,1020,,0,0.0,0.0,c5b52e62-457d-4d60-b664-a13aa3d30c3a,Ali Sabieh,guestir,,ÉPIDÉMIE,guestir,0/5/1994
1,3,0,0,0,0,2,0,2,0,0,0,0,11,80,0,13,1,1021,,0,0.0,0.0,26ca5477-04f3-4965-960d-da10f33f8093,Ali Sabieh,assamo,,TEMPÊTE,assamo,0/3/1944
3,0,1,0,0,0,0,0,0,0,0,0,0,0,130,0,15,1,1092,,0,0.0,0.0,48569198-e99b-4cfb-8ceb-e5419d6c5a22,Ali Sabieh,ali-adde,,INONDATION,oboley,0/12/1996
3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,1,1092,,0,0.0,0.0,87861699-5912-41c8-907d-e9f0f2fb9787,Ali Sabieh,ali-adde,,INONDATION,ali-addé,4/4/2002
1,1,0,0,0,2,2,0,0,0,0,0,0,3,80,0,20,1,,,0,0.0,0.0,d74b2256-8b51-4abd-a16f-01d8b47e9dc8,Ali Sabieh,"ali-adde, guestir, arrey",,PLUIES EXTREME,"ali-adde, guestir, arrey",14/4/2007
1,4,0,0,0,0,4,0,3,0,0,0,0,0,800,0,21,1,1001,,2,0.0,0.0,ffdebbd7-9b86-4c8d-b61e-f3099e16944c,ALI SABIEH,ALI SABIEH,,Incursion -,kabah-kabah,12/11/2008
32,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,1,1021,,0,0.0,0.0,9e004306-ed7f-486b-bf6f-333c9152e6e7,Ali Sabieh,assamo,,EXPLOSION,godiro,0/11/1990
3,7,0,0,0,0,0,0,2,0,0,0,0,24,473,0,25,1,1021,,0,0.0,0.0,5160425b-8fcf-44e7-80e4-34079ea47211,Ali Sabieh,assamo,,INONDATION,assamo,0/8/2006
1,0,0,0,0,0,30,0,5,0,0,0,0,0,0,0,26,1,1021,,0,0.0,0.0,240affc1-f8e4-4de2-97b8-d30706380332,Ali Sabieh,assamo,,ÉPIDÉMIE,assamo,0/2/2010
9,0,0,0,0,0,10,0,0,0,0,0,0,0,1300,0,27,1,1021,,0,0.0,0.0,412ec0ba-02db-420b-902b-0b1138ae33d3,Ali Sabieh,assamo,,SÉCHERESSE,assamo,0/1/1991
200,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,29,1,1091,,0,0.0,0.0,6a16ebf6-3120-4df4-8c9d-5345ffd6fe63,Ali Sabieh,holl-holl,,ACCIDENT,holl-holl,0/0/1979
2,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,32,1,1091,,0,0.0,0.0,816fac27-2ff5-4652-bed3-376d3bd0718d,Ali Sabieh,holl-holl,,INONDATION,hadley,0/2/1984
21,0,0,0,0,0,30,0,0,0,0,0,0,0,483,0,35,1,1001,,0,0.0,0.0,bd2875d4-6d2a-46f8-9ddf-5c52ae9e51ad,Ali Sabieh,ali-sabieh,,ÉPIDÉMIE,iroleh-hindi-iskoutir,2/2/1981
2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,39,1,1091,,0,0.0,0.0,2af6fca1-4cb0-4f9f-862c-f3fc75a9a81d,Ali Sabieh,holl-holl,,INONDATION,hindi,0/9/1983
1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,40,1,1017,,0,0.0,0.0,ee4ad16c-bdc6-4945-a14b-5ed839ef1aef,Ali Sabieh,goubetto,,INONDATION,bouleh,0/4/1983
7,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,42,1,1091,,0,0.0,0.0,4b87d8b5-8598-4eec-8eb7-21ca3367c497,Ali Sabieh,holl-holl,,INONDATION,beya-adey,0/1/1985
1,1,0,0,0,0,0,0,1,0,0,0,0,0,32,0,44,1,1091,,0,0.0,0.0,c43f55d3-ab2b-4a67-9573-1a0471b3f699,Ali Sabieh,holl-holl,,FOUDRE,cousouraleh,0/2/1989
2,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,45,1,1091,,0,0.0,0.0,71574e56-c924-48c9-a07f-8b18f1838d90,Ali Sabieh,holl-holl,,INONDATION,day-day,0/2/1994
2,1,0,0,0,0,0,0,1,0,0,0,0,0,30,0,46,1,1017,,0,0.0,0.0,b99e2740-1f54-4e83-8a11-58986a4164bd,Ali Sabieh,goubetto,,ATTAQUE ANIMAL,day-day,0/3/1993
1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,47,1,1017,,0,0.0,0.0,e777fd23-c298-4da9-836e-784724e106c9,Ali Sabieh,goubetto,,INONDATION,day-day,0/2/1989
2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,48,1,1091,,0,0.0,0.0,5a17671a-0b96-40e3-8acc-75f46235074a,Ali Sabieh,holl-holl,,ATTAQUE ANIMAL,alayleh,0/12/1989
10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,1,1091,,0,0.0,0.0,842e8a82-669a-414f-b7c6-879b8ab87431,Ali Sabieh,holl-holl,,ACCIDENT,holl-holl,0/3/1991
3,0,0,0,0,0,3,0,0,0,0,0,0,0,360,0,50,1,1091,,0,0.0,0.0,0bbee728-5b88-4a28-9202-4759c00166b8,Ali Sabieh,holl-holl,,ATTAQUE ANIMAL,cousouraleh,0/2/1992
