deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0377,6,616,,0,0,0,5a0b2795-f883-4667-a8f0-0f9961082e81,SAN SALVADOR,SANTO TOMAS,,Deslizamiento,km 9 carr.panoramica,4/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0475,8,805,,0,0,0,8a25abf3-acd1-43cc-997b-ca3f7c4b3d50,LA PAZ,OLOCUILTA,,Inundación,,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0476,8,814,,3,0,0,b55ff328-ae4e-4f90-ba75-82fc51a4845c,LA PAZ,SAN MIGUEL TEPEZONTES,,Inundación,Riberas de Río Jiboa,6/10/2005
0,0,0,0,1,0,5,0,0,0.0,0,0,0,0.0,0,0,2005-0464,6,608,,0,0,0,e7dc1b74-49c8-4325-abce-474edf4b9087,SAN SALVADOR,MEJICANOS,,Deslizamiento,,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0477,8,821,,0,0,0,e052fd20-2725-4a43-9fe4-7fa53894a5f6,LA PAZ,ZACATECOLUCA,,Inundación,Riveras de río Jiboa,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0514,14,1404,140409,0,0,0,cf11459b-976c-414f-811a-34b68af76c45,LA UNION,CONCHAGUA,EL TAMARINDO,Deslizamiento,,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0515,2,207,,0,0,0,97a3f886-2db9-4e1c-897e-f0ff1c22ebc6,SANTA ANA,METAPAN,,Deslizamiento,,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0516,6,601,,0,0,0,be648c86-6784-4b79-86ba-c6fb37aa66e2,SAN SALVADOR,AGUILARES,,Deslizamiento,,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0517,8,819,,0,0,0,44987e5c-4b9d-4793-b2e6-0def1fbe4671,LA PAZ,SANTIAGO NONUALCO,,Deslizamiento,Cantón Guaruras,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0518,3,304,,0,0,0,01d5ee2a-c49a-4174-a47f-b9b1a0675103,SONSONATE,CUISNAHUAT,,Deslizamiento,,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0519,5,519,,0,0,0,2c8f318a-0134-4af8-a981-30ea858aabc2,LA LIBERTAD,TALNIQUE,,Deslizamiento,,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0520,3,302,,0,0,0,83875b9a-7531-44b6-bcfd-693aa6abd4d1,SONSONATE,ARMENIA,,Deslizamiento,Col. Palmera de Paris,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0521,5,504,,0,0,0,2fb5c05f-983f-4972-a06e-ffbac1f606e4,LA LIBERTAD,COMASAGUA,,Deslizamiento,Cantón El Amatillo,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0522,8,817,,0,0,0,4ede8e73-8bb6-4b4e-9ab3-8795447b88d1,LA PAZ,SAN RAFAEL OBRAJUELO,,Deslizamiento,Cantón Carao,6/10/2005
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2005-0523,6,619,,3,0,0,968a3e2b-a924-4a83-8cf8-a4c4867ae85e,SAN SALVADOR,CIUDAD DELGADO,,Deslizamiento,,6/10/2005
0,0,0,0,15,0,75,0,75,0.0,0,0,0,0.0,0,0,2010-00178,2,210,,0,0,0,9303fb19-2e9a-4392-a1f2-6376cc52c517,SANTA ANA,SANTA ANA,,Inundación,Caserío Codo de Arena,30/5/2010
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2010-00179,2,203,20316,0,0,0,838e18f2-ace3-4092-a9c6-35c125fadcd0,SANTA ANA,CHALCHUAPA,LAS CRUCES,Inundación,Caserío San Jorge,30/5/2010
