deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28711,1,,,0,0.0,0.0,7789ebe1-3212-47f0-a684-32ecc13c5a56,Tigray,,,THUNDERSTORM,E/Alage,0/0/2016
0,0,0,7,0,0,0,0,0,0,0,0,0,453.0,0,0,24356,3,306,30612,0,0.0,0.0,DB0CB462-0F12-4F42-9B1B-4AE362CD59E6,,,,LAND SLIDE,"Awabel, Dejen",1/8/2001
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28429,13,,,0,0.0,0.0,47c088dd-cbd0-4124-bd3c-cabe0dc3fc72,Harari,,,DROUGHT,,0/0/2019
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28428,15,,,0,0.0,0.0,7f38e5dd-0a76-45aa-9ea5-5ff59f4fe849,Dire Dawa,,,CONFLICT,,0/0/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28427,15,,,0,0.0,0.0,cee32b30-4f62-4684-9a8d-aa44daf36488,Dire Dawa,,,DROUGHT,,0/0/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,17903.0,0,0,29842,4,420,4206,1,0.0,0.0,97947642-cc80-4b03-8234-7a1e8b2df594,Oromiya,East Harerge,Chinaksen,DROUGHT,,1/5/2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28426,3,,,0,0.0,0.0,cca86d1b-7332-491f-ba55-aeb0199dbd04,Amhara,,,CONFLICT,,0/0/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28414,2,203,20301,0,0.0,0.0,91e5edc9-d2ac-4d79-a4f6-16c02bd314d2,Afar,Zone 3,Amibara,FLOOD,Amibara,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28424,2,201,20106,0,0.0,0.0,4370868f-ea1f-4c72-8999-12a679a4044b,Afar,Zone 1,Chifra,CONFLICT,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28423,2,203,20301,0,0.0,0.0,c0a5eae1-f3a2-420b-996f-182999381cd7,Afar,Zone 3,Amibara,CONFLICT,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28421,2,201,,0,0.0,0.0,66d16f27-eb61-4a00-95c0-aa4ed0f01b8e,Afar,Zone 1,,CONFLICT,Gelalo,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28422,2,203,20303,0,0.0,0.0,5a911bc5-0d2b-4d68-a47b-632a5fda7d19,Afar,Zone 3,Gewane,CONFLICT,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28420,2,201,20104,0,0.0,0.0,e25c9ec5-e08d-4bae-b50c-9cf090f09627,Afar,Zone 1,Afambo,CONFLICT,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28419,2,201,20101,0,0.0,0.0,c6bf4a51-9e01-444e-bd21-b8a1241be096,Afar,Zone 1,Dubti,CONFLICT,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28418,2,201,20105,0,0.0,0.0,bc6f7748-a8fb-4662-b1e4-bc03eb555145,Afar,Zone 1,Mile,CONFLICT,Mille,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28417,2,203,20304,0,0.0,0.0,11f7e1a6-9c2b-4623-8e96-0e76fb9bcd21,Afar,Zone 3,Dulacha,FLOOD,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28416,2,204,20403,0,0.0,0.0,da3f5d24-a1c4-4381-8b89-aeb6947f6686,Afar,Zone 4,Teru,FLOOD,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28415,2,,,0,0.0,0.0,015a8698-46b1-4228-9efc-3f971827b207,Afar,,,FLOOD,Gelalu,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28413,2,202,20204,0,0.0,0.0,56119ce1-c2eb-461f-beda-f53b8bc43f6b,Afar,Zone 2,Megale,FLOOD,,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28411,2,203,20303,0,0.0,0.0,67f29b48-7dc6-4add-971f-5c8363d38616,Afar,Zone 3,Gewane,FLOOD,Gewane,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28410,2,203,20302,0,0.0,0.0,667ec827-4bf5-4d97-8c5c-4b487e041540,Afar,Zone 3,Awash Fentale,FLOOD,Awash Fentale,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28425,3,,,0,0.0,0.0,24642237-3054-4578-a379-e2982451a78f,Amhara,,,DROUGHT,,0/0/2019
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28707,1,,,0,0.0,0.0,104f35f7-fdfc-4432-8741-30c5fad3306c,Tigray,,,Heavy Rain,Ofela,0/0/2015
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28449,3,,,0,0.0,0.0,526bb863-8f7b-4127-9c96-418420701313,Amhara,,,LAND SLIDE,,0/0/2014
0,0,0,0,0,0,0,104,0,0,0,0,0,22.0,0,0,24357,3,305,30507,0,0.0,0.0,48F7ADEF-AD09-489F-BA9A-99766CCC603B,,,,LAND SLIDE,Antsokiya Gemza,7/9/2006
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28433,3,,,0,0.0,0.0,1c7ef5fe-0c2a-4d28-ac0d-fc49816b654e,Amhara,,,HAILSTORM,,0/0/2019
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28432,3,,,0,0.0,0.0,b3e21ee3-7625-4c47-b231-e1e945f7f400,Amhara,,,FLOOD,,0/0/2019
0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28443,12,1200,,0,0.0,0.0,64e839e7-1755-45a6-bcb1-21f228a4ea7b,Gambella,,,FLOOD,Makuay,28/9/2019
0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28440,12,1203,120302,0,0.0,0.0,504da065-b319-47e5-993a-24345d22a3c1,Gambella,Zone 3,Jikawo,FLOOD,,28/9/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28409,2,201,20103,0,0.0,0.0,555fbb84-ec10-4b71-ae34-01c1efd0e175,Afar,Zone 1,Asayita,FLOOD,Aysaita,20/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28395,5,508,508030,0,6.6612293,43.7908453,c240930a-2e6c-4e86-86de-41999632ce72,Somali,Afder,Afder,FLOOD,Afder,6/10/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28431,4,,,0,0.0,0.0,379b4e22-2915-43dc-bed5-cc9a54fb2036,Oromiya,,,DROUGHT,,0/0/2019
0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28442,12,1201,120102,0,0.0,0.0,98ea9f60-6618-48c3-aee9-44e2b934c9a5,Gambella,Zone 1,Gambella,FLOOD,,28/9/2019
0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28439,12,1202,120207,0,0.0,0.0,2b6d1094-8d58-47df-aff4-c6c6d0d34444,Gambella,Zone 2,Itang,FLOOD,,28/9/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28430,4,,,0,0.0,0.0,cd44189b-7b47-4a3e-9980-47d9a111f349,Oromiya,,,DROUGHT,,0/0/2019
0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28437,12,1202,120202,0,0.0,0.0,0d942946-3682-47bb-9c2d-ba623560fab9,Gambella,Zone 2,Gambella,FLOOD,Gambela zuria,28/9/2019
0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28436,12,1201,120101,0,0.0,0.0,c04dfcce-b272-473d-a9c3-9db844c772f6,Gambella,Zone 1,Itang,FLOOD,,28/9/2019
0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28438,12,1202,120203,0,0.0,0.0,1000b34a-a6c8-4c3e-8e2f-0f66a2e26846,Gambella,Zone 2,Gog,FLOOD,,28/9/2019
