deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,45,0,0,0,290000,775000,0,0,0.0,0,0.0,2,GRD,GRD01,GRD0105,0,12.17851748,-61.72622683,2e610d35-14bf-4f15-aebe-52d65022b850,Grenada,Grenada,St Mark,STORM,"Victoria, Waltham, La Source, Bonnaire, Gros Pt etc.",11/4/2011
1,0,0,0,350,1650,5837,0,0,0,0,0,1,0.0,0,0.0,3,GRD,GRD02,,0,0.0,0.0,707b8862-0545-423e-8d1f-36b5ecdede02,Grenada,Carriacou,,HURRICANE,"Carricou & PM Harvey Vale, Hillsborough, Belmont",14/7/2005
21,680,0,15,11367,34101,35575,0,0,889000000,2389810000,45,1,28.0,4043,0.0,4,GRD,GRD01,GRD0101,0,0.0,0.0,82ff4bb3-cca5-4972-b8ce-72a85df5daea,Grenada,Grenada,St George,HURRICANE,Parish & National $ losses,7/9/2004
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,5,GRD,GRD01,GRD0107,0,0.0,0.0,d27903ec-1c2a-413c-b089-f05b1ea8d3a0,Grenada,Grenada,St Patrick,VOLCANO,Kick em Jenny Volcano,4/12/2001
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,6,GRD,GRD01,,0,12.30332986,-61.61590582,fb1287dc-d293-43cc-86b0-c6d64bd746af,Grenada,Grenada,,EARTHQUAKE,St. Patrick and Carricou,29/12/1988
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,8,GRD,GRD01,,0,0.0,0.0,6fb55cf7-b5ab-496a-9195-2c02b4c6ae43,Grenada,Grenada,,TSUNAMI,Northern Gda & S. Grenadines - Kick em Jenny,23/7/1939
1,6,0,6,0,18,0,0,0,0,0,0,0,0.0,0,0.0,9,GRD,GRD01,GRD0101,0,12.05655626,-61.7420196,ca61f65f-48ce-41f6-a2c0-69f5bd686c5a,Grenada,Grenada,St George,FLOOD,"Cemetery Hill, Fontenoy, River Rd, Tempe, Queens Park, Tante",20/11/1938
0,0,0,0,0,33,0,0,0,0,0,0,0,0.0,0,0.0,149,GRD,GRD01,GRD0103,4,12.1225789,-61.62918091,69770b2a-dfff-48c7-994b-8f2e6fe0a57f,Grenada,Grenada,St Andrew,FIRE,Grenville - ,27/7/2010
1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,150,GRD,GRD02,GRD0202,4,12.5116654,-61.42456055,e10a79e6-7350-49c4-9566-5ef438d1d2fc,Grenada,Carriacou,Carriacou,THUNDERSTORM,Windward,14/9/2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,203,GRD,GRD01,,0,11.092165893502,-60.84228515625,23712872-5caf-4f67-8c91-0d1c493ce062,Grenada,Grenada,,EARTHQUAKE,Off Tobago - EQ swarm,22/4/1997
