deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00058,6,603,,0,0,0,F31BF6F5-EDA9-4F26-8A40-1FD692DF9438,Reg.6 East Berbice - Corentyne,Blackbush PolderFrontlands&Ext,,Flooding,,2/1/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00059,6,604,,0,0,0,58412857-A0EB-4897-A5E1-F43BD843BC83,Reg.6 East Berbice - Corentyne,Lower Corentyne - Canjie,,Flooding,,2/1/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00060,1,101,,0,0,0,C606C6F9-E94C-4624-9E29-6160C257FAE2,Reg. 1 Barima - Waini,Barima - Amakura,,Flooding,,2/1/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00061,1,102,,0,0,0,E39019C6-395B-4250-AC0F-097FFA92C01C,Reg. 1 Barima - Waini,Waini,,Flooding,,2/1/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-00061,3,302,,0,0,0,ED31347D-355D-4E07-93CD-8CEE41761FBD,Reg 3 West Dem. - Essequibo Is,Bonasika - Boerasirie,,Flooding,,23/12/2005
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-00062,3,301,,0,0,0,00907151-C56A-4B51-A590-E9290DD1C84F,Reg 3 West Dem. - Essequibo Is,Essq Is - Left Bank Essq River,,Flooding,,23/12/2005
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-00063,3,303,,0,0,0,FD7EC1E3-FD86-4CB0-8C19-C518EC3AA55F,Reg 3 West Dem. - Essequibo Is,Lower West Demerara  River,,Flooding,,23/12/2005
2,0,0,1,0,9,20,9,0,0.0,0.0,0,0,0.0,0,0.0,111,4,401,,0,0,0,7019c8c4-2577-4c04-82fb-1b8fb1e42db0,Reg.4 Demerara - Mahaica,Moblissa/ La Reconaissance,,Fire,Lilendaal East Coast Demerara,25/10/1998
0,0,0,2,0,16,16,0,0,0.0,0.0,0,0,0.0,0,0.0,2010-00010,4,402,,1,0,0,48e8e163-276e-484d-a497-26157309b36d,Reg.4 Demerara - Mahaica,Buxton - Mahaica,,Fire,Jeune Street Golden Grove,8/11/2010
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00057,6,601,,0,0,0,C6ED233E-778A-4445-B60C-C299727BBC99,Reg.6 East Berbice - Corentyne,East Berbice - West Canjie,,Flooding,,2/1/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00062,2,202,,0,0,0,2DE2E14F-008C-480E-87FE-A6978DCD524D,Reg.2 Pomeroon - Supenaam,Somerset & Berks Supenaam,,Flooding,,17/1/2006
0,0,0,1,0,5,0,0,0,25000.0,5000000.0,0,0,0.0,0,0.0,2010-00041,3,301,,0,0,0,CBF0410D-7595-4078-A3A4-F031BD9741C4,Reg 3 West Dem. - Essequibo Is,Essq Is - Left Bank Essq River,,Fire,Richmond Public Road Essequibo Coast.,24/8/2010
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00063,4,402,,0,0,0,CACF593C-9627-45C7-9DC1-C7DA24068868,Reg.4 Demerara - Mahaica,Buxton - Mahaica,,Flooding,,2/1/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-00064,4,401,,0,0,0,6E49478D-38C6-4EC5-8425-FF1AA8C6DA64,Reg.4 Demerara - Mahaica,Moblissa/ La Reconaissance,,Flooding,,2/1/2006
