deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,15648,17,,,0,0.0,0.0,d35bdcf5-f6b4-4c17-903f-a6ce56b4b715,مركزي,,,سيل,,28/4/1983
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,782K,24,24216,,0,30.2967002,57.0822119,22811749-BFAB-4FA4-99D7-ED7F099A4A29,Kerman,Kahnuj,,تگرگ,,26/12/1994
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,2705a,1,,,0,0.0,0.0,A7AB9DF6-C777-4947-B455-1DDFA2C2707C,گيلان,,,سيل,,30/3/1998
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,5862k,8,,,0,0.0,0.0,DA915D0A-D896-47E8-A692-9B552C9BFED9,Khuzestan,,,سيل,,30/10/2003
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,12063,30,,,0,0.0,0.0,425809e2-53e1-4595-a0d9-8ccf75c3c7a0,Esfahan,,,سيل,,17/5/2007
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,12257,29,,,0,0.0,0.0,df81903d-060b-4399-abf6-e446b0db8c3b,Tehran,,,تگرگ,,5/6/2007
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,13135,10,,,0,0.0,0.0,cc66691e-9e79-4d86-aa7b-0cf18ed0e366,Semnan,,,زمین لرزه,kavir,24/8/2008
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,13574,30,,,0,0.0,0.0,d02c40ed-34b3-4068-be58-1d60c583b857,Esfahan,,,سيل,,27/3/2010
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,16850,21,,,0,0.0,0.0,172cc321-a427-4ba3-869c-5e51f3a78648,خراسان رضوئ,,,سيل,,9/4/1975
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,17009,21,,,0,0.0,0.0,41dad8f1-94ec-469e-b816-ceb0ef13e2d7,خراسان رضوئ,,,سيل,,5/5/1991
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,18291,12,,,0,0.0,0.0,a652f9e7-a6b4-481f-b1cf-dd89a4c7a50e,فارس,لار,,سيل,,20/7/1964
