deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,271,19,19012,,0,0.0,0.0,373F1749-1867-46FA-9680-CD7A47FCE5EA,Orissa,Ganjam,,RAINS,,26/6/1971
0,0,0,50,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,38,19,19006,,0,0.0,0.0,13BBA775-27BA-4E11-B882-142722C12B58,Orissa,Cuttack,,FIRE,Arancha village,14/2/1970
0,0,0,350,77,0,0,0,0,0,100000.0,0,0,0.0,0,0.0,39,19,19006,,0,0.0,0.0,A0D510B9-408B-4238-B230-D256DB2863D6,Orissa,Cuttack,,FIRE,Kanchapoi village,19/2/1970
0,0,0,220,0,0,360,0,0,0,500000.0,0,0,0.0,0,0.0,14,19,19029,19029019,0,0.0,0.0,8F4B40CB-A82C-4D93-AE52-CC8C39B463F1,Orissa,Rayagada,Gunupur,FIRE,Regeda,17/3/1997
0,0,0,245,0,0,0,0,0,0,200000.0,0,0,0.0,0,0.0,15,19,19013,19013003,0,0.0,0.0,624CD1FB-7E78-4166-8468-7E613F8DD22B,Orissa,Puri,Puri Sadar,FIRE,"Narsinghpur, Dimiria village",17/3/1997
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,272,19,19020,,0,0.0,0.0,82DAF9D4-96C6-4817-8593-CEA346D81644,Orissa,Jagatsingpur,,RAINS,,26/6/1971
0,15,0,0,0,0,1500,0,0,0,0.0,0,0,0.0,0,0.0,9,19,19014,19014008,0,0.0,0.0,F04DD851-5881-42EA-BA16-D2D66151DA9A,Orissa,Angul,Anugul,FIRE,Nalco,5/2/1997
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,1074,19,19006,,0,0.0,0.0,90A98951-4758-410C-8E57-054856009C4E,Orissa,Cuttack,,FLOOD,,22/8/1992
8,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,1075,19,19013,,0,0.0,0.0,F70C4E9E-F50E-4F40-8C6C-76BA3D4FF617,Orissa,Puri,,FLOOD,,22/8/1992
1,0,0,3900,0,0,54800,0,0,0,92700000.0,0,0,0.0,0,0.0,8530,19,19030,,0,0.0,0.0,4709DF06-5426-489E-BA51-F605E301CEB6,Orissa,Sonepur,,FLOOD,,0/0/2001
4,0,0,93,753,0,198,0,0,0,500000.0,0,0,0.0,10,0.0,8531,19,19002,,0,0.0,0.0,239D5098-4B2B-44EC-A6C4-3E1785EC7722,Orissa,Sundargarh,,FLOOD,,0/0/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,10,19,19004,19004001,0,0.0,0.0,ECBFB763-CDC8-4CBF-A7DD-59219A43EC58,Orissa,Mayurbhanj,Baripada,FIRE,Madhuban,24/2/1997
0,0,0,225,0,0,0,0,0,0,1200000.0,0,0,0.0,0,0.0,11,19,19019,19019024,0,0.0,0.0,5D654AD7-0F4F-4D7D-8261-A1DBE2FE050F,Orissa,Gajapati,Paralakemedi,FIRE,,9/2/1997
0,0,0,145,0,0,5000,0,0,0,0.0,0,0,0.0,0,0.0,12,19,19012,19012015,0,0.0,0.0,0E094749-B2A8-4568-89A6-3A8734C2D015,Orissa,Ganjam,Bhanjanagar,FIRE,Sorada,20/2/1997
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,8532,19,19014,,0,0.0,0.0,B4F4A68C-E46F-4210-8B80-77A5A7E59E5F,Orissa,Angul,,FLOOD,,0/0/2002
6,20,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,16,19,19003,19003012,0,0.0,0.0,614FAD65-A532-45E2-9F12-5FC5FAB52E59,Orissa,Keonjhar,Jhumpura,EPIDEMIC,Jhumpura,20/3/1997
9,100,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,17,19,19005,19005001,0,0.0,0.0,0042912F-C0E5-41BD-BE30-961E473B3AD8,Orissa,Balasore,Baleshwar,EPIDEMIC,North Balasore,3/5/1997
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,18,19,19026,19026014,0,0.0,0.0,653F268E-634A-4512-A7C1-57B5229A7012,Orissa,Nuapada,Nuapara,DROUGHT,,10/5/1997
0,0,0,0,0,0,420,0,0,0,0.0,0,0,0.0,0,0.0,19,19,19013,19013004,0,0.0,0.0,F55799E6-2755-459C-8141-D0022735BE10,Orissa,Puri,Gop,EPIDEMIC,Gop block area,11/5/1997
0,0,0,319,0,0,0,0,0,0,1000000.0,0,0,0.0,0,0.0,13,19,19007,19007001,0,0.0,0.0,535077D3-A59B-41D9-8691-06CF7B923EE2,Orissa,Dhenkanal,Dhenkanal,FIRE,Binika,10/3/1997
0,0,0,4,0,0,24,0,0,0,21000.0,0,0,0.0,0,0.0,1,19,19006,19006002,0,0.0,0.0,83A5905F-2731-4E64-8C40-01E6F2294210,Orissa,Cuttack,Barang,FIRE,Mundasahi,4/1/1997
