deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4089,5,,,0,0.0,0.0,2b910b6a-48d9-4922-bfad-1e6182e08b36,St. Mary,,,Inundation,,28/1/2000
0,0,0,0,0,0,0,0,0,2010162.0,0.0,0,0,0.0,0,0.0,4090,13,,,0,0.0,0.0,7f0e9884-d71d-44ba-9cd9-bbf6c58c8cbf,Clarendon,,,Gale,MAY PEN,5/5/1996
2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4069,15,,,0,0.0,0.0,e9c935ac-d6aa-42bd-8bb2-e71e387c4939,St. Andrew,,,Inundation,,4/11/1998
0,0,0,0,0,0,0,0,0,730000.0,0.0,0,0,0.0,0,0.0,4064,3,,,0,0.0,0.0,4d38331d-a0f0-4323-a5a3-5ff16671d6bd,St. Thomas,,,Inundation,,0/11/1998
0,0,0,0,0,0,0,0,0,602000.0,0.0,0,0,0.0,0,0.0,4065,7,,,0,0.0,0.0,6cc2c63f-45ff-4971-9d47-b17809cffd8a,Trelawny,,,Inundation,,0/11/1998
0,0,0,0,0,0,0,0,0,805000.0,0.0,0,0,0.0,0,0.0,4066,11,,,0,0.0,0.0,408e49aa-930b-4713-906e-dbfb44c2658a,St. Elizabeth,,,Inundation,,0/11/1998
0,0,0,0,0,0,0,0,0,32000.0,0.0,0,0,0.0,0,0.0,4067,6,,,0,0.0,0.0,35959979-4d89-4da5-9a65-b672e063e654,St. Ann,,,Inundation,,0/11/1998
0,0,0,0,0,0,0,0,0,20000.0,0.0,0,0,0.0,0,0.0,4068,5,,,0,0.0,0.0,6b973136-9efe-4a99-ad51-16a037575b6a,St. Mary,,,Inundation,,0/11/1998
0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4070,15,,,0,0.0,0.0,6998ac24-039e-460a-be84-d059b95e071f,St. Andrew,,,Landslide,August Town,4/11/1998
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4071,6,,,0,0.0,0.0,947dd1f1-d78b-47ca-bc3a-d01173da8428,St. Ann,,,Inundation,,0/12/1998
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4072,4,,,0,0.0,0.0,1f4c1b66-4d15-4fa5-a336-9b5cce0a66e3,Portland,,,Inundation,,0/12/1998
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4073,3,,,0,0.0,0.0,e45f0779-f1a9-4990-97ba-1a4b231086bc,St. Thomas,,,Inundation,,0/12/1998
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4074,15,,,0,0.0,0.0,4f106ad4-7058-40af-8a54-d5d0e3c1e3db,St. Andrew,,,Inundation,,0/12/1998
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4075,14,,,0,0.0,0.0,dc8b5837-fe43-4408-b361-03403ac29072,St. Catherine,,,Inundation,,0/12/1998
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4076,6,,,0,0.0,0.0,22ade5c7-48e0-4365-8b9d-38796495e916,St. Ann,,,Inundation,,18/12/1998
0,0,0,0,0,0,0,0,60,0.0,0.0,0,0,0.0,0,0.0,4077,14,,,0,0.0,0.0,35da7b3b-3490-4fca-8b38-8f1f4834019b,St. Catherine,,,Inundation,Spanish Town,0/3/1999
2,0,0,0,0,0,0,0,0,15000000.0,0.0,0,0,0.0,0,0.0,4078,5,,,0,0.0,0.0,ac3ea202-ee0a-453b-9f19-e987beea1bf9,St. Mary,,,Inundation,,0/3/1998
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4079,7,,,0,0.0,0.0,f3539d5c-3356-4f2a-adea-a7f2b026a670,Trelawny,,,Inundation,,10/5/1999
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4080,11,,,0,0.0,0.0,5bca62e1-abb8-4198-9278-15735fb4e5e9,St. Elizabeth,,,Inundation,,11/6/1999
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4081,8,,,0,0.0,0.0,733f3fc0-c97d-4f0f-96a1-4bf800b332a5,St. James,,,Inundation,,25/6/1999
0,0,0,0,0,0,0,0,0,1000000.0,0.0,0,0,0.0,0,0.0,4082,15,,,0,0.0,0.0,505fc768-b1d0-4a89-b73a-ff708249cef6,St. Andrew,,,Inundation,,9/9/1999
0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4083,13,,,0,0.0,0.0,99ca2f8f-860e-462b-a9c0-e7a17abcd2c6,Clarendon,,,Inundation,,15/9/1999
0,0,0,0,0,3,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4084,13,,,0,0.0,0.0,9bcf9d2a-8647-4d22-99e2-e6ac1610f679,Clarendon,,,Inundation,,21/9/1999
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4085,1,,,0,0.0,0.0,a007cce3-b99f-401a-b2fd-ed234bdd27be,Kingston,,,Inundation,,21/10/1999
0,0,0,1,0,11,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4086,4,,,0,0.0,0.0,25ccc9f6-18e7-48c1-893c-092bbc37ce01,Portland,,,Inundation,,25/10/1999
0,0,0,0,0,15,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4087,6,,,0,0.0,0.0,9c8c6302-9753-41d7-96cd-928f6c607e39,St. Ann,,,Inundation,,31/12/1999
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4088,6,,,0,0.0,0.0,a6027e04-2249-4b5b-8f68-a735ba768929,St. Ann,,,Inundation,,28/1/2000
0,0,0,0,0,12,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4091,11,,,0,0.0,0.0,812c6fcf-b33e-4eba-9291-de9f075b0da8,St. Elizabeth,,,Gale,,27/2/1997
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4092,14,,,0,0.0,0.0,3c0e287d-0d6c-4cf3-88f2-14d1c2a7a072,St. Catherine,,,Gale,,8/8/1998
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4093,4,,,0,0.0,0.0,c16c4da6-8322-417f-a9c6-57b3841914aa,Portland,,,Gale,Orange Bay,15/1/2000
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4094,4,,,0,0.0,0.0,887e9b60-073d-48b9-a4e0-c2d12bbb7c74,Portland,,,Gale,Kildare,15/1/2000
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4095,4,,,0,0.0,0.0,d97365de-1943-4fab-b727-9dd3b76737c2,Portland,,,Gale,Rodney Hall,15/1/2000
