deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,8,836737,,1,0,0,a721217e-a32a-4d70-b928-63ee27d6b68e,Jarash,Jarash,,حريق,طريق جرش القديمة ,9/7/2019
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,11,1165730,,0,0,0,068e996c-9ac0-4316-882a-8313ab4c7afe,Al Mafraq,Qasabat Al Mafraq,,حادثة,طريق بغداد ,8/5/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,742,10,1065745,,0,0,0,b1f3ee25-c3a1-4555-ada8-2dbeacebfd7f,Madaba,Qasabat Madaba,,حريق,القريات ,5/5/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,7,736734,,0,0,0,30f49356-dafe-46d3-ae6e-fef43f14a2f6,Irbid,Al Koura,,حريق,المنطقة الواقعة ما بين جنين الصفا والطيبة ,21/6/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,743,7,736729,,0,0,0,5ba0e27c-1a35-4758-9c77-89fb6a13d780,Irbid,Al Aghwar Al Shamaly,,حريق,المشارع ,6/5/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,8,836737,,0,0,0,5e46bbe9-efb7-47e4-a470-7ea496f9758f,Jarash,Jarash,,حريق,ريمون / وادي ريمون ,6/7/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,11,321,,0,0,0,dd0690d4-6da9-4a2f-a1b5-dec7317de95c,Al Mafraq,رحاب,,حريق,منطقة المدور,12/7/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,749,8,836737,,0,0,0,dbd76d0e-40ee-4a61-b918-5de91de9ac8c,Jarash,Jarash,,فيضان,طريق جرش القديمة ,9/7/2019
0,0,0,0,0,0,0,0,0,0,1000,0,0,12,0,0,752,5,536720,,0,0,0,494eeb19-b9f6-4098-8196-a41d650ef9eb,Amman,Naur,,حريق,وادي الشتا,29/7/2019
0,10,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,753,1,165716,,0,0,0,fd1d553c-c3f9-4775-9af2-90b95c8958d1,Ajloun,Qasabat Ajloun,,حادثة,رجب,8/8/2019
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,11,1165730,,0,0,0,4a46c549-b56e-4e2d-bc08-6e8d2d2d44cc,Al Mafraq,Qasabat Al Mafraq,,حادثة,أوتستراد (المفرق-الزرقاء) قرب مثلث عرنوس,9/8/2019
0,27,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,755,11,1165730,,0,0,0,9776c36c-fbee-43fa-9a71-1322abea6a91,Al Mafraq,Qasabat Al Mafraq,,حادثة,أوتستراد (المفرق-الزرقاء) قرب مثلث عرنوس,28/8/2019
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,7,736729,,0,0,0,9c1a96da-5698-4e6e-aa36-0326a36cad6c,Irbid,Al Aghwar Al Shamaly,,حريق,الشونة الشمالية ,4/9/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,7,765739,,0,0,0,0a126199-c3ec-487b-a76b-449e67a0feb1,Irbid,Al Wastiyya,,حريق,كفراسد ,15/10/2020
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,1,165716,,0,0,0,914348ae-f6b4-4db5-a6ac-907e3d5ca264,Ajloun,Qasabat Ajloun,,حادثة,,30/9/2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,,,,1,0,0,141350b6-0d56-4641-92e9-86ba0837aa9b,,,,فيضان,,25/3/2021
0,6,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,758,5,6,,0,0,0,b328dcbb-fcf6-49ad-a882-5e5fa27dbc5d,Amman,sweileh,,حادثة,خلدا ,9/9/2019
3,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,678,8,836737,,0,0,0,f8aeb94f-7ddc-44ce-8991-f43519f21227,Jarash,Jarash,,حريق,Muthalth ata مثلث عطا,30/1/2018
0,15,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,674,,,,0,0,0,16e6edec-6369-4b4e-a3c8-4de773b2d5bf,,,,حادثة,car accident ,16/1/2018
