deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,4,0,0,0,1641,0,0,0,0.0,0.0,0,0,145.93,12,0.0,3,8,807,,0,0,0,21910545269994069441883854,Xayaboury,Paklai,,ນ້ຳຖ້ວມ,19 ບ້ານ,5/6/2004
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,4,8,807,,0,0,0,22033169439994069441883854,Xayaboury,Paklai,,ນ້ຳຖ້ວມ,1 ບ້ານ ປາກແລງ,0/0/2006
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,5,8,807,,0,0,0,22112824989994069441883854,Xayaboury,Paklai,,ນ້ຳຖ້ວມ,1 ບ້ານ ປາກແລງ,0/8/1995
0,0,0,5,0,22,0,0,0,0.0,0.0,0,0,0.0,0,0.0,6,8,807,,0,0,0,2.2224121994069442e+24,Xayaboury,Paklai,,ອັກຄີໄພ,3 ບ້ານ,9/8/2008
0,0,0,0,0,0,1750,0,0,0.0,980000000.0,0,0,0.0,0,0.0,355,17,1702,,0,0,0,77630662939994069441883860,Attapeu,Samakkhixai,,ນ້ຳຖ້ວມ,,0/0/2007
0,0,0,1,0,0,9,0,0,0.0,7180000.0,0,0,0.0,0,0.0,356,17,1701,,0,0,0,77785230959994069441883860,Attapeu,Xaisettha,,Wind Storm,,0/0/2008
0,0,0,3,0,0,19,0,0,0.0,3610000.0,0,0,0.0,0,0.0,357,17,1704,,0,0,0,77831896769994069441883860,Attapeu,Sanxai,,Wind Storm,,0/0/2008
0,0,0,0,0,0,145,0,0,0.0,560680000.0,0,0,0.0,0,0.0,362,17,1704,,0,0,0,78349335839994069441883860,Attapeu,Sanxai,,ແຫ້ງແລ້ງ,,0/10/2007
0,0,0,0,0,0,0,0,0,0.0,6507600.0,0,0,0.0,0,0.0,2027,11,1104,,2,0,0,50aefddf-fdd9-462b-b272-dc5f312ad6e8,Borikhamxay,Borikhan,,ອັກຄີໄພ,,23/8/2555
4,0,0,0,3418,0,23926,0,0,0.0,78877107.0,0,0,120.0,0,0.0,1627,7,701,,0,0,0,329a402b-db5d-4977-b23f-f341aab98065,Huaphanh,Xam-Nua,,ນ້ຳຖ້ວມ,,19/8/1996
0,0,0,0,19,0,19,0,0,0.0,103321659.0,0,0,0.0,0,0.0,1633,7,704,,0,0,0,73a7805a-90fc-465b-bb86-f0b3d939fb71,Huaphanh,Viangxai,,ນ້ຳຖ້ວມ,,19/8/1996
0,0,0,0,197,0,14,0,0,0.0,8282511.0,0,0,0.0,0,0.0,1636,7,706,,0,0,0,d9d22786-8b28-4c35-bd39-e86e49bba7e0,Huaphanh,Xam-Tai,,ນ້ຳຖ້ວມ,,19/8/1996
0,0,0,0,0,0,524,0,0,0.0,1118074000.0,0,0,0.0,0,0.0,2199,4,403,,0,0,0,4a17ad17-327a-4dce-9031-11502ef2f9ea,Oudomxay,Namo,,ອັກຄີໄພ,,21/4/2007
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2235.0,0,0.0,1855,14,,,0,0,0,869a1a8c-f368-40d8-8d03-896bbab7be5b,ແຂວງ ສາລະວັນ,,,ນ້ຳຖ້ວມ,,0/0/2000
