deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19800106002,7,705,,0,0.0,0.0,fe8420a3-eafe-43ec-b8d2-ba35d662efb9,,,,Flash Flood,,6/1/1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,20031002001,1,101,,0,0.0,0.0,bd81db53-c436-489a-a8a6-a23e8bed5874,,,,Heavy Rain,,2/10/2003
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,20080130003,2,201,201010,0,0.0,0.0,85bcea21-9e42-49da-b64b-2722a1c81a31,Baalbek_Hermel,Baalbek,Baalbek,Winter Storm,,30/1/2008
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,20080215021,8,803,803046,0,0.0,0.0,50826cec-a2ac-4106-ad5f-f668c5c8e485,,,,Earthquake,,15/2/2008
0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,20080215020,8,803,803009,0,0.0,0.0,2ff163a8-176a-4255-abd6-04a69b006f4a,,,,Earthquake,,15/2/2008
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19830203001,1,101,,0,0.0,0.0,66605a5a-972b-4ee9-86bc-ea6d60651861,,,,Torrent,,3/2/1982
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,20110312005,1,,,0,0.0,0.0,d706fece-991c-4fd0-bf74-07f307a2c975,,,,Winter Storm,,12/3/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19830218001,3,301,301006,0,0.0,0.0,0144130d-4af3-4ff9-8003-7fcf4c2bba7e,,,,Winter Storm,,18/2/1983
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19820203002,8,801,801011,0,0.0,0.0,7438581f-6c64-45ec-8fcf-a5e16c6397ee,,,,Torrent,,3/2/1982
0,0,0,0,0,0,0,0,100,0,0,0,0,0.0,0,0.0,19830103003,5,502,502058,0,0.0,0.0,374f8086-6110-4cfe-bf4a-404e04ba6924,,,,Flash Flood,,3/1/1983
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19830218002,8,803,803066,0,0.0,0.0,3cb09fb5-6970-4e0c-ac2b-472b6f272ac1,,,,Winter Storm,,18/2/1983
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19830218003,8,802,802066,0,0.0,0.0,fd4b4716-c8fe-4b02-9f81-aee5d2899461,,,,Winter Storm,,18/2/1983
0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0.0,20180616001,4,403,403005,0,33.7728148,35.89790029999995,330d6512-61b8-442f-8e36-29a228cc3ddd,Békaa,Zahle,Barr Elias,Forest Fire, حريق بر الياس التهم مئات الأمتار,16/6/2018
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19830111001,2,201,201052,0,0.0,0.0,e15d9f99-1424-4fda-8d0c-a051d68deb16,,,,Snow Storm,,11/1/1983
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19830119001,8,802,802067,0,0.0,0.0,e326d47f-61ac-4880-a54c-55c9e483d100,,,,Winter Storm,,19/1/1983
0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0.0,20180729001,6,603,603007,0,33.3594755,35.588928200000055,afe587fe-202d-4984-a2ff-eb944b188c55,Nabatiyé,Marjayoun,Blat Marjaayoun,Forest Fire,حريق إلتهم أشجار زيتون معمرة في مرجعيون,29/7/2018
1,0,0,10,10,0,0,0,50,0,0,0,0,0.0,0,0.0,20180909001,1,,,0,34.544034,36.079830000000015,c689b5f7-28c8-4ccd-a430-732f12eb610e,Akkar,,,River Flood,,9/9/2018
