deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
3,0,0,87,0,167,167,0,0,0.0,0,0,0,0.0,0,0.0,10,23,23207,,0,0,0,a09d9425-d58e-4f8d-988f-b80b4ca6d63d,VATOVAVY FITOVINANY,NOSY-VARIKA,,CYCLONES,,9/3/2010
26,104,34,2903,0,74476,74580,28184,0,0.0,0,0,0,0.0,810,0.0,11,23,23210,,0,0,0,867af77e-8711-42ad-8c62-9949e1a9da29,VATOVAVY FITOVINANY,MANAKARA ATSIMO,,CYCLONES,,9/3/2010
8,9,0,886,0,21905,21914,22966,0,0.0,0,0,0,5000.0,647,0.0,12,23,23212,,0,0,0,e9e98310-d288-4efa-98f8-c53b26b25be6,VATOVAVY FITOVINANY,VOHIPENO,,CYCLONES,,9/3/2010
19,28,0,8695,0,65148,65176,12664,0,0.0,0,0,0,0.0,451,0.0,13,23,23209,,0,0,0,1ef5114a-f55c-4e07-a2d2-e0f4fd1a00b3,VATOVAVY FITOVINANY,MANANJARY,,CYCLONES,,9/3/2010
15,0,0,197,0,4000,4000,4700,0,0.0,0,0,0,0.0,101,0.0,14,23,23211,,0,0,0,ae67695b-03d4-49a7-9876-37ff32668389,VATOVAVY FITOVINANY,IKONGO,,CYCLONES,,9/3/2010
2,0,0,0,0,5000,5000,0,0,0.0,0,0,0,0.0,0,0.0,15,23,23206,,0,0,0,ec5ad448-ecad-40e5-86e1-13e1575c4de6,VATOVAVY FITOVINANY,IFANADIANA,,CYCLONES,,9/3/2010
1,0,0,950,0,3369,3369,0,0,0.0,0,0,0,12910.0,0,0.0,16,33,33313,,0,0,0,b48cb926-4c85-4f6f-a209-9cf445e67e57,ALAOTRA MANGORO,AMBATONDRAZAKA,,CYCLONES,,9/3/2010
1,0,0,40,0,2100,2100,345,0,0.0,0,0,0,19520.0,18,0.0,17,25,25215,,0,0,0,9bb28e88-114a-40b1-84a1-f5d90e4ec142,ATSIMO ATSINANANA,MIDONGY-ATSIMO,,CYCLONES,,9/3/2010
2,0,0,58,0,1200,1200,1280,0,0.0,0,0,0,2700.0,37,0.0,18,25,25213,,0,0,0,3821090e-339d-441a-a137-3178e1814b92,ATSIMO ATSINANANA,FARAFANGANA,,CYCLONES,,9/3/2010
2,0,0,10,0,0,0,0,0,0.0,0,0,0,13604.0,5,0.0,20,25,25214,,0,0,0,58a7312b-ffba-4c96-948e-2279f3e41402,ATSIMO ATSINANANA,VANGAINDRANO,,CYCLONES,,9/3/2010
1,0,0,0,0,520,520,10,0,0.0,0,0,0,0.0,16,0.0,21,25,25217,,0,0,0,8cbd5351-a435-4b13-8412-a36ef6ec834b,ATSIMO ATSINANANA,VONDROZO,,CYCLONES,,9/3/2010
0,0,0,0,0,1670,1670,0,0,0.0,0,0,0,0.0,0,0.0,22,25,25222,,0,0,0,4023aefa-8a02-4db8-9e6b-927503eee4ff,ATSIMO ATSINANANA,BEFOTAKA,,CYCLONES,,9/3/2010
0,2,0,156,0,258,260,0,0,0.0,0,0,0,10.0,16,0.0,1935,43,43416,,0,0,0,13f05c1c-09b7-4c2e-9c36-af658a8d4954,BETSIBOKA,KANDREHO,,CYCLONES,,7/3/2004
0,0,0,330,0,2203,2203,0,0,0.0,0,0,0,85.0,85,0.0,1936,41,41407,,0,0,0,66f2ba4f-2f9d-40bd-99ba-3005d5338730,BOENY,MITSINJO,,CYCLONES,,7/3/2004
0,0,0,350,0,106,106,0,0,0.0,0,0,0,0.0,0,0.0,1937,42,42412,,0,0,0,26a1a938-ae59-4e70-89a5-5dd8de3b38e6,SOFIA,BEFANDRIANA NORD,,CYCLONES,,7/3/2004
0,5,0,1150,0,3228,3233,0,0,0.0,0,0,0,3234.0,65,0.0,1938,41,41415,,0,0,0,9a36f417-3f5c-4b78-97ab-159c4ce51b6c,BOENY,MAHAJANGA II,,CYCLONES,,7/3/2004
0,1,0,233,0,725,726,0,0,0.0,0,0,0,0.0,0,0.0,1939,43,43408,,0,0,0,e56b7025-2277-4a42-9efd-a1310c843d80,BETSIBOKA,TSARATANANA,,CYCLONES,,7/3/2004
0,4,2,1935,0,6511,6515,0,0,0.0,0,0,0,0.0,4,0.0,1940,41,41406,,0,0,0,e80dd196-b331-4c2f-a0a6-a4457b0c2148,BOENY,MAROVOAY,,CYCLONES,,7/3/2004
2,4,0,16,0,28,32,0,0,0.0,0,0,0,0.0,40,0.0,1941,44,44421,,0,0,0,97550cd6-e421-405c-9ec1-c8b2a0bef15d,MELAKY,MAINTIRANO,,CYCLONES,,7/3/2004
0,0,0,59,0,200,200,0,0,0.0,0,0,0,80.0,0,0.0,1942,42,42410,,0,0,0,684dac88-74e6-4de8-b838-0ae84272eeec,SOFIA,MANDRITSARA,,CYCLONES,,7/3/2004
0,0,0,298,0,796,796,0,0,0.0,0,0,0,165.0,375,0.0,1943,44,44420,,0,0,0,587aa0cb-145b-413e-959a-650e2f866b15,MELAKY,ANTSALOVA,,CYCLONES,,7/3/2004
36,805,14,54327,0,109792,110597,0,0,0.0,0,0,0,0.0,0,0.0,1944,72,72710,,0,0,0,48bbbf9d-5f6d-482c-90e3-31fed85376f4,SAVA,ANTALAHA,,CYCLONES,,7/3/2004
28,0,15,78,0,4270,4270,0,0,0.0,0,0,0,4389.0,642,0.0,1945,71,71717,,0,0,0,6a238147-50f2-4280-a649-4b40496c55c6,DIANA,AMBILOBE,,CYCLONES,,7/3/2004
23,0,6,2110,0,10651,10651,0,0,0.0,0,0,0,0.0,30,0.0,1946,71,71719,,0,0,0,ed45b79f-7904-46d5-9604-5722ad7baad3,DIANA,AMBANJA,,CYCLONES,,4/4/2004
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,23,21,21219,,0,0,0,c59eac38-e74d-4f82-8cc4-37a2b9eb24d0,HAUTE MATSIATRA,IKALAMAVONY,,CYCLONES,,9/3/2010
1,0,0,19,0,30,30,0,0,0.0,0,0,0,0.0,0,0.0,24,21,21208,,0,0,0,2c86be06-d1e0-46df-aba3-4d570d666d8f,HAUTE MATSIATRA,AMBOHIMAHASOA,,CYCLONES,,9/3/2010
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,25,21,21205,,0,0,0,c337981e-61bf-4da1-be0d-220b06a62ca6,HAUTE MATSIATRA,AMBALAVAO,,CYCLONES,,9/3/2010
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,26,51,51507,,0,0,0,86d16295-75ec-4ab2-8b9a-26504218a97e,ATSIMO ANDREFANA,AMPANIHY OUEST,,CYCLONES,,9/3/2010
2,0,0,0,0,0,0,0,0,0.0,0,0,0,60.0,0,0.0,27,24,24218,,0,0,0,6d6d2a44-a509-4659-9b56-1e6d5a027e6f,IHOROMBE,IVOHIBE,,CYCLONES,,9/3/2010
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,28,33,33316,,0,0,0,9665223e-1d49-4b65-8453-9c9d47b4b804,ALAOTRA MANGORO,ANDILAMENA,,CYCLONES,,9/3/2007
0,0,0,134,0,1541,1541,529,0,0.0,0,0,0,18.0,0,0.0,30,33,33313,,0,0,0,ddd17d7e-137f-4d84-a916-43d0bb33b8ab,ALAOTRA MANGORO,AMBATONDRAZAKA,,CYCLONES,,9/3/2007
5,98,7,38203,0,45243,45341,27808,0,0.0,0,0,0,4002.0,294,0.0,31,32,32303,,0,0,0,65e42a62-75d7-4d28-8e8d-172a0dd307ce,ANALANJIROFO,MAROANTSETRA,,CYCLONES,,9/3/2007
3,14,21,454,0,4421,4435,1863,0,0.0,0,0,0,20.0,0,0.0,32,32,32304,,0,0,0,fa9740e0-962a-45d7-a3d4-dc40eb055151,ANALANJIROFO,MANANARA-AVARATRA,,CYCLONES,,9/3/2007
0,0,0,0,0,24,24,0,0,0.0,0,0,0,0.0,0,0.0,34,32,32318,,0,0,0,e714a422-8213-4c27-88a5-9092d8f020c4,ANALANJIROFO,SOANIERANA IVONGO,,CYCLONES,,9/3/2007
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,36,32,32315,,0,0,0,0de5da3a-66c0-47be-9801-0ed05875f17e,ANALANJIROFO,VAVATENINA,,CYCLONES,,9/3/2007
0,0,1,2460,0,1703,1703,0,0,0.0,0,0,0,0.0,0,0.0,37,32,32305,,0,0,0,f2e6d8e9-a485-41c8-9ca6-851085fa4445,ANALANJIROFO,FENERIVE EST,,CYCLONES,,9/3/2007
0,0,0,0,0,1800,1800,0,0,0.0,0,0,0,1300.0,0,0.0,38,25,25217,,0,0,0,5f66709d-0b2d-4c7f-984f-7126705d68a0,ATSIMO ATSINANANA,VONDROZO,,CYCLONES,,9/3/2007
2,0,0,0,0,4200,4200,0,0,0.0,0,0,0,8900.0,0,0.0,40,25,25213,,0,0,0,b38f438b-c4a7-478a-b097-d18f9872c53a,ATSIMO ATSINANANA,FARAFANGANA,,CYCLONES,,9/3/2007
0,0,0,0,0,1506,1506,0,0,0.0,0,0,0,8897.0,0,0.0,41,25,25215,,0,0,0,3cc1d789-3575-4ba5-bf92-de6baadcbf41,ATSIMO ATSINANANA,MIDONGY-ATSIMO,,CYCLONES,,9/3/2007
3,0,1,0,0,3000,3000,0,0,0.0,0,0,0,5400.0,0,0.0,42,25,25214,,0,0,0,93e3a305-0f0a-48cf-b419-90c956cb1d85,ATSIMO ATSINANANA,VANGAINDRANO,,CYCLONES,,9/3/2007
0,0,0,0,0,1794,1794,0,0,0.0,0,0,0,600.0,0,0.0,43,25,25222,,0,0,0,ac42bade-9d1b-45e1-9e31-e333b0553eaa,ATSIMO ATSINANANA,BEFOTAKA,,CYCLONES,,9/3/2007
0,0,0,0,0,150,150,0,0,0.0,0,0,0,0.0,0,0.0,44,31,31311,,0,0,0,d8bfe56f-449c-4f7c-ad4b-583c1198970a,ATSINANANA,ANTANAMBAO MANAMPONTSY,,CYCLONES,,9/3/2007
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,46,43,43408,,0,0,0,c12e2c88-ec3c-4210-aa79-d09f3e798a85,BETSIBOKA,TSARATANANA,,CYCLONES,,9/3/2007
1,2,0,2887,0,7972,7974,7972,0,0.0,0,0,0,0.0,19,0.0,50,72,72711,,0,0,0,c7673e63-cda4-48f8-8cc4-a908eeaeafab,SAVA,SAMBAVA,,CYCLONES,,26/3/2007
0,0,0,906,0,35,35,35,0,0.0,0,0,0,0.0,0,0.0,51,72,72712,,0,0,0,7cda9503-0382-49bd-900a-68c642889d80,SAVA,ANDAPA,,CYCLONES,,26/3/2007
0,2,0,26,15,0,2,0,0,0.0,0,7,0,0.0,0,0.0,48,22,22203,,0,0,0,dd552560-a05d-4254-b123-cff294a33665,AMORON I MANIA,AMBOSITRA,,CYCLONES,,9/2/2012
0,0,0,3,0,8,8,8,0,0.0,0,0,0,0.0,0,0.0,52,42,42413,,0,0,0,566b926c-c6bd-4616-8a5c-5d70e828e6dd,SOFIA,ANTSOHIHY,,CYCLONES,,26/3/2007
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,55,41,41415,,0,0,0,01bd3c87-912c-4f09-9bfa-4ccd37fb2d6f,BOENY,MAHAJANGA II,,CYCLONES,,9/3/2007
0,0,0,170,0,830,830,0,0,0.0,0,0,0,2000.0,0,0.0,56,71,71717,,0,0,0,01601d74-a8b0-4f4b-bd11-43929e4a62aa,DIANA,AMBILOBE,,CYCLONES,,9/3/2007
