deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,33,0,0,0,0.0,0,0,0.0,0,0,4716,5,55,,0,0.0,0.0,343f0382-0215-4ab7-9b13-51170df76711,MOPTI,DOUENTZA,,ÉPIDÉMIE,,0/0/2011
4,0,0,0,0,0,95,0,0,0,0.0,0,0,0.0,0,0,4717,5,54,,0,0.0,0.0,9f7f15e0-a86c-4ef5-96b9-1d4128bf2a11,MOPTI,DJENNE,,ÉPIDÉMIE,,0/0/2011
0,0,0,0,0,0,9,0,0,0,0.0,0,0,0.0,0,0,4718,5,52,,0,0.0,0.0,50d35c56-4bdc-4101-8e44-9cacb38961bb,MOPTI,BANDIAGAR,,ÉPIDÉMIE,,0/0/2011
1,0,0,0,0,0,19,0,0,0,0.0,0,0,0.0,0,0,4719,5,57,,0,0.0,0.0,d85c8582-32a0-4e6e-b8fa-bbef77334249,MOPTI,TENENKOU,,ÉPIDÉMIE,,0/0/2011
0,0,0,0,0,2,0,0,0,0,0.0,0,0,0.0,0,0,434a,3,33,,0,0.0,0.0,8e587f27-c5e2-4618-a0c3-a51e57134cbe,SIKASSO,KADIOLO,,ÉPIDÉMIE,,30/4/2007
1,1,0,36,26,0,434,182,0,0,0.0,0,0,0.0,3,0,1_a,2,25,25195,0,0.0,0.0,ec1b921f-be7e-488b-aaf8-1788e5504553,KOULIKORO,KATI,N'GABACOR,INONDATION,,1/9/2010
1,1,0,5,20,0,581,160,0,0,0.0,0,0,0.0,370,0,2_a,2,26,26173,0,0.0,0.0,a7912e13-3d91-4d98-b226-1bc0cfb9aa7a,KOULIKORO,KOLOKANI,KOLOKANI,INONDATION,,1/9/2010
0,0,0,187,234,0,2800,145,0,0,0.0,0,0,0.0,0,0,3_a,3,35,35627,0,0.0,0.0,b8a1ac8e-5f49-4e3c-b94d-f57cca04c6b1,SIKASSO,KOUTIALA,KOUTIALA-,INONDATION,,1/9/2010
0,0,0,205,10,0,805,102,0,0,0.0,0,0,176.0,0,0,4_a,4,42,42488,0,0.0,0.0,d58439f2-ea58-4b93-8df9-aeb166fed16d,SEGOU,BARAOUELI,SANANDO,INONDATION,,1/9/2010
0,0,0,10,99,0,289,71,0,0,0.0,0,0,0.0,0,0,5_a,4,42,42495,0,0.0,0.0,9e93443f-14f9-4e78-a0c9-6e9fd722daca,SEGOU,BARAOUELI,KONOBOUGO,INONDATION,,1/9/2010
0,0,0,17,32,0,420,85,0,0,0.0,0,0,0.0,0,0,6_a,3,35,35639,0,0.0,0.0,1fb896ad-ced2-4a5e-a03a-e3cee1585650,SIKASSO,KOUTIALA,M'PESSOBA,INONDATION,,1/8/2010
0,0,0,20,12,0,200,112,0,0,0.0,0,0,0.0,0,0,7_a,4,45,45415,0,0.0,0.0,7668f929-8aad-49d6-8ac6-ce66c15f6dcf,SEGOU,NIONO,SOKOLO,INONDATION,Village de Sokolo,1/8/2010
0,0,0,23,29,0,504,115,0,0,0.0,0,0,0.0,0,0,8_a,5,53,53304,0,0.0,0.0,4a810b21-8ae3-408d-8554-f843f26e920b,MOPTI,BANKASS,BANKASS,INONDATION,,1/8/2010
0,0,0,60,22,0,933,360,0,0,0.0,0,0,0.0,17,0,9_a,6,61,61694,0,0.0,0.0,c83292d9-1835-4fa6-a916-04ed27c17706,TOMBOUCTO,TOMBOUCTO,TOMBOUCTO,INONDATION,,1/9/2010
0,0,0,17,24,0,232,85,0,0,0.0,0,0,0.0,0,0,10_a,6,61,61679,0,0.0,0.0,9ff9327d-94f9-4509-8d37-f69480c519da,TOMBOUCTO,TOMBOUCTO,BER,INONDATION,Village de Ber,1/8/2010
0,0,0,109,150,0,1931,165,0,0,0.0,0,0,0.0,0,0,11_a,7,71,71018,0,0.0,0.0,1f521394-42c7-4741-8e72-e922c198e5df,GAO,GAO,GAO,INONDATION,,1/8/2010
1,0,0,29,68,0,630,87,0,0,0.0,0,0,0.0,0,0,12_a,8,81,81159,0,0.0,0.0,c515e762-e65a-44f0-b7ba-1b77bf6d84f3,KIDAL,KIDAL,KIDAL,INONDATION,,1/8/2010
0,0,0,41,100,0,912,246,0,0,0.0,0,0,0.0,0,0,13_a,8,83,83154,0,0.0,0.0,e7428466-5e57-4a57-842c-1e38b3c4e61a,KIDAL,TESSALIT,TESSALIT,INONDATION,,1/8/2010
5,2,0,63,108,0,1542,315,0,0,0.0,0,0,0.0,0,0,14_a,9,99,99270,0,0.0,0.0,1c7537fb-7b47-4739-8c95-40ab28789c9e,DISTRICT BAMAKO,DISTRICT,DISTRICT,INONDATION,Commune VI,1/8/2010
