deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,256,1,108,,0,0,0,58d78e45-f760-471f-94b0-4d64c5ad9256,MAURITIUS,Plaines Wilhems,,FIRE HAZARDS,Beau Bassin,21/9/2012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,1,104,,0,0,0,98db4bdf-21a6-4633-87d0-aff76ceb2a26,MAURITIUS,Flacq,,FIRE HAZARDS,Belle Mare,27/5/2014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,1,101,,0,0,0,8556f866-9e6a-472b-be4e-29c59bc8aaef,MAURITIUS,Port Louis,,FIRE HAZARDS,Royal St,10/8/2012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,1,101,,0,0,0,432c38ac-4cb0-4565-8aeb-20fe646113e3,MAURITIUS,Port Louis,,ROAD ACCIDENTS,NTR Victorial square ,9/12/2003
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,111,1,101,,0,0,0,13fa220b-fe84-4eec-a3d9-62016561141d,MAURITIUS,Port Louis,,TORRANTIAL RAINS,Port Louis,26/2/2007
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3087,1,106,,0,0,0,e3b0df38-b1ed-4ce1-81ee-34215bea593a,MAURITIUS,Savanne,,TORRANTIAL RAINS,Tyack,12/8/2001
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,135,1,107,10707,0,0,0,a8e91814-949d-4713-af78-c649bfd76435,MAURITIUS,Black River,Gros Cailloux,TORRANTIAL RAINS,gros cailloux,27/11/2013
8,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,1,,,0,0,0,4ac97b6b-b676-4a3a-8df3-805db4242a5d,MAURITIUS,,,CYCLONES,whole island,16/1/1960
42,1700,0,0,100000,0,168240,0,0,0,150000000,0,0,0,0,0,2,1,,,0,0,0,97623e8a-de03-446d-adc0-de34d418f5d2,MAURITIUS,,,CYCLONES,Whole Island,26/2/1960
0,0,0,0,0,0,0,0,0,0,28000000,0,0,0,0,0,3,1,,,0,0,0,c7caa86b-becb-4573-8409-b62bcc42cf01,MAURITIUS,,,CYCLONES,whole island,27/2/1962
0,0,0,0,0,0,23524,0,0,0,5129000,0,0,0,0,0,4,1,,,0,0,0,6c99c390-13a7-4319-a96e-640cc386adce,MAURITIUS,,,CYCLONES,whole island,12/1/1967
2,0,0,0,0,0,0,0,0,0,1783000,0,0,0,0,0,5,2,,,0,0,0,f8cac1a9-2b1d-4553-9a3b-feca8320e190,RODRIGUES,,,CYCLONES,whole island,11/2/1972
9,59,0,0,11320,826258,0,0,0,0,367000000,0,0,0,0,0,6,1,,,0,0,0,7007317a-465e-4c1d-b761-67ff3673b36d,MAURITIUS,,,CYCLONES,whole island,6/2/1975
0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0,0,7,1,,,0,0,0,5e4d4492-6e20-4a0f-99f8-af639005b99d,MAURITIUS,,,CYCLONES,whole island,23/12/1979
0,0,0,0,0,0,0,0,0,0,210000000,0,0,0,0,0,8,1,,,0,0,0,5807e233-3e46-4dbf-9a57-fc125de40dfa,MAURITIUS,,,CYCLONES,whole island,6/1/1981
1,507,0,844,0,0,0,0,0,0,430000000,0,0,0,0,0,9,1,,,0,0,0,d75249ef-fcb8-41f3-9971-a9816d5eafae,MAURITIUS,,,CYCLONES,whole island,28/1/1989
0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,10,2,,,0,0,0,f4e1f758-1796-45a3-a155-bec62c438841,RODRIGUES,,,CYCLONES,whole island,0/1/1991
0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,49,1,101,,0,0,0,77396808-a2b8-433a-a1c2-808fdb9dae7f,MAURITIUS,Port Louis,,GAS SPILLS,Pailles,25/11/2003
0,0,0,450,0,2,2300,0,0,0,1500000000,0,0,0,0,0,11,1,,,0,0,0,7aef0f74-8086-4f35-8300-29482f6c913d,MAURITIUS,,,CYCLONES,whole island,10/2/1994
0,0,0,0,0,3,0,0,0,0,310000000,0,0,0,0,0,12,1,,,0,0,0,87068369-1f37-4a99-ae72-08c616d6ddc5,MAURITIUS,,,CYCLONES,whole island,7/12/1996
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,,,0,0,0,46a96d45-cb53-4da8-9594-b839a92a56f0,ST-BRANDON,,,CYCLONES,,0/3/1999
4,0,0,0,80,0,1050,0,500,0,1150000000,0,0,0,0,0,14,1,,,0,0,0,3b5e9cdf-78e9-4b3c-a97a-2d2212b480ec,MAURITIUS,,,CYCLONES,whole island,21/1/2002
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,,,0,0,0,7c220a58-087e-4cef-ae98-6ae193b596af,RODRIGUES,,,CYCLONES,whole island,19/1/2002
2,0,0,0,0,0,0,0,0,0,1200000000,0,0,0,0,0,16,1,,,0,0,0,f820c4d5-02cb-454b-970c-896aae33e484,MAURITIUS,,,CYCLONES,WHOLE ISLAND,24/2/2007
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,,,0,0,0,681c3eb0-e669-466c-aaf9-250b5cb8b244,ST-BRANDON,,,CYCLONES,,0/10/2007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,,,0,0,0,a60f67f3-b6e8-499d-af4c-ae7e02348cf7,MAURITIUS,,,CYCLONES,whole island,8/2/2012
2,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,19,1,102,,0,0,0,e9ca287f-9afa-43bd-8dbb-3131eddf35de,MAURITIUS,Pamplemousses,,TORRANTIAL RAINS,Mon Gout,26/3/2008
2,0,0,0,50,0,100,0,0,0,0,0,0,0,0,0,20,1,104,,0,0,0,5de5fe9c-82c4-46d9-b76c-c0893b8abfdd,MAURITIUS,Flacq,,FLASH FLOODS,Flacq,26/3/2008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,109,,0,0,0,19649046-3ee6-4665-84cf-b9bd0a264f5f,MAURITIUS,Moka,,CHEMICAL SPILLS,Lake Valleta,4/11/2013
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,21,1,101,,0,0,0,1831d1ef-3770-4f46-bca8-f510d2d6a32e,MAURITIUS,Port Louis,,FLASH FLOODS,Port-Louis,13/2/2013
11,0,0,0,0,11,0,0,0,0,500000000,0,0,0,0,0,22,1,101,,0,0,0,3868a22c-5890-439b-99a0-e18e3ceb4e07,MAURITIUS,Port Louis,,FLASH FLOODS,Port-Louis,30/3/2013
0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0,0,23,1,,,0,0,0,02837dba-68d7-43b6-9c4d-e6cff6b6d96c,MAURITIUS,,,DROUGHT,whole island,0/0/1978
0,0,0,0,0,0,0,0,0,0,250000000,0,0,0,0,0,24,1,,,0,0,0,d188a1f9-4b09-42aa-bbd2-eb46a2706042,MAURITIUS,,,DROUGHT,whole island,0/0/1984
0,0,0,0,0,0,0,0,0,0,550000000,0,0,0,0,0,25,1,,,0,0,0,8678fd16-921d-47e2-bf33-64f43a393489,MAURITIUS,,,DROUGHT,whole island,0/0/1993
0,0,0,0,0,0,0,0,0,2500000000,0,0,0,0,0,0,26,1,,,0,0,0,a0bc226e-2273-4b2c-8066-36d66402a780,MAURITIUS,,,DROUGHT,whole island,31/12/1999
0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,27,1,,,0,0,0,cb28a53b-818f-4a4c-8127-96402cd59633,MAURITIUS,,,EPIDEMICS,whole island,0/0/1980
0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,28,1,,,0,0,0,280aecd2-d7c1-4a52-bd1b-423b38c50c28,MAURITIUS,,,EPIDEMICS,whole island,0/0/2006
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,,,0,0,0,2b3b43b8-7f45-4d65-aa5f-0688a868edae,MAURITIUS,,,EPIDEMICS,,31/10/2013
0,0,0,10,0,0,30,0,0,0,0,0,0,0,0,0,30,1,101,,0,0,0,e878d1c0-af30-470b-8dc1-2831a96245fb,MAURITIUS,Port Louis,,LANDSLIDES,Chitrakoot,0/0/2003
0,0,0,30,0,0,90,0,0,0,15000000,0,0,0,0,0,31,1,101,,0,0,0,c6f2f644-213a-4366-bb79-61498a6ae08b,MAURITIUS,Port Louis,,LANDSLIDES,Signal mountain,0/0/1990
0,0,0,5,0,0,0,0,0,0,360000000,0,0,0,0,0,32,1,,,0,0,0,1190e269-da0b-438f-83f3-bbef096f707d,MAURITIUS,,,CYCLONES,whole island,27/1/2000
0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,33,1,104,10401,0,0,0,a1e65e5b-a364-49b2-a4cf-551299513c4a,MAURITIUS,Flacq,Bel Air Riv. Sèche,TORRANTIAL RAINS,Bel Air,17/3/2008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,109,,0,0,0,180d5b14-df15-44d9-a0a3-a678a2b92568,MAURITIUS,Moka,,LANDSLIDES,Mount-Ory Moka,0/1/2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,108,,0,0,0,0a79cafb-0da2-4673-b2d6-1fee10707f1a,MAURITIUS,Plaines Wilhems,,LANDSLIDES,Trou-aux-Cerfs,0/0/2009
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,1,105,,0,0,0,187b0e85-a0dd-45d1-aab0-d4a9c450cbb8,MAURITIUS,Grand Port,,TORRANTIAL RAINS,Grand River South East,10/1/2007
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,36,1,101,,0,0,0,f0cd61f0-93bc-4cba-87aa-5cab3ab07b59,MAURITIUS,Port Louis,,TORRANTIAL RAINS,Vallee des Pretres,14/3/2008
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,37,1,104,10406,0,0,0,c8ef1fe9-5f66-4d08-bc59-d437cbc5543e,MAURITIUS,Flacq,Centre de Flacq,TORRANTIAL RAINS,Argy,14/3/2008
2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,38,1,106,,0,0,0,5e0c89f7-b14f-40e6-910b-7d354b775049,MAURITIUS,Savanne,,TIDAL WAVES,Riviere des Galets,12/5/2007
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,,,0,0,0,70a7bc9d-842c-44ca-8270-5c47557df303,RODRIGUES,,,TIDAL WAVES,,13/5/2007
