deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
25,0,0,100,0,0,0,0,0,550000,0,0,0,0.0,0,0.0,44,11,11181,1118101031,0,0.0,0.0,c166a50d-ebf7-447d-a7fc-82de2dc7fb0b,Doukkala Abda,El-Jadida,El-jadida,Inondation,,4/3/1996
0,0,0,3,13,0,0,0,0,0,65546000,43,0,0.0,0,0.0,70,4,4401,,0,0.0,0.0,00e5ba5c-db83-4b3b-9595-16997903f98b,Souss Massa Draa,Ouarzazate,,Inondation,,20/12/2009
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,16,16511,1651101031,0,0.0,0.0,513d77e3-3db0-4f0d-9b5c-2d8431096df1,Tanger Tétouan,Tanger-Assilah,Bni Makada,Inondation,,19/1/2013
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,11,11431,1143107072,0,0.0,0.0,1ba2c2ca-7d35-42aa-9cc1-9089b52f4793,Doukkala Abda,Safi,Laamamra,Inondation,,28/9/2012
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,3,7,7041,704107012,0,0.0,0.0,35f7e067-8ee1-42aa-ae96-48889ed0852a,Marrakech Tensift Al-Haouz,Al Haouz,Aghbar,Inondation,,12/3/2011
1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,4,11,11431,1143101031,0,0.0,0.0,55fe7f1f-509a-4a7f-a350-0bb7d1e7f0f3,Doukkala Abda,Safi,Safi,Inondation,,12/3/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,5,7,7351,735101071,0,0.0,0.0,45ee661f-9233-4321-9c31-55312be6861b,Marrakech Tensift Al-Haouz,Marrakech,Marrakech-medina,Inondation,,25/3/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,6,7,7351,735101071,0,0.0,0.0,c6b12744-fa96-4c02-8e38-4c142889faed,Marrakech Tensift Al-Haouz,Marrakech,Marrakech-medina,Inondation,,9/5/2011
2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,7,7,7041,704105033,0,0.0,0.0,e71e5eb6-9e48-471a-b984-1183fe8bab5d,Marrakech Tensift Al-Haouz,Al Haouz,Amizmiz,Inondation,Village Annoug,19/6/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,8,7,7041,704109052,0,0.0,0.0,311c9616-651a-4882-af30-e0b979796c9e,Marrakech Tensift Al-Haouz,Al Haouz,Ourika,Inondation,,28/8/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,8,7,,,0,0.0,0.0,44c2347f-108f-47aa-9246-426d60f93289,Marrakech Tensift Al-Haouz,,,Inondation,,28/8/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,9,9,9141,,0,0.0,0.0,c2e53736-e0cb-4740-bafd-ac68ccd8c703,Grand Casablanca,Casablanca,,Inondation,,27/8/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,10,14,14231,1423101071,0,0.0,0.0,983574bd-ae52-4f5d-81e7-83db7001b322,Fès Boulemane,Fes,Fes-medina,Inondation,,27/8/2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,734,,,,1,31.791702,-7.092620000000011,250cd987-3b00-45a3-ab22-04868d267b37,,,,Sécheresse,,20/3/2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,11,16,16331,1633101031,0,0.0,0.0,b56084f3-ca0c-4092-81c8-bc3607afe6cb,Tanger Tétouan,Larache,Larache,Inondation,,27/8/2011
24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,12,9,9141,,0,0.0,0.0,1eeb4190-934b-46c2-b8ec-b3a5f87cbf2a,Grand Casablanca,Casablanca,,Inondation,Route Casablanca Bouznika,29/11/2010
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,13,13,13301,1330105112,0,0.0,0.0,5aacc334-ef8a-4b22-a22f-72816b56e84c,Meknès Tafilalet,Khenifra,Lehri,Inondation,,29/11/2010
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,14,10,10291,1029101051,0,0.0,0.0,6fa1054a-f222-478e-b0e4-cea2e5e86bcf,Rabat Salé Zemmour Zear,Khemisset,Tiflet,Inondation, ,30/11/2011
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15,10,10441,,0,0.0,0.0,ea554ab9-0d17-4dcb-9d7d-49911f6c362a,Rabat Salé Zemmour Zear,Sale,,Inondation,,29/11/2010
