deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,9073,11,1005,100502,1,0.0,0.0,cec9f6ec-f17f-4351-bb3f-4cfccef71548,MAPUTO,MARRACUENE,MACHUBO,CHUVAS ,,12/9/2021
0,0,0,0,0,0,0,0,0,0.0,0,0,7,0.0,0,0,8992,4,,,1,0.0,0.0,4c366841-a810-47f8-990c-a8d2fa9e7989,ZAMBEZIA,,,CHEIAS,,0/1/2015
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,111348,,,,1,0.0,0.0,b5be8ef7-3884-488f-9641-510b63bb1e19,,,,,,18/1/2000
0,0,0,1188,0,0,8569,0,0,0.0,0,0,0,0.0,0,0,111316,11,1004,100403,1,0.0,0.0,c01ccda7-226d-4243-b883-6ae3919de372,MAPUTO,MANHIÇA,ILHA JOSINA MACHEL,CHEIAS,,0/3/2000
1,0,0,0,0,0,3,0,0,0.0,0,0,0,0.0,0,0,4-256,11,1008,100802,1,0.0,0.0,7a42f052-39ab-4c15-b9f1-b34577c8dd5b,MAPUTO,NAMAACHA,CHANGALANE,EPIDEMIA,,26/6/2003
0,0,0,0,0,0,47000,0,0,0.0,0,0,0,0.0,0,0,100283,9,,,1,0.0,0.0,6f362fce-c2ad-4cf8-a64f-a53f1a0f5e23,GAZA,,,CHEIAS,,0/1/1996
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,17330,1,103,10302,1,0.0,0.0,ef88ab1e-87c5-40ff-90d5-3f06516d312e,NIASSA,LAGO,COBUE,CHUVAS ,,0/0/2005
1,0,0,132,0,0,660,0,0,0.0,0,0,0,0.0,0,0,36422,3,306,,0,0.0,0.0,5c3caaa3-4edb-4cdb-9f37-b82ab2fb77e2,NAMPULA,MALEMA,,CHEIAS,,0/0/2007
0,0,0,0,0,0,579,0,0,0.0,0,0,0,0.0,0,0,75149,7,703,70302,1,0.0,0.0,349a9385-eb93-46d7-a079-20c1e8d335d0,SOFALA,CAIA,MURRAÇA,CHEIAS,Mfumo Mulanaleza,0/0/2007
1,0,0,0,526,0,5759,0,0,0.0,0,0,0,0.0,0,0,74460,7,702,,1,0.0,0.0,fdcfa8ed-7939-4289-bd04-fa6d764cd090,SOFALA,BUZI,,CHEIAS,,0/0/2000
