deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2011-00002,6,605,,3,12.09,86.16,DB3BC1E6-9727-4E5F-979D-12566EFA7B0F,Managua,Managua,,Otro,,16/1/2011
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1995-00015,7,702,,0,11.58,86.05,BCA41349-43E6-4E58-B0CA-058449D7C918,Masaya,Masaya,,Tormenta eléctrica,Las Flores.,11/7/1995
0,0,0,0,0,0,0,0,500,0.0,0.0,0,0,0.0,0,0.0,1999-00013,4,408,,0,0.0,0.0,A9103204-FF74-4D9A-8CD9-B5B0FCD29F83,Chinandega,Villanueva,,Inundación,Comunidad Las Cepas,8/9/1999
0,0,0,2,3,10,15,0,0,20000.0,378260.0,0,0,0.0,0,0.0,2008-00003,14,1406,,0,12.55,85.55,81EB25F8-BF3E-48F5-9DB2-9947755BCF96,Matagalpa,Matagalpa,,Vendaval,Matagalpa.,3/1/2008
0,0,0,0,25,0,0,125,0,0.0,0.0,0,0,0.0,0,0.0,1995-00026,6,602,,0,12.11,86.05,DAC4244A-8F86-44EB-967A-82B66E43C362,Managua,Tipitapa,,Inundación,Barrio: Ana Virgen Robles.,17/9/1995
0,0,0,1,0,5,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2009-00011,6,605,,0,12.09,86.16,7A69B162-04C1-4CF7-9246-A8DFE54C7960,Managua,Managua,,Incendio,"Barrio, Los Martínez.",12/3/2009
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2013-00025,4,409,,0,12.37,87.07,1f3caaf2-15fc-45a6-a121-ccaa6c969f45,Chinandega,Chinandega,,Otro,Volcán San Cristóbal,15/2/2013
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2011-00026,15,1506,,0,13.44,84.46,34B60A9A-B423-4731-8FC1-19D6D481FCBA,RAAN,Siuna,,Inundación,Ciudad de Siuna,8/7/2011
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2011-00003,6,605,,0,12.09,86.16,A7DB2158-0D94-4D47-A602-3E826280A9D6,Managua,Managua,,Sequía,"Barrios Camilo Ortega, Solidaridad, Jorge Dimitrov, Óscar Pe",17/1/2011
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2009-00001,12,1202,,3,0.0,0.0,5E956591-05FE-4253-9027-7940401C0B3F,Chontales,Juigalpa,,Contaminación,,0/0/2009
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2011-00001,10,1001,,0,11.26,85.56,806B5667-4386-4E7D-8C21-FFF2A4AAD63B,Rivas,Tola,,Sismo,"El Astillero, afectaciones en toda Nicaragua",21/1/2011
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-00001,6,606,,0,12.01,86.12,A0A07FA2-2F5D-4461-BE77-B118B1E20E7F,Managua,Ticuantepe,,Otro,Ticuantepe,28/1/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-00002,15,1506,,0,13.44,84.46,EDBBBE89-207C-430F-9BB1-B31357718171,RAAN,Siuna,,Vendaval,Siuna,3/1/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-00004,3,304,,0,13.1,86.36,F387FCFA-F858-4036-8196-15B5610A44FC,Estelí,San Juan de Limay,,Vendaval,San Juan de Limay,3/1/2008
0,0,0,0,0,0,3700,0,0,0.0,0.0,0,0,0.0,0,0.0,2011-00004,11,1102,,0,12.28,85.39,6DE441E4-479B-445B-A2DA-DD6EA1B5B7A0,Boaco,Boaco,,Sequía,"Sector de Tierra Blanca,  Buenos Aires, Jorge Martínez y La ",26/1/2011
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-00005,9,902,,0,11.51,86.12,BA4F91AC-369D-46B7-BC44-B8376BE0F515,Carazo,Jinotepe,,Vendaval,Jinotepe,3/1/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-00006,9,904,,3,11.51,86.14,8EC1CE94-46AC-45A8-B811-20F7C5ACC159,Carazo,Diriamba,,Incendio forestal,,3/1/2008
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2011-00005,16,1604,,0,12.09,84.13,297F6486-D706-4726-A9C6-D330CAA2FC8F,RAAS,El Rama,,Vendaval,"El Rama, comunidades de la Gateada y la Esperanza",4/1/2011
0,0,0,1,20,5,100,0,0,0.0,0.0,0,0,0.0,0,0.0,2008-00007,14,1406,,0,12.55,85.55,DBBD64C0-3310-4988-A514-6C697FFB4280,Matagalpa,Matagalpa,,Vendaval,Matagalpa,4/1/2008
