deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
13,0,0,0,0,0,20000,0,0,0,0,0,0,0.0,0,0,877,8,801,,0,0.0,0.0,36286472397999419302453665,Sindh,Badin,,FLOOD,,19/8/2011
15,381,0,0,0,0,21324,0,0,0,0,0,0,0.0,0,0,878,8,801,,0,0.0,0.0,36294494969999419302453665,Sindh,Badin,,FLOOD,,13/8/2004
53,0,0,0,0,0,366000,0,0,0,0,0,0,0.0,0,0,879,8,801,,0,0.0,0.0,36305453497999419302453665,Sindh,Badin,,FLOOD,,6/8/2003
57,35,0,0,0,0,224314,0,0,0,0,0,0,0.0,0,0,880,8,801,,0,0.0,0.0,36314374178999419302453665,Sindh,Badin,,FLOOD,,8/8/2007
3,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0,0,979,8,822,,0,0.0,0.0,37309373158999419302453665,Sindh,Thatta,,RAINS,,12/9/2005
4,0,0,8,0,0,943,0,0,0,0,0,0,0.0,0,0,980,8,822,,0,0.0,0.0,37319355918999419302453665,Sindh,Thatta,,RAINS,,10/9/2009
21,49,0,8,0,0,943,0,0,0,0,0,0,0.0,0,0,423,8,822,,0,0.0,0.0,41004005790999419302453665,Sindh,Thatta,,RAINS,,6/9/2003
14,48,0,303,53,0,15,0,0,0,0,1,2,12138.4,6,0,910,7,705,70501,0,0.0,0.0,31993065365999419302453664,Balochistan,Harnai,Harnai,FLOOD,Gandawa,9/8/2001
42,59,0,4218,0,0,54564,0,0,0,0,2,23,0.0,66,0,1106,7,,,0,0.0,0.0,38575469274999419302453665,Balochistan,,,FLOOD,,3/9/2010
8,0,0,0,0,0,67,0,0,0,0,0,0,0.0,0,0,2914,3,307,30701,0,0.0,0.0,3e172dc4-79d4-4a33-b8d5-647032d54c11,Azad Kashmir,Muzaffarabad,Muzaffarabad,EPIDEMIC,"Village Glarhi, Gojara",24/3/2007
2,32,0,14,25,0,57,0,0,0,0,0,0,0.0,0,0,1748,3,305,,0,0.0,0.0,07c29da7-8f4a-42fc-a9ef-8d4b62980e24,Azad Kashmir,Kotli,,FLOOD,Tehsil Charhoi  ,8/9/1980
4,63,0,54,0,0,89,0,0,0,0,0,0,0.0,0,0,1931,3,305,,0,0.0,0.0,71f822c4-c896-465a-aa97-6c6f3ec2e90e,Azad Kashmir,Kotli,,FLOOD,Tehsil Khoi Ratta  ,23/6/1990
17,257,0,54,99,0,543,0,0,0,0,0,0,0.0,0,0,4177,3,306,30602,0,0.0,0.0,c3f32a89-60eb-4d41-9236-d35a2698d5e2,Azad Kashmir,Mirpur,Mirpur,EARTHQUAKE,"Village Chak Gayban, Dhaliala",30/10/2004
13,5,0,0,4,0,215,0,0,0,0,1,0,0.0,0,0,9,1,104,10402,0,0.0,0.0,22709037899941930245366179,Gilgit Baltistan,Ghanche,Mashabrum,LANDSLIDE,Ghanche,6/9/2003
