deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,125,1251250,0,0,0,61e61f02-67d8-4287-8091-804b81bf3f05,West Bank,Salfit,Deir Istiya,حريق,,19/8/1997
0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,2,1,125,1251415,0,0,0,23e362bd-d4f0-41cc-9603-c227cf782931,West Bank,Salfit,Farkha,تلوث,خربة قيس,10/4/2006
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,125,1251250,0,0,0,fb606e66-982d-4336-938d-5333eff115df,West Bank,Salfit,Deir Istiya,حريق,,9/8/2009
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,125,1251250,0,0,0,b84de830-a210-4ba4-8453-1fd4a438b63c,West Bank,Salfit,Deir Istiya,حريق,,17/5/2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,125,,0,0,0,ee457fc1-43ef-4e12-9f89-483bc487daca,West Bank,Salfit,,عاصفة,,12/1/2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,105,,0,0,0,26dff35b-8193-4495-a4d4-ea4ea9d3a003,West Bank,Tubas,,حريق,,5/6/1992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,105,1050450,0,0,0,706dff0a-9c60-479b-8e15-149a56111e9b,West Bank,Tubas,'Ein el Beida,صقيع,البيضاء وبردلة,20/1/1993
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,105,,0,0,0,1a7cd56e-fcf9-4c35-8e89-49106cfa5e33,West Bank,Tubas,,حريق,,2/6/1998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,105,,0,0,0,9ca8d6d7-32f7-42b4-9c40-6fb43076a110,West Bank,Tubas,,فيضان,شارع طوباس العقبة,22/1/2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,105,,0,0,0,cdc5f7f4-7aca-49e0-9d17-cdf33b7fb478,West Bank,Tubas,,جفاف,طوباس والأغور,9/4/2001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,105,,0,0,0,b054545e-1262-4fbb-a8f5-d6c0283d562f,West Bank,Tubas,,عاصفة,طوباس والأغوار,24/1/2004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,105,1050450,0,0,0,3ec57f1f-9bb1-480c-9eb7-aed3f958222c,West Bank,Tubas,'Ein el Beida,عاصفة,,17/2/2004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,105,,0,0,0,d364cff6-4e30-4e94-bccd-c206a39cb303,West Bank,Tubas,,صقيع,طوراس والأغوار,19/12/2004
