deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,15,75,0,0,0,0.0,0.0,0,0,0.0,0,0,940851,22,2201,220105,0,0.0,0.0,8980b93a-e26f-4641-acd7-e976d83a207a,SAN MARTIN,MOYOBAMBA,SORITOR,Inundación,,18/10/1994
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,50,990118,8,804,80404,0,0.0,0.0,15e333b1-3656-4118-925c-a0fb6ef842e4,CUSCO,CALCA,LARES,Deslizamiento,Manzo,0/2/1999
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,990086,15,1505,,0,0.0,0.0,ff5f12cd-fe37-435b-adb1-d5d2ff70faa9,LIMA,CAÑETE,,Aluvión (Huayco),,20/2/1999
0,0,0,0,1,6,0,0,0,0.0,0.0,0,0,0.0,0,0,11191,20,2006,200601,0,0.0,0.0,33537fe0-ecba-42ca-a862-47d4d8cdc935,PIURA,SULLANA,SULLANA,Incendio,,15/11/2001
0,0,0,0,0,0,6,0,0,0.0,0.0,0,0,0.0,0,0,950051,1,101,10101,0,0.0,0.0,3fb6a85b-ded9-4b6d-bccc-c61013c946b2,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Escape,,3/1/1995
0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,21008,15,1501,150128,0,0.0,0.0,3b4575de-678b-4501-8b64-12efe810823b,LIMA,LIMA,RIMAC,Incendio,Casona,16/10/2002
0,0,0,0,0,1300,0,0,0,0.0,0.0,0,0,0.0,0,0,21101,12,1206,120602,0,0.0,0.0,6b90c241-bcd1-4ac3-9411-b663118da2b7,JUNIN,SATIPO,COVIRIALI,Alud,,11/11/2002
0,0,0,17,33,122,0,0,0,0.0,0.0,0,0,0.0,0,0,21213,10,1006,100601,0,0.0,0.0,07fc06e6-696f-4cf2-959d-c2f4701d2029,HUANUCO,LEONCIO PRADO,RUPA-RUPA,Deslizamiento,,19/12/2002
0,0,0,0,40,200,0,0,0,0.0,0.0,0,0,20.0,0,0,950308,2,201,20105,0,0.0,0.0,fcd8faef-3108-4c10-b213-9e6f725870f9,ANCASH,HUARAZ,INDEPENDENCIA,Deslizamiento,,10/3/1995
0,0,0,0,2,10,0,0,0,0.0,0.0,0,0,0.0,0,0,950361,15,1502,150203,0,0.0,0.0,fd4880e0-42c5-455a-961a-b64f98204d2e,LIMA,BARRANCA,PATIVILCA,Inundación,,15/3/1995
