deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,KNA,KNA01,KNA0107,0,0.0,0.0,4ce383d0-7412-48cd-bb21-1476258a6c3c,Saint Kitts and Nevis,SAINT KITTS,Saint Peter Basseterre,CONTAMINATION,Village of Conaree,6/5/1991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,KNA,KNA01,KNA0103,0,0.0,0.0,83863e02-b87e-4463-9b55-104c77e99408,Saint Kitts and Nevis,SAINT KITTS,Saint George Basseterre,CONTAMINATION,Turtle Beach,6/5/1991
0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,KNA,KNA01,KNA0103,0,0.0,0.0,5fecb1b3-31bf-4c61-ba7c-26461c0ed469,Saint Kitts and Nevis,SAINT KITTS,Saint George Basseterre,EPIDEMIC,Country wide total,1/1/2001
11,0,0,0,0,0,0,0,3000,61000000,0,13,1,0,0,0,8,KNA,KNA01,,0,0.0,0.0,8ff22af2-2796-40f3-b146-cc4b8036f96d,Saint Kitts and Nevis,SAINT KITTS,,HURRICANE,,17/9/1989
1,0,0,0,300,2000,0,0,0,7248210,19207757,0,0,0,0,0,9,KNA,KNA01,,0,0.0,0.0,48fc4814-e1b8-4c96-8391-f1107e582d38,Saint Kitts and Nevis,SAINT KITTS,,HURRICANE,Island wide total,20/10/1999
236,0,0,0,0,326,326,0,91,0,0,0,0,0,0,0,46,KNA,KNA01,KNA0103,0,0.0,0.0,de8499ad-72a7-49da-934e-a0e8a3b23410,Saint Kitts and Nevis,SAINT KITTS,Saint George Basseterre,ACCIDENT,Half a mile off coast of Nags Head,1/8/1970
0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,49,KNA,KNA02,KNA0202,0,0.0,0.0,859d4be4-1729-42ff-b57f-5c1505bd0e2b,Saint Kitts and Nevis,NEVIS,Saint James Windward,ACCIDENT,Newcastle,13/7/2004
2,1,0,1,0,19,19,0,0,0,0,0,0,0,0,0,50,KNA,KNA01,KNA0102,0,0.0,0.0,690ebc80-bd59-4faf-b649-4a3ec07e9cdc,Saint Kitts and Nevis,SAINT KITTS,Saint Anne Sandy Point,FIRE,Sandy Point,18/2/2010
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,KNA,KNA01,KNA0103,0,0.0,0.0,771e5c55-3e87-4520-bdf1-f88ad8f04abd,Saint Kitts and Nevis,SAINT KITTS,Saint George Basseterre,ACCIDENT,Cruise port,13/4/2014
0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,52,KNA,KNA01,,0,0.0,0.0,2e2a1224-36ae-4fb2-909f-5097b1e2eee9,Saint Kitts and Nevis,SAINT KITTS,,HURRICANE,Island wide,7/8/1899
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,KNA,KNA02,,0,0.0,0.0,d24d587d-c0a3-4d4f-ae76-84fc3e74119b,Saint Kitts and Nevis,NEVIS,,HURRICANE,,12/9/1928
2000,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,54,KNA,,,0,0.0,0.0,f73ef39f-b705-4197-b044-db992d48dad8,Saint Kitts and Nevis,,,CONFLICT,Bloody Point / Bloody River,1/1/1626
3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,KNA,KNA01,,0,0.0,0.0,3c79b7a6-2439-414a-8852-16c4200b3426,Saint Kitts and Nevis,SAINT KITTS,,EPIDEMIC,Island wide,1/1/1854
5,0,0,216,0,3000,0,0,0,458000000,0,12,1,0,0,0,10,KNA,KNA01,,0,0.0,0.0,5b9ba249-a590-4023-9878-3619567ec1e9,Saint Kitts and Nevis,SAINT KITTS,,HURRICANE,Island wide totals,20/9/1998
0,0,0,0,40,0,0,0,0,39000000,0,1,0,0,0,0,11,KNA,KNA02,,0,0.0,0.0,e5922ae3-592c-4538-8c73-8a792a30fa9e,Saint Kitts and Nevis,NEVIS,,HURRICANE,Island wide totals,20/9/1998
0,0,0,10,419,0,0,0,0,197000000,0,21,6,0,104,0,14,KNA,KNA01,,0,0.0,0.0,73dae1f4-bbbf-46a6-906d-b345633e8b94,Saint Kitts and Nevis,SAINT KITTS,,HURRICANE,Country wide total,4/9/1995
0,0,0,0,0,0,1664,0,0,0,0,0,0,0,0,0,16,KNA,KNA01,KNA0101,0,0.0,0.0,62242ebe-8746-420e-84a8-f590d00c584c,Saint Kitts and Nevis,SAINT KITTS,Christ Church Nichola Town,HURRICANE,,7/7/1996
0,0,0,0,0,0,1664,0,0,0,0,2,1,0,0,0,17,KNA,KNA01,KNA0101,0,0.0,0.0,a412de44-a3eb-4100-a07d-13f326d08533,Saint Kitts and Nevis,SAINT KITTS,Christ Church Nichola Town,HURRICANE,,20/9/1998
0,0,0,0,0,0,3167,0,0,0,0,1,1,0,0,0,18,KNA,KNA01,KNA0102,0,0.0,0.0,c1bf7b3b-dcb6-4b91-aa28-3115ac726730,Saint Kitts and Nevis,SAINT KITTS,Saint Anne Sandy Point,HURRICANE,,20/9/1998
0,0,0,0,0,0,3248,0,0,0,0,3,0,0,0,0,19,KNA,KNA01,KNA0104,0,0.0,0.0,a9124e01-424b-4383-9f19-a6ea9e98ea60,Saint Kitts and Nevis,SAINT KITTS,Saint John Capisterre,HURRICANE,,20/9/1998
0,0,0,0,0,0,3541,0,0,0,0,0,0,0,0,0,403,KNA,KNA01,KNA0107,0,0.0,0.0,b57db5a6-1a92-4c21-947e-563198c9883f,Saint Kitts and Nevis,SAINT KITTS,Saint Peter Basseterre,WINDSTORM,,2/8/2011
0,0,0,0,0,0,3249,0,0,0,0,2,0,0,0,0,20,KNA,KNA01,KNA0105,0,0.0,0.0,a7125451-5df3-4028-a1c4-47dfd3d091cd,Saint Kitts and Nevis,SAINT KITTS,Saint Mary Cayon,HURRICANE,,20/9/1998
0,0,0,0,0,0,2130,0,0,0,0,2,0,0,0,0,21,KNA,KNA01,KNA0106,0,0.0,0.0,d1c10f7f-674b-49af-90ce-4307e4a767b0,Saint Kitts and Nevis,SAINT KITTS,Saint Paul Capisterre,HURRICANE,,20/9/1998
0,0,0,0,0,0,2656,0,0,0,0,1,0,0,0,0,22,KNA,KNA01,KNA0107,0,0.0,0.0,10034db4-89b6-46cc-8d31-4251860f89d8,Saint Kitts and Nevis,SAINT KITTS,Saint Peter Basseterre,HURRICANE,,20/9/1998
0,0,0,0,0,0,2257,0,0,0,0,1,0,0,0,0,23,KNA,KNA01,KNA0108,0,0.0,0.0,569df931-5bd8-4bf9-8db6-63cb45beaba1,Saint Kitts and Nevis,SAINT KITTS,Saint Thomas Middle Island,HURRICANE,,20/9/1998
0,0,0,0,0,0,1250,0,0,0,0,1,0,0,0,0,24,KNA,KNA01,KNA0109,0,0.0,0.0,ec2b714d-fe55-4c42-8929-bccce4ed3c33,Saint Kitts and Nevis,SAINT KITTS,Trinity Palmetto Point,HURRICANE,,20/9/1998
0,0,0,0,0,0,2086,0,0,51000000,0,2,0,0,0,0,25,KNA,KNA02,KNA0201,0,0.0,0.0,f875a84c-5b30-4cc7-b068-5dafc714b7a4,Saint Kitts and Nevis,NEVIS,Saint George Gingerland,HURRICANE,,17/9/1989
0,0,0,0,0,0,2497,0,0,0,0,1,0,0,0,0,26,KNA,KNA01,KNA0107,0,17.31587315,-62.70163051,73a21eb5-f6c9-4e2a-9e9c-a93019a6be1b,Saint Kitts and Nevis,SAINT KITTS,Saint Peter Basseterre,HURRICANE,Village of Conaree,17/9/1989
0,0,0,0,0,0,3145,0,0,0,0,1,1,0,0,0,27,KNA,KNA01,KNA0102,0,17.35700278,-62.84737102,90d1f0f7-6c0a-4b1c-9423-6744b5076dae,Saint Kitts and Nevis,SAINT KITTS,Saint Anne Sandy Point,HURRICANE,Village of Sandy Point,17/9/1989
0,0,0,0,0,0,2255,0,0,0,0,1,0,0,0,0,28,KNA,KNA01,KNA0108,0,17.32226442,-62.79295436,7b9c5e32-bf6c-4c62-9889-63f2c2684045,Saint Kitts and Nevis,SAINT KITTS,Saint Thomas Middle Island,HURRICANE,Village of Stone Fort,17/9/1989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,KNA,KNA01,KNA0103,0,0.0,0.0,416d1901-a1cf-46f8-b443-08f9c0b46275,Saint Kitts and Nevis,SAINT KITTS,Saint George Basseterre,OTHER,Upper College Ghaut,31/7/2012
