deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,154,LCA,LCA03,LCA03082,0,0.0,0.0,b3dee8c8-baf6-4f78-a5a2-2cdfcf96062d,Saint Lucia,VIEUX-FORT,TOWN,FLOOD,"Grace, Lawetvette bridge",28/4/2011
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,85,LCA,LCA05,LCA05054,4,14.02068809,-60.99060059,098fc206-abdd-46bb-bbd7-806002a68611,Saint Lucia,CASTRIES,CITY,OTHER,,14/10/1844
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,125,LCA,LCA01,,4,14.04566882,-60.96656799,0755879b-4b7a-45df-9f69-ca05b2ba05a9,Saint Lucia,GROS-ISLET,,LEAK,Corinth River oil spill,0/10/2009
16,50,0,0,0,6000,80000,0,9600,94000000.0,235000000,48,0,0,0,0,13,LCA,,,0,0.0,0.0,b7d0bdcb-f4df-4f0c-8d6e-6bd483c5e055,Saint Lucia,,,Hurricane,National - H. Allen,3/8/1980
0,0,0,0,0,0,0,0,0,87990000.0,0,0,0,0,0,0,14,LCA,,,0,0.0,0.0,60eaab1d-4412-4b00-99c8-62d8c9ebde26,Saint Lucia,,,Hurricane, National - H. Allen,3/8/1980
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,LCA,LCA05,,0,14.2821284,-60.5163572,b7779d65-51fc-4fbe-ab97-e124c90e7385,Saint Lucia,CASTRIES,,EARTHQUAKE,50 km north-east of Saint Lucia,19/3/1953
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18,LCA,,,0,14.51446226,-61.42456055,7304c49c-3821-4db6-924c-002e50a68a43,Saint Lucia,,,EARTHQUAKE,NW of Saint Lucia,16/2/1906
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19,LCA,,,0,0.0,0.0,7cb300c8-302f-4375-a857-c9080284f61f,Saint Lucia,,,STORM,National - TS. Emily,21/9/1987
0,0,0,150,0,385,750,0,0,0.0,2091000,1,0,0,0,0,21,LCA,LCA10,,0,13.94406356,-61.03866577,36bd91db-475d-44e3-9fdc-d1c5849fbfb3,Saint Lucia,ANSE-LA-RAYE,,STORM,"ALR Village, Vanard, Barre Deins, Caico Bridge, Roseau Dam",9/9/1994
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,31,LCA,LCA05,,0,13.85808056,-60.43029785,a1665919-e76b-4da3-a886-860b9a02e111,Saint Lucia,CASTRIES,,EARTHQUAKE,East of SLU,7/8/2011
