deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,139,VCT,VCT01,VCT0113,0,13.38427568,-61.16363525,a01f68b5-3e49-4926-a210-db0ddb1e94a4,Saint Vincent & the Grenadines,St. Vincent,North Windward,LANDSLIDE,Fancy,1/8/2011
0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,404,VCT,VCT24,,0,13.00188159,-61.24328613,28877d0d-e594-4b73-9008-a7af1c1557b1,Saint Vincent & the Grenadines,Bequia,,LANDSLIDE,Near airport & Port Elizabeth,5/12/2005
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,376,VCT,,,0,0.0,0.0,2703e8e0-468e-4b65-afff-b7b14a297cba,Saint Vincent & the Grenadines,,,HURRICANE,National - Hurricane,0/0/1780
0,37,3,61,601,16885,54000,0,2325,122759000,300000000,5,1,69.0,434,31000,1,VCT,VCT01,,0,0.0,0.0,8eabd990-afea-48fa-afa0-a3d939bca241,Saint Vincent & the Grenadines,St. Vincent,,FLASH FLOOD,National - Christmas Trough,24/12/2013
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,VCT,VCT01,VCT0108,0,0.0,0.0,24add50b-4f46-483c-8526-930698c092c9,Saint Vincent & the Grenadines,St. Vincent,South Leeward,FLASH FLOOD,"Vermont, Clare Valley,Francois, Retreat, Hog Hole, Cane Grov",24/12/2013
5,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,3,VCT,VCT01,VCT0112,0,0.0,0.0,18fd911d-6d9e-45c1-8acd-be20360eb5dc,Saint Vincent & the Grenadines,St. Vincent,North Leeward,FLASH FLOOD,"Troumaca, Spring Village, Rose Bank, Dark View, Chateaubelai",24/12/2013
1,0,0,0,0,0,2614,0,0,0,0,0,0,0.0,0,0,4,VCT,VCT01,VCT0109,0,13.25242187,-61.12472535,8185600d-8072-4b54-9e68-5a6f7c6aae52,Saint Vincent & the Grenadines,St. Vincent,South Central Windward,FLASH FLOOD,"Charlotte, South Rivers, Byera",24/12/2013
0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,5,VCT,VCT01,VCT0105,0,13.13832845,-61.19110107,4e46d9d8-7952-4b40-b34a-123a6a92a028,Saint Vincent & the Grenadines,St. Vincent,West St. George,FLASH FLOOD,ETJ Airport,24/12/2013
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6,VCT,VCT01,VCT0110,0,13.23482109,-61.26502992,c2656129-e189-47d2-8405-99702301f9a7,Saint Vincent & the Grenadines,St. Vincent,Central Leeward,FLASH FLOOD,"Barrouallie, Delway, Buccament, Layou, Hermitage",24/12/2013
0,2,0,0,0,125,0,0,0,0,0,0,0,0.0,0,0,70,VCT,VCT01,,0,0.0,0.0,3bdd0bd9-1894-4a16-89eb-9981bf605082,Saint Vincent & the Grenadines,St. Vincent,,BIOLOGICAL,National - Dengue >100 cases,0/0/2002
