deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,2,0,0,0,0,97500,0,400,0.0,0,1,0,0.0,0,0,3887,NCL,,,0,0.0,0.0,4492dbdf-f4df-4d04-bd1a-8dda1bbd67d8,New Caledonia,,,TC - Tropical Cyclone,Grande Terre and Loyalty Islands,5/3/2021
2,0,0,0,55,0,500,0,0,0.0,0,0,0,0.0,0,0,3889,PNG,,,0,0.0,0.0,2697fed6-ea0a-43c1-ae23-8771f37eaa57,Papua New Guinea,,,TC - Tropical Cyclone,National Capital District,2/2/2021
0,0,0,0,0,0,10000,0,0,0.0,0,0,0,0.0,0,0,3888,NCL,,,0,0.0,0.0,e234a0b2-d4bf-4ecc-baf7-1572b8e88f1d,New Caledonia,,,TC - Tropical Cyclone,"Loyalty Islands, Grande Terre, Mont Dore (South Province)",2/2/2021
4,0,0,2141,6148,0,0,0,16113,0.0,500000000,126,25,0.0,0,0,3891,FJI,,,0,0.0,0.0,ff75725b-c369-4f9f-bd4c-13d298dce4ed,Fiji,,,TC - Tropical Cyclone,Vanua Levu,17/12/2020
2,0,3,31,0,0,0,0,14322,0.0,0,0,0,0.0,0,0,3890,FJI,,,0,0.0,0.0,2e4a6be9-ab3c-49be-856a-9ee765ff5280,Fiji,,,TC - Tropical Cyclone,"Northern Division, Viti Levu and Kadavu ",30/1/2021
4,0,0,0,17000,0,0,0,0,0.0,0,0,0,0.0,0,0,3895,VUT,,,0,0.0,0.0,5b51153e-c169-4b36-88a3-183da21a1c10,Vanuatu,,,TC - Tropical Cyclone,Northern Islands,5/4/2020
2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,3898,FJI,,,0,0.0,0.0,35694458-4754-42bf-937f-2f9879f19aac,Fiji,,,FL - Flood,Western and Central Division,17/3/2020
27,0,0,57,20,0,0,0,0,0.0,0,0,0,0.0,0,0,3896,SLB,,,0,0.0,0.0,7fa87715-2b14-4c30-9c01-81357802fd9c,Solomon Islands,,,TC - Tropical Cyclone,"Honiara, Western Province, Guadalcanal, Makire, Rennell and ",2/4/2020
3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,3897,FJI,,,0,0.0,0.0,a0e5260e-8c33-4968-be76-12523b4ab63d,Fiji,,,LS - Landslide,"Navua, Namosi Quarry",20/3/2020
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,3899,NCL,,,0,0.0,0.0,050b561f-ca27-4c08-a795-816a87ed4062,New Caledonia,,,TC - Tropical Cyclone,Grande Terre,15/3/2020
0,28,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,3903,FJI,,,0,0.0,0.0,a484672b-7bcc-4229-a816-4d849b4de131,Fiji,,,EP - Epidemic,Central Division Serua / Namosi,7/11/2019
0,640,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,3906,TON,,,0,0.0,0.0,d3be85c3-3064-475f-b6de-f1512d998d29,Tonga,,,EP - Epidemic,"Tongatapu and Vava’u, Eua ",22/10/2019
