deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11180,71226,,,0,0.0,0.0,5b1f6f0a-4100-42bc-b702-879055cefbc5,CRNA TRAVA,,,Град,"Crna Trava, Darkovce",24/6/2019
0,0,0,0,0,0,0,0,0,0,5450000.0,0,0,0,0,0,11217,80209,,,0,0.0,0.0,5e00b7c7-787c-4f2d-ae02-2e715671f9cc,KIKINDA,,,Град,Мz Banatska topola,19/5/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,100,4697,70050,,,0,0.0,0.0,ce654f06-acfe-4c47-82c7-ab7c5d1d4e32,BABUŠNICA,,,Клизиште,Radinjinci,7/2/2017
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11112,70971,,,1,43.5995774,19.36007799999993,115c6d3e-b8a4-4868-9120-8a8230e5c5c2,PRIBOJ,,,КИША,MZ Strmac i MZ Sjeverin,15/8/2018
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11235,70688,,,0,0.0,0.0,33a42f43-7a69-4827-b889-9b9b613cee5f,KURŠUMLIJA,,,Шумски пожар,Selo Babica,29/10/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11218,80012,,,0,0.0,0.0,4207cd29-fbfb-4c6e-8ead-c60281653226,ADA,,,Контаминација,Naselje Ada i Mol,3/6/2019
0,0,0,0,0,0,0,0,0,0,200000000.0,0,0,0,0,0,11227,70939,,,0,0.0,0.0,d1e7ba94-ebc5-4178-93d5-1d0d9fb35118,PIROT,,,Шумски пожар,Selo Gornji Strizevac,29/3/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11231,70688,,,0,0.0,0.0,92ddf39d-5eb3-4fbe-9293-5fbc5cf7c421,KURŠUMLIJA,,,Шумски пожар,Selo Točane,2/4/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11228,80225,,,0,0.0,0.0,20eab360-6eef-4aa4-a793-0c02188b9f17,KOVIN,,,Поплава,Mramorak,23/6/2019
0,0,0,0,0,75,0,0,0,0,468000.0,0,0,0,0,0,11100,71226,,,0,0.0,0.0,b09bbaaa-801b-4bd3-a2ce-6447b6ede6bc,CRNA TRAVA,,,КИША,"MZ Jabukovik, Gornje Gare i Dobro Polje",6/7/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11232,70688,,,0,0.0,0.0,eaca1b09-461f-49a9-aa7a-923bc0ea1ffe,KURŠUMLIJA,,,Шумски пожар,Selo Ivan Kula,29/3/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11230,70688,,,0,0.0,0.0,d4d7c91e-ed4b-48df-ba6e-2ba76b6a93c0,KURŠUMLIJA,,,Бујични токови,"MZ Zuc, MZ Lukovo, MZ Rudare",6/6/2019
0,0,0,0,0,0,0,0,0,0,559000.0,0,0,0,0,0,4640,71242,,,0,0.0,0.0,eb257e0c-56e2-45f1-9ff9-1449c12ea8bd,ÈAÈAK-GRAD,,,Мраз,Čačak,1/12/2015
0,0,0,0,0,0,0,0,0,0,854141000.0,0,0,3090,0,0,11229,70262,,,0,0.0,0.0,af5e14b5-a946-4973-9de6-41665db439e6,BLACE,,,BURA,Opstina Blace,2/8/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11233,70548,,,0,0.0,0.0,e8aa404b-d4b6-40d5-ab64-5d032656145a,ŽITORAÐA,,,Шумски пожар,Selo Staro Momcilovo,31/8/2019
0,0,0,0,0,0,0,0,0,0,558600.0,0,0,0,0,0,11221,71226,,,0,0.0,0.0,8ca43d65-1343-4310-a356-9ec3aeb8c8c4,CRNA TRAVA,,,Снежне падавине,Cela teritorija opšine Crna Trava,6/2/2020
0,0,0,0,132,0,0,0,0,0,0.0,0,0,0,0,0,6628,71072,,,0,43.2741145,20.00320540000007,e8b7f6d5-bb69-4e36-b244-7608646a20d6,SJENICA,,,КИША,Sjenica,25/7/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11220,70530,,,0,0.0,0.0,1c56416c-9609-4f23-8ec8-084607fc3c20,ŽAGUBICA,,,Шумски пожар,Beljanica,26/10/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,70,0,0,11569,70742,,,0,0.0,0.0,54805ae4-524a-421c-8803-4e58452f4389,LUÈANI,,,Град,Lučani,21/6/2022
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11234,70998,,,0,0.0,0.0,8cfa49d3-da32-4768-8e9f-aa9984309ee0,PROKUPLJE,,,Шумски пожар,Selo Vidovaca,27/10/2019
0,0,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,11240,70726,,,0,0.0,0.0,96341410-3459-483e-9f4e-0b724c89571d,LESKOVAC-GRAD,,,Поплава,"Bogoje, Jajna, Bunuš, Brza, Priboj, Žablj, Grdel, Palik",24/6/2020
0,0,0,0,3,0,0,0,0,0,2326224.0,0,0,0,0,0,4678,71137,,,0,0.0,0.0,4bf27643-4c73-4e8b-9ed3-e16c059b059b,SURDULICA,,,Град,Surdulica,24/8/2014
1,0,0,0,0,0,0,0,0,0,150639000.0,0,0,314,25,0,11243,70360,,,0,0.0,0.0,d58d8471-7a50-46ab-861b-e686d27c95ee,VALJEVO-GRAD,,,Поплава,valjevo,25/6/2020
0,0,0,0,0,0,0,0,0,0,1276196000.0,0,0,3530,0,0,11248,70017,,,0,0.0,0.0,6edf3bf2-2903-4f2c-97e7-6142d1f53d77,ALEKSANDROVAC,,,Град,aleksandrovac,19/5/2020
0,0,0,0,0,0,0,0,1,0,0.0,0,0,1000,0,0,11244,70700,,,0,0.0,0.0,2369cb10-b882-4f80-845f-591a69f3db2b,LAJKOVAC,,,Поплава,lajkovac,23/6/2020
0,0,0,0,0,0,0,0,0,0,307800000.0,0,0,0,0,0,11249,70670,,,0,0.0,0.0,557e5896-6ddd-4570-a44a-c1db30d0d846,KRUŠEVAC-GRAD,,,Поплава,krusevac,16/6/2020
0,0,0,0,0,0,0,0,0,0,159132726.0,0,0,348,0,0,11246,70769,,,0,0.0,0.0,e354d43b-6771-4060-9fb7-c0ff77248ebe,LJIG,,,Поплава,ljig,23/6/2020
0,0,0,0,0,0,0,0,0,0,224207000.0,0,0,0,0,0,11241,70491,,,0,0.0,0.0,5f2ee2c5-ffe8-420d-9b27-206bedf091fc,DESPOTOVAC,,,Поплава,"Strmosten, Stenjevac, Resavica, Popovnjak, Bukovac, Medveđa",24/6/2020
0,0,0,0,0,0,0,0,0,0,147587700.0,0,0,350,0,0,11252,70343,,,0,0.0,0.0,330a4944-922e-4382-a144-5d5d9cd9137c,BRUS,,,Поплава,brus,19/6/2020
0,0,0,0,82,735,0,0,0,0,200000000.0,0,0,1357,20,0,11245,70882,,,0,0.0,0.0,11380137-79e3-47db-bc42-9d489c2866b6,OSEÈINA,,,Поплава,"osecina, pluzac, dragijevica, komiric, pecka, gunjaci",22/6/2020
0,0,0,0,0,0,0,0,33,0,0.0,0,0,10,0,0,11250,70670,,,0,0.0,0.0,9f8906f7-b5dc-442c-8158-90eaf6054c01,KRUŠEVAC-GRAD,,,Поплава,krusevac,23/6/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,6632,70050,,,0,43.06383470000001,22.406164699999977,f7223d4c-6793-48a1-8948-e750751a06df,BABUŠNICA,,,Остало,babusnica,20/3/2018
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11247,70831,,,0,0.0,0.0,5ab244fe-ad19-413d-99f6-1681490b691f,MIONICA,,,Поплава,mionica,22/6/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11255,70041,,,0,0.0,0.0,a5a5bd42-280e-4d6e-8875-0df8b6cddc5f,ARILJE,,,Снежне падавине,arilje,6/2/2020
0,0,0,0,0,0,65,0,65,0,44521000.0,1,0,500,0,0,11254,70513,,,0,0.0,0.0,a6ef561c-114a-4bc8-9b6e-497afefc3722,DOLJEVAC,,,Поплава,"sarlinac, sainovac, orljane",24/6/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,11251,71170,,,0,0.0,0.0,b427a2df-c3ab-485b-a346-f626dfaa4612,TRSTENIK,,,Поплава,trstenik,23/6/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,11253,71196,,,0,0.0,0.0,cfab5d75-5e37-4fc1-af3e-bb48b164cd19,ÆIÆEVAC,,,Поплава,cicevac,24/6/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11256,70955,,,0,0.0,0.0,8c604206-cbc9-41de-a059-353ac014836c,POŽEGA,,,Снежне падавине,"pozega, 9 mesnih zajednica",6/2/2020
0,0,0,0,0,0,79,0,16,0,9470000.0,0,0,0,0,0,11257,70629,,,0,0.0,0.0,e595607b-73d1-4344-aa88-0da723fe6ce2,KOSJERIÆ,,,Поплава,kosjeric,23/6/2020
0,0,0,0,0,0,10,0,0,0,3500000.0,0,0,0,0,0,11242,80411,,,0,0.0,0.0,cc0cbcf6-a895-478b-bfe4-e4c192ecbae1,SREMSKI KARLOVCI,,,Поплава,Sremski Karlovci,26/6/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11572,70912,,,0,0.0,0.0,d777a215-f3e1-41df-b42c-1e2cf760d9bf,PETROVAC NA MLAVI,,,Епидемија ,"Ranovac, Melanica, Kladurovo i Manastirica",3/6/2022
0,0,0,0,0,0,0,0,0,0,0.0,0,0,90,0,0,11574,70645,,,0,0.0,0.0,1e80fabf-27da-4468-a1a6-7dd190a69d1f,KRAGUJEVAC-GRAD,,,Олуја,Kragujevac,27/5/2022
0,0,0,0,0,0,0,0,0,0,130950000.0,0,0,482,0,0,11575,71153,,,0,0.0,0.0,4f1c8686-ed08-4fa9-bb3c-8975726e8a81,TOPOLA,,,Олуја,"Sela Junkovac, Natalinci",21/6/2022
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11573,70912,,,0,0.0,0.0,cd54de6d-2944-4827-a84d-037baa2bf1cd,PETROVAC NA MLAVI,,,Пожар ,"Petrovac na Mlavi, Zabrdje, Lopusnik",30/6/2022
0,0,0,180,0,0,0,0,0,0,16200000.0,0,0,0,0,0,11258,70041,,,0,0.0,0.0,51928c00-0f47-4344-8378-34ee989c0367,ARILJE,,,Поплава,"arilje, 10 mesnih zajednica",23/6/2020
0,2,0,0,0,0,0,0,0,0,79336000.0,0,0,0,0,0,11576,71013,,,0,0.0,0.0,273348f5-300d-4328-b6c2-acbe3c385d03,RAÈA,,,Олуја,Raca,21/6/2022
0,20,0,1,200,0,280,20,5,0,34903085.0,5,0,200,120,4500,2,70980,,,0,43.3893574,19.646366599999965,1ab426f8-70b3-44c4-8693-eb6378322f71,Пријепоље,,,Поплава,,11/11/2010
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11259,70068,,,0,0.0,0.0,ebbbb043-6eea-43e8-9ee1-9c99c7fb2a31,BAJINA BAŠTA,,,Поплава,"bajina basta, 12 mesnih zajednica",23/6/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,35,0,0,11577,80381,,,0,0.0,0.0,96f5cf70-9ad3-459a-9d40-08ba2f94e527,SOMBOR-GRAD,,,Пожар ,Svetozar Miletic,19/6/2022
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11261,70866,,,0,0.0,0.0,3d411e2f-7277-4c16-bdb2-cdac2f2a4f27,NOVA VAROŠ,,,Шумски пожар,bukovik,13/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11274,70971,,,0,0.0,0.0,079a8559-4ac0-4829-aa9f-8fce86968f7a,PRIBOJ,,,Шумски пожар,panja glava,7/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11267,70980,,,0,0.0,0.0,6cf442ed-7818-49f6-824a-6968db273e94,PRIJEPOLJE,,,Шумски пожар,kosatica,25/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11104,70971,,,0,44.1581365,19.109438299999965,b40d9104-2560-4a1b-94b8-bfaed7f6838d,PRIBOJ,,,КИША,"MZ Krajcinovici,MZ Zabrnjica, MZ Bucje",7/7/2018
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11263,70980,,,0,0.0,0.0,eb36997a-024f-4f3b-a369-8a7b694a79a3,PRIJEPOLJE,,,Шумски пожар,bijegov grob - brodarevo,18/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11260,70866,,,0,0.0,0.0,5bbc381a-a266-44d6-9e75-65f2d29cfca3,NOVA VAROŠ,,,Шумски пожар,bistrica,20/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11269,70980,,,0,0.0,0.0,e55cf0db-2095-43ed-a5f0-2f50f4018317,PRIJEPOLJE,,,Шумски пожар,gornja kosatica,27/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11270,70980,,,0,0.0,0.0,b5c47e0b-ac6e-4e74-9b2a-9adfa83ebd5d,PRIJEPOLJE,,,Шумски пожар,djurasici,15/5/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11266,70980,,,0,0.0,0.0,e0949695-6d13-4190-8892-b19e4bf25134,PRIJEPOLJE,,,Шумски пожар ,gudici,6/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11273,70971,,,0,0.0,0.0,1f4d3b28-8df9-4bfb-ab7b-651e948a0aec,PRIBOJ,,,Шумски пожар,milijes,8/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11271,70971,,,0,0.0,0.0,5c061d13-0ec2-412c-86cc-baa99f77c00c,PRIBOJ,,,Шумски пожар,krajcinovici,7/4/2020
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11272,70971,,,0,0.0,0.0,bbf8c7da-703f-4a32-858d-931b5347d6df,PRIBOJ,,,Шумски пожар,mazici,11/4/2020
