deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,5,0,0,16,0,150,0,0,0,0,0,0,0,0,0,530,4,42,,0,0.0,0.0,6836af2c-d023-4efb-9c76-7657c4c6058a,Western,Freetown,,Fire,,22/2/2013
0,0,0,46,0,110,0,0,0,0,0,0,0,0,0,0,527,4,42,,0,0.0,0.0,95221290-8065-40be-8ae3-63d59568bf89,Western,Freetown,,Fire,,25/12/2013
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,1,13,,0,0.0,0.0,8389e49f-addf-4a1d-b290-87aafd147a84,Eastern,Kono,,Epidemic,,5/1/2015
0,2,0,10,0,96,200,0,0,0,0,0,0,0,0,0,199,2,25,2508,0,0.0,0.0,1c5eea71-fe68-4537-b382-823b6dad15e6,Northern,Tonkolili,Malal Mara,Fire,,3/3/2014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,31,3108,0,0.0,0.0,ca1f4c96-b09b-4d7f-af08-e3097da06650,Southern,Bo,Kakua,Accident,Bo-Taiama Highway,9/10/2011
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,3,31,3108,0,0.0,0.0,9bf41856-2fcb-4e15-9e37-7366789cf846,Southern,Bo,Kakua,Accident,Baoma ,11/11/2009
1,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,202,3,31,3108,0,0.0,0.0,00b6d495-97d2-4f95-8ac9-29c5d7c104d8,Southern,Bo,Kakua,Accident,,24/4/2014
0,8,0,0,1,267,900,0,0,0,0,0,0,0,0,0,203,3,31,3108,0,0.0,0.0,7a342522-4f82-4829-a038-ab0120f3a8c5,Southern,Bo,Kakua,Conflict,Toryama,3/11/2013
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,204,3,31,3108,0,0.0,0.0,da8706b8-b171-4b04-9cf1-b2c8976ffc04,Southern,Bo,Kakua,Fire,"Dambala Road fuel station, Bo",14/1/2011
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205,3,31,3108,0,0.0,0.0,0c3b47b0-499c-492b-aed5-1e3d2fb60957,Southern,Bo,Kakua,Fire,,8/11/2013
