deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
3,23,0,0,0,0,0,0,13,0.0,0.0,0,0,0.0,0,0.0,1981-01-00002,1,115,1324146,0,0.0,0.0,e33eeade-39e3-4201-977e-70e386d16d58,دمشق,الصالحية,المزرعة,FIRE,دمشق المزرعة,18/8/1981
0,6,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1982-01-00003,1,110,11007,0,0.0,0.0,65a0a01c-8144-444d-8896-c9b0f4884cda,دمشق,الشاغور,باب شرقي,FIRE,دمشق باب شرقي,21/9/1982
0,4,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2004-01-00008,1,103,10302,0,0.0,0.0,574428e5-a928-4508-babc-e367ae98cf07,دمشق,المزة,مزة 86,FIRE,دمشق مزة 86,30/4/2004
2,7,0,0,0,0,0,0,0,0.0,6000000.0,1,0,0.0,0,0.0,2004-01-00009,1,108,10808,0,0.0,0.0,943d1b7d-1e52-426f-886d-f9ba9bdfe6d4,دمشق,القنوات,البرامكة,FIRE,دمشق جامعة دمشق كلية الحقوق,15/9/2004
2,5,0,0,0,0,0,0,13,0.0,0.0,0,0,0.0,0,0.0,2004-01-00010,1,105,10502,0,0.0,0.0,aaebf9da-a0e3-4641-b7e3-f2b85fac38a2,دمشق,جوبر,جوبر الغربي,FIRE,دمشق جوبر,27/9/2004
0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-01-00011,1,107,10706,0,0.0,0.0,69906162-9e66-44f5-aa68-7aaf08a98f41,دمشق,دمشق_القديمة,باب توما,FIRE,دمشق باب توما,2/5/2005
0,3,0,0,0,0,0,0,8,0.0,0.0,0,0,0.0,0,0.0,2005-01-00012,1,107,1027167,0,0.0,0.0,c904fdc9-38fa-4de9-ab76-b6c968bdcbdd,دمشق,دمشق_القديمة,الحميدية,FIRE,دمشق شارع الثورة,12/5/2005
0,5,0,0,0,0,0,0,6,0.0,0.0,0,0,0.0,0,0.0,2005-01-00013,1,105,10502,0,0.0,0.0,6ddebf24-dfc8-48a2-b359-a19df10c1f72,دمشق,جوبر,جوبر الغربي,FIRE,دمشق جوبر,29/5/2005
0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2005-01-00014,1,107,1027167,0,0.0,0.0,1e283570-9160-4749-aaba-f3db684849e6,دمشق,دمشق_القديمة,الحميدية,FIRE,دمشق المؤسسة العسكرية,11/7/2005
0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2006-01-00017,1,107,10706,0,0.0,0.0,25b18f3d-4cd1-4db5-b5ad-f83d77f4e0c0,دمشق,دمشق_القديمة,باب توما,FIRE,دمشق باب توما,13/8/2006
