deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,0,0,0,0,0,0,0,0,0,0.0,0,0,800.0,0,0,470,3,3341,,0,0,0,c3c38c34-ab4b-451e-9383-1bfb81b1714c,Le Kef,Kalaat Senan,,GRELE,,7/4/2012
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2712,99,99301,,0,0,0,3c68fb3f-38ae-41bc-9f64-f7150232a408,Jendouba,Bou Salem,,INONDATION,,10/2/2005
0,0,0,0,0,0,0,0,0,0,302000.0,0,0,0.0,0,0,2875,7,7373,,0,0,0,ebbe4c7d-79f4-45af-9833-560311f34b09,Medenine,Medenine Sud,,SÉCHERESSE,,1/9/2000
0,0,0,0,0,0,0,0,0,0,482000.0,0,0,0.0,0,0,2876,7,7368,,0,0,0,2ad57fbe-7214-4f18-9a88-8ff463101a60,Medenine,Beni Khedeche,,SÉCHERESSE,,1/9/2008
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,123,94,94252,,0,0,0,5c915610-58b3-4c0d-b7ec-4ca27187b72d,Ben Arous,Ben Arous,,INONDATION,CITE ISKAN,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,126,93,93236,,0,0,0,92bc286b-42bb-4105-9616-b2e091fd6574,Ariana,Ariana Ville,,INONDATION,MENZAH 6,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,122,15,15490,,0,0,0,61cab4d0-0f17-4c6a-8b6a-db10d5136dc7,Tunis,Sijoumi,,INONDATION,CITE TAYARAN MELLASINE,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,127,15,15474,,0,0,0,f8c45065-9e75-4f0e-b7bb-413b407fb434,Tunis,El Harairria,,INONDATION,oued gueriana,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,128,15,15485,,0,0,0,72a6f32d-5df6-4bd1-9677-6dc035bc4745,Tunis,Medina,,INONDATION,CITE MEDINA,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,129,15,15476,,0,0,0,2ebc90f7-e622-4f38-a484-c0f12b604bea,Tunis,El Khadra,,INONDATION,Cite khadhra,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,125,94,94263,,0,0,0,2082c3f0-68b4-43d2-ab03-f3b6ce392c28,Ben Arous,Rades,,INONDATION,,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,124,94,94255,,0,0,0,a74b6a8a-27cb-40ed-b331-6cf8db9815ba,Ben Arous,Ezzahra,,INONDATION,,11/11/1982
0,0,0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,132,8,8395,,0,0,0,844e6be7-ca01-4016-8385-b1a62308306f,Nabeul,Grambalia,,INONDATION,,11/11/1982
6,0,0,0,0,0,0,10,0,0,0.0,0,0,0.0,0,0,131,8,8402,,0,0,0,d4573c37-7adc-413f-b993-5c97e020617f,Nabeul,Menzel Temime,,INONDATION,BIR DERASSEN,11/11/1982
0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,130,15,15472,,0,0,0,e7ba90ce-7a94-46ba-becd-478f87223939,Tunis,Bardo,,INONDATION,KSAR SAID,11/11/1982
0,2,0,0,0,0,2,2,0,0,0.0,0,0,0.0,0,0,148,15,15470,,0,0,0,d1ae0b2c-6659-43ae-a9f2-aed97bdf91c9,Tunis,Bab Bhar,,INCENDIE,PLACE D'AFRIQUE,20/6/1984
0,0,0,0,0,0,0,0,0,0,400000.0,0,0,0.0,0,0,149,95,95273,,0,0,0,63a16996-1862-4367-9f1f-2cba78c79232,Bizerte,Menzel Jemil,,INCENDIE,USINE SYT MENZEL ABDERRAHMENE,19/7/1984
0,0,0,0,0,0,0,0,0,0,400000.0,0,0,0.0,0,0,151,95,95264,,0,0,0,8dc7e135-fb96-405e-88b4-e645fab7cc4d,Bizerte,Bizerte Nord,,INCENDIE,PORT DE BIZERTE,6/10/1984
0,3,0,0,0,0,0,0,3,0,0.0,0,0,0.0,0,0,155,95,95269,,0,0,0,a7f4d0b5-d8af-426b-800a-0e21a273b371,Bizerte,Jarzouna,,INCENDIE,SNDP JARZOUNA,24/6/1985
0,0,0,0,0,0,9,0,9,0,400000.0,0,0,0.0,0,0,156,8,8399,,0,0,0,6c47266e-c065-408d-a32f-a549c0e80192,Nabeul,Kelibia,,INCENDIE,Dans la mer à 25 km du port,8/7/1985
0,1,0,0,0,0,0,0,1,0,250000.0,0,0,0.0,0,0,158,95,95272,,0,0,0,03afa501-6bb1-44c6-bee9-3145c99bb65c,Bizerte,Menzel Bourguiba,,INCENDIE,USINE PRET A PORTER,28/1/1986
0,1,0,0,0,0,3,0,2,0,70000.0,0,0,1376.0,0,0,182,5,5366,,0,0,0,9c82124d-498b-4666-82bc-c19f9cbd0a31,Manouba,Tebourba,,INCENDIE DE FORÊT,"DEKHILA, JEBAL ANSARIN ",10/8/1987
0,0,0,0,0,0,0,0,0,0,100000.0,0,0,0.0,0,0,413,15,15484,,4,0,0,1cba86af-19e1-4388-9513-e885538a02d9,Tunis,La Goulette,,ACCIDENT DE TRAIN,,13/2/2011
0,17,0,0,0,17,17,17,17,0,1050000.0,0,0,0.0,0,0,514,4,4348,,4,0,0,8069de8e-e9ff-43d8-ab30-dba478c86f93,Mahdia,Bou Merdes,,ACCIDENT DE ROUTE,autoroute EL JEM,22/8/2012
0,0,0,0,0,0,0,0,0,0,2000000.0,0,0,0.0,0,0,183,15,15476,,0,0,0,85796472-fd07-4c47-9822-609e2d8979d1,Tunis,El Khadra,,INCENDIE,USINE SOTUMATEX,0/8/1987
0,0,0,0,1,0,0,0,0,0,10000.0,0,0,0.0,0,0,193,15,15488,,0,0,0,e186b6d8-5450-4adc-ba31-0af1e6d15f85,Tunis,Sidi Bechir,,INCENDIE,APPARTEMENT,6/4/1988
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,194,94,94254,,0,0,0,61623ef2-b1df-472c-9485-125eb584e3a9,Ben Arous,El Mourouj,,INCENDIE,entrepot d'une usine bir kasaa,11/4/1988
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,197,94,94254,,0,0,0,497b5136-e9b6-4a05-845c-2b5e95001eec,Ben Arous,El Mourouj,,INCENDIE,USINE A BIR KASAA,12/5/1988
0,0,0,0,0,0,0,0,0,0,1000000.0,0,0,0.0,0,0,201,94,94254,,0,0,0,abb470a4-5fab-4888-8921-812d8a04ba12,Ben Arous,El Mourouj,,INCENDIE,USINE A BIR KASAA,12/11/1988
3,4,0,0,0,0,0,0,4,0,0.0,0,0,0.0,0,0,204,95,95264,,4,0,0,48408ff8-4b3c-4002-9668-d69647630aaf,Bizerte,Bizerte Nord,,ACCIDENT,CIMENTERIE BIZERTE,9/2/1989
0,0,0,0,0,0,0,0,0,0,0.0,0,0,10.0,0,0,245,95,95267,,0,0,0,c5a1d184-ac09-48d6-9306-6945caad3c64,Bizerte,Ghar El Melh,,INCENDIE DE FORÊT,FORET SIDI ALI MEKKI,26/7/1990
0,0,0,0,0,0,0,0,0,0,0.0,0,0,10.0,0,0,248,93,93239,,0,0,0,7f0bd05e-7696-4bb6-8efc-9c37dac2ae62,Ariana,Kalaat El Andalous,,INCENDIE DE FORÊT,JEBAL NAHLI,22/8/1990
0,5,0,0,0,0,0,0,5,0,350000.0,0,0,0.0,0,0,249,95,95264,,4,0,0,ccd7b62b-452b-46bd-a3cf-b6f4ab8cbd44,Bizerte,Bizerte Nord,,ACCIDENT DE ROUTE,CITE PECHERIE,31/8/1990
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,251,15,15477,,0,0,0,bcae5c10-2a82-47a1-bea6-ed4510b07b79,Tunis,El Kram,,INCENDIE,FOIRE EL KRAM,8/10/1990
0,0,0,0,0,0,0,0,0,0,70000.0,0,0,0.0,0,0,257,15,15470,,0,0,0,f21637a9-d61f-4738-9354-1bfe48d4d24c,Tunis,Bab Bhar,,INCENDIE,ATELIER RUE KHORTOUM,0/5/1991
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,185,15,15470,,0,0,0,7e576cbd-81c3-4257-8ad7-aed6cdf6d04c,Tunis,Bab Bhar,,EXPLOSION,LAFAYETTE,0/11/1987
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,258,8,8395,,0,0,0,56e9e9c8-0939-4b92-9741-5a486e590f92,Nabeul,Grambalia,,GRELE,TURKI,4/9/1991
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,259,8,8390,,0,0,0,4902b453-a327-40f5-b825-9bf5c37188bf,Nabeul,Beni Kalled,,GRELE,,4/9/1991
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,260,8,8401,,0,0,0,ddddbca1-06cf-49b8-8387-779ed2655642,Nabeul,Menzel Bouzelfa,,GRELE,,4/9/1991
0,0,0,0,0,0,0,0,0,0,0.0,0,0,100.0,0,0,265,8,8395,,0,0,0,33ae9071-fb99-41e8-a4af-f744b1166bba,Nabeul,Grambalia,,INCENDIE DE FORÊT,FORET JBEL TRIF,1/8/1992
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,282,95,95265,,0,0,0,02cb9113-b9e1-4e4d-8c88-7875eea0ad37,Bizerte,Bizerte Sud,,TREMBLEMENT DE TERRE,zone entre bizerte et menzel bourguiba,26/1/1995
0,84,0,0,0,0,0,0,84,0,2600000.0,0,0,0.0,0,0,283,15,15470,,4,0,0,6405d0c3-ad77-4792-a7e3-2fd4d2585e33,Tunis,Bab Bhar,,ACCIDENT DE ROUTE,RUE BORJ BOURGUIBA,24/5/1995
4,52,0,0,0,0,56,0,0,0,1850000.0,0,0,0.0,0,0,288,93,93240,,4,0,0,f8cb1907-e975-40d5-ac3b-ef0352a44139,Ariana,Raoued,,ACCIDENT DE ROUTE,ENNKHILET ROUTE DE RAOUED,23/1/1997
0,0,0,0,0,0,0,0,0,0,0.0,0,0,200.0,0,0,291,94,94258,,0,0,0,d67f4501-6b5b-4988-88c0-db6fa8ae1601,Ben Arous,Hammam Lif,,INCENDIE DE FORÊT,FORET JBEL BOUKORNINE,3/6/1998
0,0,0,0,0,0,0,0,0,0,1916500.0,0,0,0.0,0,0,876,93,93240,,0,0,0,7da06d51-fa05-43f9-99f5-69f2e12ffbdf,Ariana,Raoued,,SÉCHERESSE,,0/0/1994
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,292,8,8395,,2,0,0,ddbd4d77-8809-4719-9766-13ca312672fa,Nabeul,Grambalia,,INCENDIE DE FORÊT,FORET KHANGET HAJJAJ,3/6/1998
0,0,0,0,0,0,0,0,0,0,100000.0,0,0,0.0,0,0,293,15,15470,,4,0,0,8ef4acbe-ff44-4c16-8238-2f1b2f8e2422,Tunis,Bab Bhar,,ACCIDENT DE ROUTE,CROISEMENT RUE HOLLANDE ET BOURGUIBA,3/2/1992
5,32,0,0,0,0,0,0,32,0,1500000.0,0,0,0.0,0,0,296,8,8404,,4,0,0,48a24449-73eb-4187-a61b-6d606876fbd8,Nabeul,Solimane,,ACCIDENT DE ROUTE,KORBOUS,25/3/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,50.0,0,0,299,8,8395,,0,0,0,97a2aa1c-1c31-4487-a553-5d23bf235d19,Nabeul,Grambalia,,INCENDIE DE FORÊT,FORET KHANGET HAJJAJ,28/7/2001
15,49,0,0,0,0,64,0,49,0,0.0,0,0,0.0,0,0,302,93,93239,,4,0,0,8dfe631a-8964-42be-a5c0-b1b7edbe5be1,Ariana,Kalaat El Andalous,,ACCIDENT D'AVION,JBEL NAHLI,7/5/2002
0,0,0,0,0,0,0,0,244,0,0.0,0,0,600.0,0,0,304,5,5362,,0,0,0,d32372c4-15e7-43a0-a4d2-087aa257ed44,Manouba,Jedaida,,INONDATION,MENZEL AMOR ET ZOUIA,23/1/2003
