deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
2,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,10765,406,406124,,1,0.0,0.0,18e8c6c3-0c96-4fc7-913c-5c80b4230e13,KASESE,MALIBA,,FLOOD,,29/10/2020
3,4,0,923,981,69,8756,0,43,0,0,1,1,0.0,0,0.0,10762,112,112103,,1,0.0,0.0,b0673a31-d0f5-49da-a922-384894bc99b0,KAYUNGA,GALIRAAYA,,FLOOD,,26/12/2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,7026,402,402108,4027162454,0,0.0,0.0,55e1b1d7-3b7a-40e4-8ef5-f42fb683d6ae,BUSHENYI,KYAMUHUNGA,KYAMUHUNGA,WINDSTORM,,4/11/2016
1,16,0,17,156,200,500,0,16,0,0,1,0,0.0,0,0.0,10773,312,312105,,1,0.0,0.0,b1672fdf-b77a-4e55-a73d-a9375ca559f3,NAKAPIRIPIRIT,NAMALU,,FLOOD,,12/6/2020
0,0,1,38,828,1731,7174,0,164,0,0,5,3,0.0,0,0.0,10768,221,221108,,1,0.0,0.0,f292afd5-bb77-4220-bc48-b2d624c8b32f,BUTALEJA,HIMUTU,,FLOOD,,5/9/2020
1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,10772,204,204108,,1,0.0,0.0,194b2d32-a99c-4b20-ba95-d047b7df3c10,JINJA,CENTRAL DIVISION,,ACCIDENT,,14/9/2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,818,307,307101,3075492881,0,0.0,0.0,155752ef-3177-4288-9988-327ce615c76e,LIRA,ADEKOKWOK,ONGICA,DROUGHT,,1/3/2009
1,2,0,11,52,6,727,0,8,0,0,0,0,0.0,0,0.0,10771,209,209111,,1,0.0,0.0,eb5981b0-7cd6-4a07-bbfb-779f1b6f4915,MBALE,BUSANO,,LANDSLIDE,,7/9/2020
32,8,0,0,0,0,38,0,18,0,0,0,0,0.0,0,0.0,10754,406,406131,,1,0.0,0.0,fb59da24-de16-4c39-a6ad-bdbb9ccfd750,KASESE,RUGENDABARA,,ACCIDENT,,2/2/2021
9,1,0,0,0,0,10,0,1,0,0,0,0,0.0,0,0.0,10755,303,303107,,1,0.0,0.0,d01b0be4-b2ce-42f3-80c8-8b08419eb0a6,ARUA,AYIVUNI,,LIGHTNING,,28/8/2020
0,6,3,15,15,32,70,0,0,0,0,0,0,0.0,0,0.0,10767,406,406105,,1,0.0,0.0,afc3bfdc-b9dc-4d95-a034-47509f165609,KASESE,BWESUMBU,,LANDSLIDE,,24/11/2020
3,10,0,0,0,0,14,0,11,0,0,0,0,0.0,0,0.0,10763,203,203110,,1,0.0,0.0,e2f8c8f5-5257-432e-bfad-cfc5a774f821,IGANGA,NORTHERN DIVISION,,ACCIDENT,,23/3/2021
7,2,0,1,0,0,16,0,2,0,0,0,0,0.0,0,0.0,10756,424,424105,,1,0.0,0.0,a6b8e7fc-4618-492f-b4d6-4b0ad139b1bf,BUHWEJU,KARUNGU,,LANDSLIDE,,18/2/2021
1,3,0,37,33,37,70,0,3,0,0,0,0,0.0,0,0.0,10774,209,209101,,1,0.0,0.0,55303771-91de-4660-9622-db96f4ed3eb4,MBALE,BUBYANGU,,LANDSLIDE,,28/9/2020
60,7,22,0,0,0,67,0,7,0,0,0,0,0.0,0,0.0,10753,403,403106,,1,0.0,0.0,4c1a6c31-72bb-49a2-9ec9-03ee6490d7ea,HOIMA,KIGOROBYA,,ACCIDENT,,23/12/2020
3,4,0,25,30,28,134,0,30,0,0,0,0,0.0,0,0.0,10761,406,406102,,1,0.0,0.0,75e7bd79-4a97-4f54-af9e-68d34c61bc50,KASESE,BUHUHIRA,,LANDSLIDE,,24/11/2020
0,0,0,0,0,0,1776,0,855,0,0,0,0,0.0,0,0.0,10744,308,308107,3085622809,1,0.0,0.0,7b71a4a9-b463-4872-bf23-8018f29bc84d,ALEBTONG,APALA,ABIA,STORM,Alebtong,10/4/2019
0,0,0,0,0,0,1056,0,516,26027,0,0,0,0.0,0,0.0,10743,308,308105,3085602892,1,0.0,0.0,2c5892c1-b551-4975-b49a-a5be770c19ff,ALEBTONG,ALOI,OTWEO-TOKE,STORM,Alebtong,6/11/2019
2,0,0,4,0,27,27,0,27,0,0,0,0,0.0,0,0.0,10764,401,401111,,1,0.0,0.0,e59cd2c9-941a-4e53-8fd7-c4042a9c3b3b,BUNDIBUGYO,HARUGAE,,LANDSLIDE,,9/9/2020
4,0,0,222,4699,0,0,0,0,0,0,0,0,0.0,0,0.0,10747,403,403106,,1,0.0,0.0,14fb933d-5524-438d-a6bb-87da508bb352,HOIMA,KIGOROBYA,,FLOOD,,8/8/2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,781,227,227101,,0,0.0,0.0,dd031e77-a2c5-4c10-929e-aca4fb0eb127,KAMULI,BALAWOLI,,HAILSTORM,,14/4/2010
0,0,0,0,0,0,150,0,0,0,0,0,0,0.0,0,0.0,3254,227,227101,2272635857,0,0.0,0.0,e88ccd66-74e5-4a49-9ff7-bbc87170d028,KAMULI,BALAWOLI,KAGUMBA,STORM,BULAALA VILLAGE,4/7/2017
0,0,0,0,0,0,50,0,0,0,0,0,0,0.0,0,0.0,3257,227,227101,2272636187,0,0.0,0.0,6f4fdb86-0249-4a01-9658-a19f722c0fff,KAMULI,BALAWOLI,KAGUMBA,STORM,MAWEMBE VILLAGE,2/3/2017
0,0,0,0,0,0,356,0,0,0,0,0,0,0.0,0,0.0,3259,227,227101,2272635857,0,0.0,0.0,579fa569-3195-44c8-9c4a-f7a5f14be89b,KAMULI,BALAWOLI,KAGUMBA,STORM,BUSIGE VILLAGE,2/3/2017
5,15,0,113,93,68,678,0,33,0,0,1,1,0.0,0,0.0,10757,207,207108,,1,0.0,0.0,f3d0b396-361b-46b2-899e-feea46a59317,KATAKWI,PALAM,,FLOOD,,12/9/2021
0,100,0,1,0,0,70,0,0,0,0,0,0,4.0,0,0.0,3262,227,227101,2272635857,0,0.0,0.0,cda13b72-a40f-43a2-b86d-6a47d8dea747,KAMULI,BALAWOLI,KAGUMBA,STORM,BULINDA VILLAGE,2/3/2017
0,53,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,5547,227,227104,,0,0.0,0.0,70b2eb45-50b6-4f8d-9384-5901ba7b26f2,KAMULI,BUTANSI,,HAILSTORM,,23/3/2017
0,0,0,0,0,0,92,0,0,0,0,0,0,0.0,0,0.0,2993,413,413886,,0,0.0,0.0,d46d8b2a-261f-4e92-819a-b9bf20c302b7,KAMWENGE,BWIZI,,FLOOD,RUTABO 1,11/4/2015
0,0,0,0,0,0,66,0,0,0,0,0,0,0.0,0,0.0,2995,413,413886,,0,0.0,0.0,86995727-c0c8-4b7b-abd8-e5c4463f6c8d,KAMWENGE,BWIZI,,FLOOD,BWIIZII VILLAGE,11/4/2015
0,0,0,2,0,0,115,0,0,0,0,0,0,0.0,0,0.0,3096,414,414108,,0,0.0,0.0,cbe51fad-ae6f-4bf0-8f81-59c7b8b4b75b,KANUNGU,KIHIIHI,,FLOOD,KAZINGA UPPER VILLAGE,7/6/2013
0,0,0,3,0,0,490,0,0,0,0,0,0,0.0,0,0.0,3098,414,414108,,0,0.0,0.0,ac7ca679-a4d7-4bf8-8762-7223cfee0cc2,KANUNGU,KIHIIHI,,FLOOD,KAZINGA LOWER VILLAGE,7/6/2013
0,0,0,5,0,0,480,0,0,0,0,0,0,0.0,0,0.0,3099,414,414108,,0,0.0,0.0,d1b3d036-ac41-45f6-9ed1-3ab4f0a47015,KANUNGU,KIHIIHI,,FLOOD,TUKUNDANE VILLAGE,7/6/2013
0,0,0,3,0,0,490,0,0,0,0,0,0,0.0,0,0.0,3301,414,414108,,0,0.0,0.0,b3f0637f-921b-4ecb-ba89-0e7f076a7f23,KANUNGU,KIHIIHI,,FLOOD,KAZINGA LOWER,0/0/2013
0,0,0,2,0,0,115,0,0,0,0,0,0,0.0,0,0.0,3305,414,414108,,0,0.0,0.0,13e6fa78-4e79-4dd4-a607-62bc783be67e,KANUNGU,KIHIIHI,,FLOOD,KAZINGA UPPER,0/0/2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,0.0,5920,414,414114,4149005024,0,0.0,0.0,67fc947a-7b74-4061-8e26-3e1cd3425026,KANUNGU,NYAMIRAMA,MASHAKU,HAILSTORM,,10/1/2011
0,30,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,6453,206,206103,,0,0.0,0.0,e3bcc20b-35fb-40c1-a55a-dae3a4bdab41,KAPCHORWA,CHEMA,,EPIDEMIC,,23/11/1999
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,4341,206,206111,,0,0.0,0.0,ab8c9dff-3f01-49e7-9efc-57c76a6c0e12,KAPCHORWA,KAWOWO,,FLOOD,,17/5/2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2693,406,406101,,0,0.0,0.0,9476040a-b85e-4c67-bebd-60216237db61,KASESE,BUGOYE,,FLOOD,,0/8/2013
0,0,0,0,0,0,138,0,0,0,0,0,0,0.0,0,0.0,2880,406,406104,4067795070,0,0.0,0.0,332a389b-24e5-48ad-bfbd-3dcf77dc7899,KASESE,BWERA,RUSESE,STORM,,12/4/2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,6615,406,406104,,3,0.0,0.0,0d64853c-bc5f-4dff-a426-10b536741026,KASESE,BWERA,,WINDSTORM,,4/9/1998
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,4264,406,406108,,0,0.0,0.0,04ae311b-afaa-4d86-864b-b9198be6075a,KASESE,IHANDIRO,,FLOOD,,18/9/2010
0,0,0,22,89,97,113,0,97,0,0,0,0,0.0,0,0.0,10861,406,406111,,1,0.0,0.0,04369872-9091-4816-ad38-d07c8057b359,KASESE,KARUSANDARA,,FLOOD,,15/7/2021
1,0,0,0,0,0,2320,0,0,0,0,0,0,0.0,0,0.0,3446,406,406111,,0,0.0,0.0,b4f6e467-17bc-4dba-8243-094a5941c54d,KASESE,KARUSANDARA,,FLOOD,,19/8/2014
0,0,0,0,0,0,320,0,20,0,0,0,0,0.0,0,0.0,4693,406,406111,,0,0.0,0.0,bc9613f6-0891-4d0e-84fc-63a62f3033b9,KASESE,KARUSANDARA,,FLOOD,,20/5/2002
2,1,0,10,19,225,725,0,225,0,0,5,0,0.0,0,0.0,10794,406,406113,,1,0.0,0.0,9688f136-77c4-4654-be00-3d52d7b65f14,KASESE,KILEMBE,,LANDSLIDE,,23/5/2021
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2876,406,406113,,0,0.0,0.0,8dee4ae8-7178-4e96-8d65-d446ae4219c8,KASESE,KILEMBE,,STORM,,12/4/2016
0,0,0,0,1002,0,2334,0,0,0,0,0,0,0.0,0,0.0,2881,406,406113,,0,0.0,0.0,e9c6f044-6a4e-4efd-87bb-f79518ec920e,KASESE,KILEMBE,,FLOOD,"rivers mubuku, Nyamwamba and ssebwe",4/4/2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,3595,406,406113,,0,0.0,0.0,5df24623-5242-41c2-b29c-2f66ac89f310,KASESE,KILEMBE,,FLOOD,,19/2/2015
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,6188,406,406118,,0,0.0,0.0,fda489bc-4cbb-41a1-84b3-34b3b65fc1eb,KASESE,KITSWAMBA,,WINDSTORM,,21/1/1992
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1518,406,406119,4067952235,0,0.0,0.0,41b22a30-942c-4cd1-91f6-89e2589cdfd0,KASESE,KYABARUNGIRA,BUHUHIRA,LANDSLIDE,,0/0/2010
3,2,2,0,0,0,6,0,2,0,0,0,0,0.0,0,0.0,10758,204,204108,,1,0.0,0.0,4c4c9031-ca5c-4ce6-ad47-565faed36eee,JINJA,CENTRAL DIVISION,,ACCIDENT,,1/9/2020
0,0,0,356,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1522,406,406119,,0,0.0,0.0,bfcc55bd-7849-441f-84a1-f1bc08b719b7,KASESE,KYABARUNGIRA,,LANDSLIDE,,0/0/2010
0,0,0,28,40,0,1448,0,0,0,0,0,0,0.0,0,0.0,1838,406,406119,4067952225,0,0.0,0.0,16dbf45a-cb5f-430b-8ed6-0db8f9bfcac3,KASESE,KYABARUNGIRA,BWESUMBU,LANDSLIDE,,23/8/2005
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1839,406,406119,4067952235,0,0.0,0.0,8e9027cd-00c7-47e7-b713-315d5d24504e,KASESE,KYABARUNGIRA,BUHUHIRA,LANDSLIDE,,23/8/2005
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1840,406,406119,4067952222,0,0.0,0.0,85cda8d3-492e-48eb-9c71-0514115a9eee,KASESE,KYABARUNGIRA,KASANGARI,LANDSLIDE,,23/8/2005
0,0,0,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,7097,406,406119,,0,0.0,0.0,86898221-f4e2-4cf9-8258-1c010090c914,KASESE,KYABARUNGIRA,,WINDSTORM,,0/12/2013
0,3,1,38,169,41,1225,0,3,0,0,0,0,0.0,0,0.0,10770,406,406106,,1,0.0,0.0,2a3a5f89-b322-488e-9c06-edf6c8b41c38,KASESE,CENTRAL DIVISION,,FLOOD,,15/8/2021
0,0,0,0,0,0,67,0,0,0,0,0,0,0.0,0,0.0,3482,406,406124,4067975196,0,0.0,0.0,d93a3f94-aad9-47f0-ba78-2f4699cdbfe9,KASESE,MALIBA,BIKONE,FLOOD,,12/4/2016
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,6428,406,406127,,0,0.0,0.0,ff792f37-8af0-4e38-8da7-d50fdb083350,KASESE,MUNKUNYU,,FLOOD,,1/12/1999
0,0,0,0,40,0,0,280,0,0,0,0,0,0.0,0,0.0,5497,406,406132,,0,0.0,0.0,af3dd247-7e3e-47cd-bdd0-0cd8d8adc3b8,KASESE,RUKOKI,,FLOOD,,1/5/2001
0,0,0,0,0,0,0,0,0,0,0,0,0,279.0,0,0.0,1119,207,207101,,0,0.0,0.0,60657064-4d94-451a-9d27-c591734ac2aa,KATAKWI,KAPUJAN,,FLOOD,,16/9/2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1108,207,207102,,0,0.0,0.0,711e5c18-1f7c-4e9e-8741-2ddfc009eb1f,KATAKWI,KATAKWI,,FLOOD,,14/5/2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1124,207,207102,2072893116,0,0.0,0.0,f5add44f-e124-487f-ac66-31fe0f97030c,KATAKWI,KATAKWI,ALELES,FLOOD,,20/4/2010
0,0,0,30,0,0,0,0,0,0,0,2,0,1583.0,0,0.0,1112,207,207102,,0,0.0,0.0,43077f5d-04ea-4c77-8a81-ff0a88e75f63,KATAKWI,KATAKWI,,FLOOD,,16/9/2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2106,207,207102,2072893146,0,0.0,0.0,cc3f892b-f5a1-4fa8-bcf9-597c2b64a4d0,KATAKWI,KATAKWI,ABWANGET,FLOOD,,2/6/2008
0,0,0,7,0,0,0,0,0,0,0,0,0,46.0,0,0.0,1114,207,207103,,0,0.0,0.0,d7a2a126-6b66-4d9c-8ad9-75ce5be4f17d,KATAKWI,KATAKWI TOWN COUNCIL,,FLOOD,,16/9/2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1126,207,207104,2072916241,0,0.0,0.0,c748a345-06e6-411a-a223-96c5c8114bdf,KATAKWI,MAGORO,OMASIA,HAILSTORM,,25/6/2009
0,7,1,46,14,46,46,0,5,0,0,0,0,0.0,0,0.0,10769,326,326105,,1,0.0,0.0,d413ece0-ff1a-4362-af7b-051b20705b00,NAPAK,LOTOME,,FIRE,,26/12/2020
1,0,0,0,0,4,29,0,3,0,0,0,0,0.0,0,0.0,10782,406,406113,,1,0.0,0.0,fc3187e2-a2ab-4daa-82be-0e58c80a55de,KASESE,KILEMBE,,FLOOD,,23/5/2021
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,819,307,307101,3075492943,0,0.0,0.0,0949c500-77d7-4412-8867-b132846480c2,LIRA,ADEKOKWOK,ADEKOKWOK,DROUGHT,,1/3/2009
1,0,0,2,1,6,12,0,1,0,0,0,0,0.0,0,0.0,10775,406,406132,,1,0.0,0.0,38525d91-2856-4a30-a234-5eb9334d499f,KASESE,RUKOKI,,OTHER,,11/10/2020
1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,10777,406,406130,,1,0.0,0.0,79db088f-4542-4adb-9a5c-3fb4c6c4f825,KASESE,NYAMWAMBA DIVISION,,FLOOD,,26/10/2020
2,5,0,20,10,40,1000,0,0,0,0,0,0,0.0,0,0.0,10793,207,207107,,1,0.0,0.0,752add6f-7e56-45ce-8fd7-e5c6a825ca90,KATAKWI,ONGONGOJA,,FLOOD,,7/10/2021
1,14,0,0,0,0,14,0,14,0,0,0,0,0.0,0,0.0,10790,108,108106,,1,0.0,0.0,3e12f944-5d6d-42c4-8732-b9da6e80c345,BUIKWE,NAJJEMBE DIVISION,,ACCIDENT,,29/3/2021
2,3,0,0,0,0,5,0,2,0,0,0,0,0.0,0,0.0,10792,409,409104,,1,0.0,0.0,59447057-d50a-43ed-8e29-7b552a3394e6,KIRYANDONGO,KIRYANDONGO,,ACCIDENT,,17/10/2021
1,1,0,0,0,0,2,0,2,0,0,0,0,0.0,0,0.0,10788,113,113106,,1,0.0,0.0,12ed8e4c-9edc-4401-b005-74a8ff84c1bd,WAKISO,DIVISION B,,ACCIDENT,,12/2/2021
1,2,0,0,0,0,3,0,2,0,0,0,0,0.0,0,0.0,10785,204,204111,,1,0.0,0.0,a651f249-6c8a-4fbd-8a32-9b579be840cd,JINJA,MASESE WALUKUBA,,ACCIDENT,,12/4/2021
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2549,307,307106,,0,0.0,0.0,283ee71f-0b79-4636-8f3e-58853605b693,LIRA,AROMO,,FLOOD,Agali,17/9/2013
1,3,0,1,1,5,525,0,0,0,0,0,0,0.0,0,0.0,10783,206,206108,,1,0.0,0.0,6703da1c-9612-40e4-aefb-0d19943ce161,KAPCHORWA,KAPSINDA,,LANDSLIDE,,18/9/2021
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,10781,406,406106,,1,0.0,0.0,5e604ab8-3243-4b0d-ab1a-0da0101738a7,KASESE,CENTRAL DIVISION,,ACCIDENT,,10/10/2021
1,2,0,0,0,0,2,0,1,0,0,0,0,0.0,0,0.0,10786,124,124102,,1,0.0,0.0,8cac4b44-9465-43b1-9e08-1bb9dc054414,MUKONO,GOMA DIVISION,,ACCIDENT,,22/3/2021
1,3,0,0,0,0,4,0,3,0,0,0,0,0.0,0,0.0,10779,113,113113,,1,0.0,0.0,401f3973-c512-4568-bd15-a5362863b6ca,WAKISO,KATABI TOWN COUNCIL,,ACCIDENT,,13/1/2021
1,33,1,109,378,1160,13081,0,0,0,0,6,6,0.0,0,0.0,10791,221,221108,,1,0.0,0.0,00cf3778-8b68-4a16-9ee9-d484ea85c0be,BUTALEJA,HIMUTU,,FLOOD,,6/5/2021
1,4,0,0,0,0,4,0,3,0,0,0,0,0.0,0,0.0,10787,203,203102,,1,0.0,0.0,55922663-89fe-441b-8f56-f7d1c34d992d,IGANGA,CENTRAL DIVISION,,ACCIDENT,,19/2/2021
1,2,0,0,0,0,3,0,2,0,0,0,0,0.0,0,0.0,10780,409,409101,,1,0.0,0.0,67edfdff-f20a-4e51-971e-3e05ac30bc09,KIRYANDONGO,BWEYALE TOWN COUNCIL,,ACCIDENT,,24/10/2021
1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,10784,113,113113,,1,0.0,0.0,cdbf7196-3ada-4e65-b354-b6b6a6d35dbe,WAKISO,KATABI TOWN COUNCIL,,ACCIDENT,,22/3/2021
1,25,0,1330,1050,530,5910,0,0,0,0,3,2,0.0,0,0.0,10776,416,416102,,1,0.0,0.0,cae3466a-972b-4c09-b9e4-8d107b178db6,BULIISA,BULIISA,,FLOOD,,17/10/2020
1,2,0,0,0,0,4,0,2,0,0,0,0,0.0,0,0.0,10778,204,204109,,1,0.0,0.0,ff63afd0-1764-44d5-b666-e2ef54071236,JINJA,KAKIRA TOWN COUNCIL,,ACCIDENT,,30/10/2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1128,207,207104,,0,0.0,0.0,b01470e1-d9d6-42d8-9714-1732610ef5ad,KATAKWI,MAGORO,,DROUGHT,,15/7/2009
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1308,207,207104,,0,0.0,0.0,9c534f57-abbc-40b7-91b9-e30b702f6636,KATAKWI,MAGORO,,DROUGHT,,2/8/2011
2,5,0,0,0,0,10,0,8,0,0,0,0,0.0,0,0.0,10798,410,410109,,1,0.0,0.0,e0f89b99-5b3e-4b2d-ac90-8006d9ffb8f2,MBARARA,NYAKAYOJO DIVISION,,ACCIDENT,,3/2/2021
0,0,0,0,0,0,154,0,0,0,0,0,0,0.0,0,0.0,4232,207,207104,,0,0.0,0.0,d7bf639d-bb1b-4da5-b0bd-649e647c5020,KATAKWI,MAGORO,,FLOOD,,11/9/2017
0,0,0,0,0,0,112,0,0,0,0,0,0,0.0,0,0.0,4233,207,207104,,0,0.0,0.0,91ad6fe8-2f85-4a0f-9453-ce798d3d7884,KATAKWI,MAGORO,,FLOOD,,11/9/2017
0,0,0,0,0,0,1555,0,0,0,0,0,0,0.0,0,0.0,4234,207,207104,,0,0.0,0.0,f9ddf47f-1033-4602-85b1-85d7929d5de2,KATAKWI,MAGORO,,FLOOD,,11/9/2017
