deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
4,3,0,724,0,0,0,0,0,0,0.0,0,0,0,0,0,103,405,,,0,0,0,C3FDEBAF-D26D-4D54-868D-9515C5EF0BE1,Hà Tĩnh,,,Bão,,10/7/2001
1,0,1,7,0,0,0,0,0,0,0.0,0,0,0,0,0,100,205,,,0,0,0,A1AADBE9-8E19-47DD-9A71-41FB2C329BEF,Lao Cai,,,Lũ,,1/6/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,100,213,,,0,0,0,29C1B028-47C1-4A4A-90F9-09015D2EDC91,Yên Bái,,,Lũ,,1/6/2001
4,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,101,701,,,0,0,0,159668E3-4A90-468D-A287-D250FFE92B20,Thành phố Hồ Chí Minh,,,Sạt lở đất,,1/2/2001
0,4,0,0,124,0,0,0,0,0,0.0,0,0,0,0,0,101,301,,,0,0,0,04C44C69-A87D-42A4-9D48-84ACADA07818,Lai Châu,,,Sạt lở đất,,1/2/2001
1,0,0,87,0,0,0,0,0,0,0.0,0,0,0,0,0,102,207,,,0,0,0,7422CC2C-4701-492C-A65F-730D197C81BA,Bắc Kạn,,,Lũ,,1/7/2001
1,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,102,203,,,0,0,0,E9F4DAA6-819E-418A-9054-070ED5F0AFCA,Cao Bằng,,,Lũ,,1/7/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,102,dbi,,,0,0,0,027024CE-335E-411D-B68A-B286D367E500,Điện Biên,,,Lũ,,1/7/2001
1,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0,0,102,201,,,0,0,0,45DC215D-9F2A-4552-9462-35E9B853783F,Hà Giang,,,Lũ,,1/7/2001
2,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,102,205,,,0,0,0,F873672B-D0A5-4304-904E-EE225E1F212B,Lao Cai,,,Lũ,,1/7/2001
0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0,0,102,209,,,0,0,0,5C131196-409A-445B-A076-70355A05C5D2,Lạng Sơn,,,Lũ,,1/7/2001
2,0,0,38,0,0,0,0,0,0,0.0,0,0,0,0,0,102,217,,,0,0,0,E2E7E0F0-08CF-4FA0-BA28-0E86EDBAD26A,Phú Thọ,,,Lũ,,1/7/2001
23,15,0,266,0,0,0,0,0,0,0.0,0,0,0,0,0,102,215,,,0,0,0,2468A0A5-7E1F-437B-BA6E-8F77277B1F1A,Thái Nguyên,,,Lũ,,1/7/2001
11,0,0,201,0,0,0,0,0,0,0.0,0,0,0,0,0,102,211,,,0,0,0,5684839A-AD92-45D7-988F-1D2B8003ECF9,Tuyên Quang,,,Lũ,,1/7/2001
1,0,0,250,0,0,0,0,0,0,0.0,0,0,0,0,0,102,219,,,0,0,0,E26852D8-D71E-4344-9E5E-6F0C5D9362F0,Vĩnh Phúc,,,Lũ,,1/7/2001
4,8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,102,213,,,0,0,0,D2163F3B-8DF0-45F0-A0EE-F42A379726AD,Yên Bái,,,Lũ,,1/7/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,103,403,,,0,0,0,DE9EDF3D-D71A-4F03-9E63-2330A9B20DD8,Nghệ An,,,Bão,,10/7/2001
1,0,0,0,53,0,0,0,0,0,0.0,0,0,0,0,0,103,407,,,0,0,0,5C07936C-444B-42B7-8594-83C03256FB53,Quảng Bình,,,Bão,,10/7/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,103,409,,,0,0,0,72673EA6-1818-452A-B715-FBD86AA6A8C7,Quảng Trị,,,Bão,,10/7/2001
134,0,1,336,0,0,0,0,0,0,0.0,0,0,0,0,0,104,805,,,0,0,0,026E3E50-99CD-418D-917F-66A96DEBB280,An Giang,,,Lũ,,1/1/2001
0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0,0,104,811,,,0,0,0,5F77A549-66C4-44A4-8679-D9349293C75D,Bến Tre,,,Lũ,,1/1/2001
31,0,0,76,0,0,0,0,0,0,0.0,0,0,0,0,0,104,815,,,0,0,0,37D1F590-23C5-4C54-ACE8-B087170E04BB,Cần Thơ,,,Lũ,,1/1/2001
95,0,0,918,0,0,0,0,0,0,0.0,0,0,0,0,0,104,803,,,0,0,0,B6F18627-E62C-4D16-AB1D-B967413205E9,Đồng Tháp,,,Lũ,,1/1/2001
78,0,0,298,0,0,0,0,0,0,0.0,0,0,0,0,0,104,813,,,0,0,0,C597B984-0741-4B72-BE30-F65F33634BD4,Kiên Giang,,,Lũ,,1/1/2001
39,0,0,1329,0,0,0,0,0,0,0.0,0,0,0,0,0,104,801,,,0,0,0,D6BA33A5-F4CE-4773-AE7E-A2EBFD1B0959,Long An,,,Lũ,,1/1/2001
0,0,0,338,0,0,0,0,0,0,0.0,0,0,0,0,0,104,819,,,0,0,0,B4E1685B-0657-49AF-947C-F0093044ADB2,Sóc Trăng,,,Lũ,,1/1/2001
15,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0,0,104,807,,,0,0,0,8E87DAA3-75F4-445D-BD7B-0867552555CD,Tiền Giang,,,Lũ,,1/1/2001
1,0,0,317,0,0,0,0,0,0,0.0,0,0,0,0,0,104,809,,,0,0,0,75852BB8-45E0-411C-9EAE-4FD2BDBE6BF6,Vĩnh Long,,,Lũ,,1/1/2001
2,0,0,17,0,0,0,0,0,0,0.0,0,0,0,0,0,105,507,,,0,0,0,FC8538FC-D87B-4EA0-8709-03139070AFAE,Bình Định,,,Lũ,,20/10/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,105,dbi,,,0,0,0,36B81EA6-78AA-44B3-90FF-C27DCCFB04C6,Điện Biên,,,Lũ,,20/10/2001
0,2,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,105,501,,,0,0,0,4467FCE2-AD42-435A-8F9B-E8BEFFD7C4FB,Đà Nẵng,,,Lũ,,20/10/2001
18,2,0,110,0,0,0,0,0,0,0.0,0,0,0,0,0,105,405,,,0,0,0,34740503-E87C-4407-B9E1-7913377EC245,Hà Tĩnh,,,Lũ,,20/10/2001
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,105,511,,,0,0,0,5F53E7A1-407A-42C6-9D55-E98C09E80F45,Khánh Hoà,,,Lũ,,20/10/2001
9,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,105,403,,,0,0,0,61D4369A-6843-4F3B-B780-7E6C5F55C88F,Nghệ An,,,Lũ,,20/10/2001
