deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
0,1542,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1148,12,,,0,0.0,0.0,af22ce1b-c7ba-4af7-b6f8-b2d024d78447,أبين,,,وباء,,0/0/2005
0,7374,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1149,12,,,0,0.0,0.0,9ded64d4-0431-4e05-a62d-ecab0093ed79,أبين,,,وباء,,0/0/2005
0,63,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1150,12,,,0,0.0,0.0,b3c81730-a37f-4ad9-8629-57edd8a2eb7d,أبين,,,وباء,,0/0/2005
0,12553,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1164,12,,,0,0.0,0.0,e24ec2fc-5295-4bd4-b97d-96a0a2b6dcbc,أبين,,,وباء,,0/0/2005
350,0,1,0,0,12,6,0,0,0,0.0,0,0,0,0,0,14,20,2011,,2,0.0,0.0,5403c053-6b0f-4b64-b524-0e7488ee0110,Dhamar,Dawran Aness,,زلزال,,16/12/1982
0,8767,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1182,12,,,0,0.0,0.0,33d448d3-7c79-4ee9-8369-b0b8bbdbfda3,أبين,,,وباء,,0/0/2006
0,1114,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1276,12,,,0,0.0,0.0,8be02e5e-3f94-478f-b696-60c7a65f9279,أبين,,,وباء,,0/0/2006
0,4224,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1277,12,,,0,0.0,0.0,51fa344a-4783-488f-a0fe-c8374ab6fb35,أبين,,,وباء,,0/0/2006
0,476,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1278,12,,,0,0.0,0.0,168823b9-2602-4951-8798-fcb323f48d5b,أبين,,,وباء,,0/0/2006
0,286,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1279,12,,,0,0.0,0.0,247a06e5-f73a-492f-be46-23f8aa9762e0,أبين,,,وباء,,0/0/2006
0,2624,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1291,12,,,0,0.0,0.0,7f4aa536-7155-4794-9442-461a8a80208f,أبين,,,وباء,,0/0/2003
0,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1321,12,,,0,0.0,0.0,cd0ac5e2-f93c-464b-ba78-47a499c9fe0f,أبين,,,وباء,,0/0/2009
0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1350,12,,,0,0.0,0.0,fc66243f-8b45-4e19-838d-5959987cd668,أبين,,,وباء,,0/0/2009
0,29,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1817,12,,,0,0.0,0.0,fcce98f6-b289-471f-8f10-0fb7265f0ba8,أبين,,,وباء,,0/0/2008
0,112,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1818,12,,,0,0.0,0.0,a17682c5-515c-47a3-9b7c-fd27b02ab365,أبين,,,وباء,,0/0/2008
0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1819,12,,,0,0.0,0.0,4fce779e-8797-4078-9136-bf147c73ab5d,أبين,,,وباء,,0/0/2008
0,882,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1820,12,,,0,0.0,0.0,5594773c-31c8-4d91-a476-3e4034f39ef4,أبين,,,وباء,,0/0/2008
