deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,serial,level0,level1,level2,approved,latitude,longitude,uuid,name0,name1,name2,event,location,date
11,0,0,0,0,0,27,0,1,0.0,0,0,0,0,0,0,4,51,5101,51010501,0,0.0,0.0,667b3927-26d8-4a4c-8a0d-92eee0a6f2da,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,MARINE ACCIDENT,,21/10/2009
0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,103,51,5101,51010403,0,0.0,0.0,f2d100fb-76b0-46ad-8abe-d80347f7a7ec,KASKAZINI UNGUJA,KASKAZINI A,MKOKOTONI,EPIDEMIC,Mkokotoni,0/0/2003
0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,104,51,5101,51010403,0,0.0,0.0,9641cb4f-7150-450c-ae27-a58825d02aea,KASKAZINI UNGUJA,KASKAZINI A,MKOKOTONI,EPIDEMIC,Mkokotoni,0/0/2006
10,0,1,0,0,10,10,0,0,0.0,0,0,0,0,0,0,5,52,5201,52010110,0,0.0,0.0,b4459adc-2a0e-46ed-b65b-fecafeaa5096,KUSINI UNGUJA,KATI,PONGWE,MARINE ACCIDENT,,10/7/2007
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,51,5101,51010501,0,0.0,0.0,abd59ac0-7cb6-4e5b-ad60-0aa50e5ec840,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,FIRE,,9/9/2010
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,51,5101,51010501,0,0.0,0.0,b3413f92-907b-447e-aea9-3d4fec6e3acd,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,FIRE,KENDWA,15/3/2010
5,0,15,0,0,0,9,0,3,0.0,0,0,0,0,0,0,12,51,5101,51010501,0,0.0,0.0,a27d4e8f-c430-40f4-8a6b-4848bf046ff6,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,MARINE ACCIDENT,,7/1/2014
1,5,0,0,0,6,0,0,5,0.0,0,0,0,0,0,0,5,51,5101,51010501,0,0.0,0.0,54166d18-5368-42ba-8d9b-5b4b4d46c7fa,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,MARINE ACCIDENT,Off Nungwi's Coast,24/5/2008
3,10,0,0,0,13,0,0,10,0.0,0,0,0,0,0,0,6,51,5101,51010501,0,0.0,0.0,0bae4fec-b6ba-4428-9750-da6118d7bdcc,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,MARINE ACCIDENT,Off Nungwi's Coast,12/6/2008
4,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,7,51,5101,51010501,0,0.0,0.0,c56eecf8-0c7e-4216-88ee-4f7bc3620637,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,MARINE ACCIDENT,Off Nungwi's Coast,1/1/2007
1,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,8,51,5101,51010501,0,0.0,0.0,6ce46a93-fec6-4800-991a-c11e9ddbf0d3,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,MARINE ACCIDENT,Off Nungwi's Coast,9/3/2008
2,6,0,0,0,8,0,0,6,0.0,0,0,0,0,0,0,9,53,5301,53010105,0,0.0,0.0,28d1b18c-912c-4a9e-b0ef-e98f9a003869,MJINI MAGHARIBI,MAGHARIBI,FUMBA,MARINE ACCIDENT,Outside Menai Bay Conservation Area,20/1/2008
0,1,0,0,0,1,0,0,1,0.0,0,0,0,0,0,0,10,51,5101,51010401,0,0.0,0.0,4cf75c23-c7b7-45f3-9e67-306eeefd0a41,KASKAZINI UNGUJA,KASKAZINI A,TUMBATU GOMANI,MARINE ACCIDENT,Outside Tumbatu islet,27/7/2007
0,1,0,0,0,1,0,0,1,0.0,0,0,0,0,0,0,11,51,5101,51010501,0,0.0,0.0,96500e9b-5af5-4fb7-80d8-df3c4a8f5e6d,KASKAZINI UNGUJA,KASKAZINI A,NUNGWI,MARINE ACCIDENT,,5/10/2008
7,4,0,0,0,11,0,0,4,0.0,0,0,0,0,0,0,12,53,5301,53010105,0,0.0,0.0,9cc31027-2527-4e3f-9723-dab37d6da558,MJINI MAGHARIBI,MAGHARIBI,FUMBA,MARINE ACCIDENT,Outside Fumba Peninsula,2/1/2009
