deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1911-02-18,1911-02-20,1911-02-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1919-12-22,1919-12-24,1919-12-25
36,102,0,0,2500,0,15000,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1920-11-26,1920-11-28,1920-11-29
14,300,0,173,1790,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1920-12-18,1920-12-20,1920-12-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1921-03-30,1921-04-01,1921-04-02
30,100,0,446,188,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1930-11-21,1930-11-23,1930-11-24
44,119,0,1424,2200,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1942-08-27,1942-08-29,1942-08-30
1,21,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1948-08-27,1948-08-29,1948-08-30
0,0,0,109,792,0,0,0,0,0,0.0,2,1,0.0,0,0,EARTHQUAKES,1959-09-01,1959-09-03,1959-09-04
7,127,0,412,2763,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1960-05-26,1960-05-28,1960-05-29
5,77,0,98,465,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1962-03-18,1962-03-20,1962-03-21
12,177,0,534,6336,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1967-11-30,1967-12-02,1967-12-03
0,0,0,998,5331,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1969-04-03,1969-04-05,1969-04-06
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1979-03-18,1979-03-20,1979-03-21
35,382,0,0,17122,0,100000,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1979-04-15,1979-04-17,1979-04-18
2,24,0,16802,16802,0,0,0,0,0,0.0,810,44,0.0,0,0,EARTHQUAKES,1982-11-16,1982-11-18,1982-11-19
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1988-01-09,1988-01-11,1988-01-12
0,0,0,50,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1997-05-16,1997-05-18,1997-05-19
0,0,0,5,0,25,0,0,0,0,2580360.0,0,0,0.0,0,0,EARTHQUAKES,1997-05-20,1997-05-22,1997-05-23
0,0,0,2,0,12,0,0,0,0,2474843.0,0,0,0.0,0,0,EARTHQUAKES,1998-10-06,1998-10-08,1998-10-09
0,0,0,3,0,5,0,0,0,0,1720200.0,0,0,0.0,0,0,EARTHQUAKES,1999-09-06,1999-09-08,1999-09-09
0,0,0,13,0,4,0,0,0,0,5921603.0,0,0,0.0,0,0,EARTHQUAKES,1999-09-13,1999-09-15,1999-09-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2002-04-25,2002-04-27,2002-04-28
0,0,0,0,0,92,0,0,0,0,4000000.0,0,0,0.0,0,0,EARTHQUAKES,2002-07-31,2002-08-02,2002-08-03
0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2003-12-05,2003-12-07,2003-12-08
0,0,0,0,0,0,36,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2004-04-07,2004-04-09,2004-04-10
0,0,0,1,0,6,0,0,0,0,491860.0,0,0,0.0,0,2000,EARTHQUAKES,2004-11-23,2004-11-25,2004-11-26
0,0,0,1,21,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2005-06-10,2005-06-12,2005-06-13
0,0,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2005-11-02,2005-11-04,2005-11-05
0,0,0,7,38,0,0,0,0,0,0.0,1,0,0.0,0,0,EARTHQUAKES,2006-06-13,2006-06-15,2006-06-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2006-10-19,2006-10-21,2006-10-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2007-03-11,2007-03-13,2007-03-14
0,0,0,11,17,57,0,0,0,0,7711340.0,1,0,0.0,0,0,EARTHQUAKES,2007-04-16,2007-04-18,2007-04-19
0,0,0,1,0,0,0,0,0,0,414200.0,0,0,0.0,0,0,EARTHQUAKES,2007-07-17,2007-07-19,2007-07-20
0,0,0,4,0,8,0,0,0,0,2186126.0,0,0,0.0,0,0,EARTHQUAKES,2007-09-05,2007-09-07,2007-09-08
0,0,0,138,1517,7,0,0,0,0,154143218.0,3,4,0.0,0,0,EARTHQUAKES,2009-09-06,2009-09-08,2009-09-09
0,0,0,2,2,11,0,0,0,0,7177729.0,0,0,0.0,0,0,EARTHQUAKES,2010-03-24,2010-03-26,2010-03-27
0,0,0,0,1,0,0,0,0,0,591003.0,0,0,0.0,0,0,EARTHQUAKES,2010-07-10,2010-07-12,2010-07-13
0,0,0,1,0,4,0,0,0,0,458790.0,0,0,0.0,0,0,EARTHQUAKES,2012-07-12,2012-07-14,2012-07-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2012-11-26,2012-11-28,2012-11-29
0,0,0,0,744,0,0,0,0,0,2114417773.0,0,0,0.0,0,0,EARTHQUAKES,2014-05-19,2014-05-21,2014-05-22
0,154,0,37,172,0,808,0,118,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2014-05-25,2014-05-27,2014-05-28
0,0,0,0,10,0,0,0,0,0,28601041.0,0,0,0.0,0,0,EARTHQUAKES,2014-11-26,2014-11-28,2014-11-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2015-08-23,2015-08-25,2015-08-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2015-09-02,2015-09-04,2015-09-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2015-09-06,2015-09-08,2015-09-09
0,0,0,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2015-11-01,2015-11-03,2015-11-04
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2015-12-15,2015-12-17,2015-12-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2015-12-25,2015-12-27,2015-12-28
