deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,12,0,0,0,0,0,0,0,0,1000000.0,0,0,200.0,18,0,STORMS,1967-10-05,1967-10-10,1967-10-10
0,2,0,9,529,0,0,0,0,0,40000.0,0,0,0.0,0,0,STORMS,1969-11-30,1969-12-05,1969-12-05
0,0,0,0,0,0,0,0,0,0,198750.0,0,0,0.0,0,0,STORMS,1971-09-07,1971-09-12,1971-09-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,564.0,0,0,STORMS,1971-09-15,1971-09-20,1971-09-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1971-10-02,1971-10-07,1971-10-07
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-02-26,1973-03-03,1973-03-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-07-03,1973-07-08,1973-07-08
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-10-22,1973-10-27,1973-10-27
4,0,0,7,0,0,0,0,0,0,524292.0,0,0,0.0,74,0,STORMS,1973-12-02,1973-12-07,1973-12-07
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-12-15,1973-12-20,1973-12-20
2,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-12-26,1973-12-31,1973-12-31
1,3,0,0,0,0,0,0,0,0,53900.0,0,0,0.0,384,0,STORMS,1974-10-27,1974-11-01,1974-11-01
0,0,0,0,900,0,0,0,0,0,1024708.0,0,0,0.0,24,0,STORMS,1974-12-31,1975-01-05,1975-01-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-01-09,1975-01-14,1975-01-14
0,0,0,0,0,0,0,0,0,0,1297756.0,0,0,277.79999999999995,0,0,STORMS,1975-05-24,1975-05-29,1975-05-29
0,12,0,0,0,0,0,0,0,0,0.0,0,0,1750.0,0,0,STORMS,1975-06-19,1975-06-24,1975-06-24
1,0,0,0,0,0,0,0,0,0,0.0,0,0,58.0,139,0,STORMS,1975-06-26,1975-07-01,1975-07-01
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-07-13,1975-07-18,1975-07-18
1,3,0,0,0,0,0,0,0,0,2777944.0,0,0,3757.0,0,0,STORMS,1975-07-22,1975-07-27,1975-07-27
2,6,0,0,0,0,0,0,0,0,0.0,0,0,6.0,31,0,STORMS,1975-08-06,1975-08-11,1975-08-11
0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,4,0,STORMS,1975-11-18,1975-11-23,1975-11-23
0,0,0,0,0,0,0,0,0,0,11000000.0,0,0,16199.0,0,0,STORMS,1976-05-24,1976-05-29,1976-05-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,81.0,0,0,STORMS,1976-07-10,1976-07-15,1976-07-15
