deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1975-05-30,1975-06-04,1975-06-04
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1975-07-17,1975-07-22,1975-07-22
0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1975-08-16,1975-08-21,1975-08-21
0,0,0,3,51,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1975-09-16,1975-09-21,1975-09-21
0,0,0,0,25,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1975-09-26,1975-10-01,1975-10-01
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1975-12-02,1975-12-07,1975-12-07
1,0,0,2,39,320,0,0,252,0.0,0.0,0,0,500.0,0,0.0,FLOODS,1975-12-12,1975-12-17,1975-12-17
0,0,0,0,4,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1976-06-25,1976-06-30,1976-06-30
2,0,0,6,17,80,0,0,80,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1976-08-01,1976-08-06,1976-08-06
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1976-09-09,1976-09-14,1976-09-14
0,0,0,0,1,5,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1976-09-15,1976-09-20,1976-09-20
0,0,0,0,0,13,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1976-10-09,1976-10-14,1976-10-14
0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1976-12-10,1976-12-15,1976-12-15
0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-05-26,1977-05-31,1977-05-31
0,0,0,0,1,7,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-06-04,1977-06-09,1977-06-09
0,0,0,0,3,16,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-06-18,1977-06-23,1977-06-23
0,0,0,0,1,4,0,0,4,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-09-15,1977-09-20,1977-09-20
0,0,0,0,300,100,0,0,0,0.0,0.0,0,0,0.0,0,3.0,FLOODS,1977-09-30,1977-10-05,1977-10-05
0,0,0,0,110,31,0,0,31,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-10-29,1977-11-03,1977-11-03
0,0,0,0,50,150,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1977-11-05,1977-11-10,1977-11-10
0,0,0,0,40,0,0,0,0,0.0,500000.0,0,0,0.0,0,0.0,FLOODS,1977-11-19,1977-11-24,1977-11-24
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1978-05-05,1978-05-10,1978-05-10
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1978-05-19,1978-05-24,1978-05-24
0,0,0,0,57,250,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1978-08-28,1978-09-02,1978-09-02
0,0,0,0,10,89,0,0,89,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1978-09-04,1978-09-09,1978-09-09
0,0,0,0,230,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1978-09-22,1978-09-27,1978-09-27
0,0,0,0,50,261,0,0,261,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1978-10-13,1978-10-18,1978-10-18
0,0,0,0,27,1352,0,0,177,0.0,0.0,0,0,350.0,0,0.0,FLOODS,1978-10-22,1978-10-27,1978-10-27
0,0,0,0,4,27,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1978-11-08,1978-11-13,1978-11-13
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1600.0,0,0.0,FLOODS,1979-02-27,1979-03-04,1979-03-04
0,0,0,0,3,14,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1979-05-30,1979-06-04,1979-06-04
0,0,0,0,60,846,0,0,574,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1979-06-05,1979-06-10,1979-06-10
0,0,0,0,9,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1979-07-23,1979-07-28,1979-07-28
0,0,0,0,6,25,0,0,18,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1979-08-20,1979-08-25,1979-08-25
