deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
5,0,0,42,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1989-09-07,1989-09-12,1989-09-12
0,0,0,0,0,0,0,0,0,0,0,0,0,11881.0,23,0,STORMS,1993-11-30,1993-12-05,1993-12-05
0,0,0,5,0,0,0,0,0,0,0,0,0,382.0,0,0,STORMS,1995-04-23,1995-04-28,1995-04-28
0,0,0,0,0,0,0,0,0,0,0,0,0,2025.0,0,0,STORMS,1995-05-09,1995-05-14,1995-05-14
2,0,0,2,0,0,0,0,0,0,0,0,0,141.0,0,0,STORMS,1995-08-29,1995-09-03,1995-09-03
0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,0,0,STORMS,1999-08-23,1999-08-28,1999-08-28
0,0,0,64,0,0,0,0,0,0,0,0,0,285.0,0,0,STORMS,2001-04-13,2001-04-18,2001-04-18
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2001-04-25,2001-04-30,2001-04-30
0,0,0,235,0,0,0,0,0,0,0,0,0,220.0,0,0,STORMS,2001-05-05,2001-05-10,2001-05-10
0,0,0,0,0,0,0,0,0,0,0,0,0,510.0,0,0,STORMS,2002-03-21,2002-03-26,2002-03-26
6,10,0,85,0,0,0,8983,0,0,0,0,0,1672.0,8,0,STORMS,2003-08-01,2003-08-06,2003-08-06
0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,0,0,STORMS,2003-09-28,2003-10-03,2003-10-03
0,0,0,0,0,0,763,0,0,0,0,0,0,0.0,0,0,STORMS,2005-06-01,2005-06-06,2005-06-06
2,0,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0,STORMS,2006-02-01,2006-02-06,2006-02-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2006-10-11,2006-10-16,2006-10-16
0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,0,0,STORMS,2007-02-13,2007-02-18,2007-02-18
0,0,0,268,0,0,92901,0,0,0,0,0,0,5910.0,0,0,STORMS,2007-02-23,2007-02-28,2007-02-28
0,0,0,50,0,0,1800,0,0,0,0,0,0,0.0,0,0,STORMS,2007-07-17,2007-07-22,2007-07-22
0,0,0,124,0,0,620,0,0,0,0,0,0,0.0,0,0,STORMS,2007-07-25,2007-07-30,2007-07-30
0,4,0,0,0,0,0,0,0,0,0,0,0,545.0,17,0,STORMS,2008-02-27,2008-03-03,2008-03-03
0,0,0,0,0,0,2203,0,0,0,0,0,0,384.43,0,0,STORMS,2008-03-27,2008-04-01,2008-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2008-06-16,2008-06-21,2008-06-21
0,0,0,67,0,0,0,0,0,0,0,0,0,1401.26,362,0,STORMS,2008-10-27,2008-11-01,2008-11-01
0,0,0,8,0,0,0,0,0,0,0,0,0,2176.0,1,0,STORMS,2008-12-17,2008-12-22,2008-12-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2009-06-16,2009-06-21,2009-06-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2009-06-22,2009-06-27,2009-06-27
0,0,0,0,0,0,1880,0,0,0,0,0,0,0.0,0,0,STORMS,2013-06-09,2013-06-14,2013-06-14
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2020-03-31,2020-04-05,2020-04-05
