deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1971-06-26,1971-07-01,1971-07-01
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1971-07-04,1971-07-09,1971-07-09
1,0,2,170,0,0,740,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1971-07-18,1971-07-23,1971-07-23
0,0,0,270,430,0,1000,0,0,0,100000.0,0,0,0.0,0,0.0,FLOODS,1971-07-24,1971-07-29,1971-07-29
0,0,0,200,0,0,250000,0,0,0,0.0,5,1,0.0,0,0.0,FLOODS,1971-07-30,1971-08-04,1971-08-04
1,7,0,33,0,0,41640,0,0,0,0.0,0,0,0.0,6,0.0,FLOODS,1971-08-08,1971-08-13,1971-08-13
0,0,0,818,818,0,70000,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1971-08-20,1971-08-25,1971-08-25
0,0,0,4000,0,0,43058,0,0,0,0.0,0,0,0.0,0,41.0,FLOODS,1971-08-29,1971-09-03,1971-09-03
0,0,0,0,0,0,220000,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1971-09-09,1971-09-14,1971-09-14
5,0,0,0,0,0,50000,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1971-11-01,1971-11-06,1971-11-06
8,0,0,0,0,0,25000,0,0,0,1000000.0,0,0,0.0,0,8.0,FLOODS,1972-06-15,1972-06-20,1972-06-20
5,4,0,0,0,0,1494,0,0,0,1200000.0,0,0,0.0,1500,0.0,FLOODS,1972-07-14,1972-07-19,1972-07-19
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1973-05-15,1973-05-20,1973-05-20
0,0,0,0,0,0,20000,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1973-07-09,1973-07-14,1973-07-14
21,0,0,30000,0,0,242192,0,0,0,0.0,0,0,0.0,2000,0.0,FLOODS,1973-07-20,1973-07-25,1973-07-25
10,0,0,0,0,0,800000,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1973-09-01,1973-09-06,1973-09-06
6,0,0,0,0,0,61961,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1973-09-08,1973-09-13,1973-09-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1973-09-28,1973-10-03,1973-10-03
58,0,10,500,0,0,380980,0,0,0,0.0,0,0,0.0,485,0.0,FLOODS,1973-10-12,1973-10-17,1973-10-17
2,0,0,0,0,0,75000,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1974-08-16,1974-08-21,1974-08-21
0,0,0,7317,0,0,557000,0,0,0,14140000.0,0,0,0.0,0,0.0,FLOODS,1974-09-08,1974-09-13,1974-09-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1975-05-09,1975-05-14,1975-05-14
0,3,0,0,150,0,0,0,0,0,0.0,0,0,0.0,2,0.0,FLOODS,1975-06-28,1975-07-03,1975-07-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1975-07-22,1975-07-27,1975-07-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,700.0,0,0.0,FLOODS,1975-07-28,1975-08-02,1975-08-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,50.0,0,0.0,FLOODS,1975-08-13,1975-08-18,1975-08-18
2,0,0,57,17,0,282,0,0,0,0.0,0,0,3500.0,0,0.0,FLOODS,1975-08-19,1975-08-24,1975-08-24
1,0,0,617,83,0,800048,0,0,0,200000.0,0,0,1835279.0,0,0.0,FLOODS,1975-08-31,1975-09-05,1975-09-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1976-07-24,1976-07-29,1976-07-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,20000.0,0,0.0,FLOODS,1977-07-05,1977-07-10,1977-07-10
0,0,0,0,0,0,0,0,0,0,0.0,0,0,2880.0,0,0.0,FLOODS,1977-08-07,1977-08-12,1977-08-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1977-08-31,1977-09-05,1977-09-05
3,0,0,1600,200,0,40000,0,0,0,20000000.0,0,0,0.0,8000,0.0,FLOODS,1977-09-09,1977-09-14,1977-09-14
12,0,3,0,0,0,5000,0,0,0,0.0,0,0,750.0,500,0.0,FLOODS,1977-09-22,1977-09-27,1977-09-27
0,0,0,0,0,0,59000,0,0,0,0.0,0,0,12200.0,0,0.0,FLOODS,1977-09-29,1977-10-04,1977-10-04
0,0,0,0,0,0,0,0,0,0,0.0,0,0,35.0,0,0.0,FLOODS,1977-10-25,1977-10-30,1977-10-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,1500.0,0,0.0,FLOODS,1978-07-15,1978-07-20,1978-07-20
0,0,0,0,0,0,2000,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1979-08-22,1979-08-27,1979-08-27
0,0,0,0,1124,0,0,0,0,0,0.0,0,0,500.0,0,0.0,FLOODS,1980-10-07,1980-10-12,1980-10-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,2500.0,0,0.0,FLOODS,1981-06-24,1981-06-29,1981-06-29
3,0,0,0,0,0,32,0,0,0,0.0,0,0,2115.0,0,0.0,FLOODS,1981-08-30,1981-09-04,1981-09-04
10,0,0,6000,10627,0,24000,0,11000,0,100000000.0,0,0,0.0,55,0.0,FLOODS,1982-08-18,1982-08-23,1982-08-23
11,0,0,6087,11239,0,0,0,0,0,0.0,0,0,8000.0,266,0.0,FLOODS,1982-09-28,1982-10-03,1982-10-03
1,0,0,0,10,0,98738,0,0,0,12060000.0,0,0,3213.0,2,0.0,FLOODS,1983-09-06,1983-09-11,1983-09-11
3,0,0,22,50,0,960,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1983-09-12,1983-09-17,1983-09-17
7,0,0,0,60,0,0,0,0,0,0.0,6,0,650.0,0,0.0,FLOODS,1984-06-14,1984-06-19,1984-06-19
13,0,0,0,90447,0,572000,0,0,0,0.0,0,0,89855.0,0,0.0,FLOODS,1984-08-16,1984-08-21,1984-08-21
0,0,0,500,2000,0,718000,0,0,0,0.0,0,0,40000.0,0,0.0,FLOODS,1984-09-06,1984-09-11,1984-09-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1985-01-09,1985-01-14,1985-01-14
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,FLOODS,1985-02-17,1985-02-22,1985-02-22
0,0,0,0,0,0,0,0,0,0,50000000.0,0,0,0.0,0,0.0,FLOODS,1985-07-18,1985-07-23,1985-07-23
