deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,150,0.0,STORMS,1975-01-24,1975-01-29,1975-01-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1975-03-05,1975-03-10,1975-03-10
0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,1,0.0,STORMS,1975-03-26,1975-03-31,1975-03-31
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1975-05-02,1975-05-07,1975-05-07
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1975-10-01,1975-10-06,1975-10-06
0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2,0.0,STORMS,1975-11-03,1975-11-08,1975-11-08
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1976-02-05,1976-02-10,1976-02-10
0,12,0,0,0,0,0,0,0,0,0.0,0,0,0.0,41,0.0,STORMS,1976-03-13,1976-03-18,1976-03-18
4,10,0,8,0,0,342,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1976-05-19,1976-05-24,1976-05-24
5,0,0,0,0,0,11,0,0,0,0.0,1,0,0.0,6,0.0,STORMS,1976-05-27,1976-06-01,1976-06-01
5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1976-07-03,1976-07-08,1976-07-08
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1976-07-09,1976-07-14,1976-07-14
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1977-03-20,1977-03-25,1977-03-25
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1977-04-04,1977-04-09,1977-04-09
3,8,0,3,0,0,0,0,0,0,5000.0,1,0,0.0,0,0.0,STORMS,1977-04-10,1977-04-15,1977-04-15
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1977-05-08,1977-05-13,1977-05-13
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,160,0.0,STORMS,1977-05-23,1977-05-28,1977-05-28
0,0,0,7,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1977-05-29,1977-06-03,1977-06-03
2,0,0,3,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1977-06-19,1977-06-24,1977-06-24
5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1977-08-22,1977-08-27,1977-08-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,STORMS,1978-02-19,1978-02-24,1978-02-24
