deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2011-07-03,2011-07-08,2011-07-08
1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2011-07-10,2011-07-15,2011-07-15
3,0,0,1,0,0,3,0,0,0,0,0,0,0.0,0,0,STORMS,2011-09-19,2011-09-24,2011-09-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2012-07-30,2012-08-04,2012-08-04
1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2012-08-09,2012-08-14,2012-08-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-01-18,2013-01-23,2013-01-23
0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,STORMS,2014-07-20,2014-07-25,2014-07-25
2,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2015-01-05,2015-01-10,2015-01-10
2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2015-03-02,2015-03-07,2015-03-07
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2015-04-02,2015-04-07,2015-04-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2015-06-05,2015-06-10,2015-06-10
0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,STORMS,2015-07-20,2015-07-25,2015-07-25
0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,STORMS,2015-08-23,2015-08-28,2015-08-28
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2015-12-27,2016-01-01,2016-01-01
