deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1981-11-29,1981-12-04,1981-12-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-04-21,1984-04-26,1984-04-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-11-09,1985-11-14,1985-11-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-12-29,1986-01-03,1986-01-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1986-02-05,1986-02-10,1986-02-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1986-05-14,1986-05-19,1986-05-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1986-06-12,1986-06-17,1986-06-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1986-10-01,1986-10-06,1986-10-06
0,1,0,0,0,0,27,0,0,4452,50000000,0,0,0.0,140,0.0,FLOODS,1987-06-14,1987-06-19,1987-06-19
1,0,0,36,279,1,1,50,0,0,324055000,0,1,204.0,0,0.0,FLOODS,1987-10-15,1987-10-20,1987-10-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-01-25,1988-01-30,1988-01-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-02-01,1988-02-06,1988-02-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-10-19,1988-10-24,1988-10-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1990-11-09,1990-11-14,1990-11-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1991-02-17,1991-02-22,1991-02-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1991-02-27,1991-03-04,1991-03-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1991-03-19,1991-03-24,1991-03-24
