deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1979-03-10,1979-03-15,1979-03-15
1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,STORMS,1979-04-25,1979-04-30,1979-04-30
3,2,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,STORMS,1979-05-06,1979-05-11,1979-05-11
2,2,0,0,10,0,52,0,0,0,0,0,0,0.0,0,0,STORMS,1979-10-21,1979-10-26,1979-10-26
0,0,0,0,40,0,204,0,0,0,0,0,0,0.0,0,0,STORMS,1979-11-26,1979-12-01,1979-12-01
1,6,0,0,1,0,5,0,0,0,0,0,0,0.0,0,0,STORMS,1980-04-03,1980-04-08,1980-04-08
2,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0,0,STORMS,1980-04-14,1980-04-19,1980-04-19
1,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,STORMS,1980-04-23,1980-04-28,1980-04-28
1,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,STORMS,1980-04-30,1980-05-05,1980-05-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1980-06-29,1980-07-04,1980-07-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1980-07-05,1980-07-10,1980-07-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1980-12-27,1981-01-01,1981-01-01
0,0,0,0,0,0,100,0,0,0,0,0,0,0.0,0,0,STORMS,1981-03-10,1981-03-15,1981-03-15
0,0,0,0,70,0,350,0,0,0,0,0,0,0.0,0,0,STORMS,1981-03-29,1981-04-03,1981-04-03
2,4,0,0,500,0,2506,0,0,0,0,0,0,0.0,0,0,STORMS,1981-04-04,1981-04-09,1981-04-09
2,2,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,STORMS,1981-05-05,1981-05-10,1981-05-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1981-08-08,1981-08-13,1981-08-13
0,0,0,0,35,0,175,0,0,0,0,0,0,0.0,0,0,STORMS,1981-08-24,1981-08-29,1981-08-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1981-08-31,1981-09-05,1981-09-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1981-09-06,1981-09-11,1981-09-11
